Assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,32428.0,34563647.0,841100.0,124246.0,98.63473004819745,881.0,2.0,3.0,497.0,30988165.0,138706.0,610.0,98.12075483724469
GATBMiniaPipeline,943.0,30509406.0,768585.0,121957.0,98.94331549950005,0.0,1.0,1.0,657.0,30343348.0,122545.0,0.0,98.14127674007923
IDBA-UD,1829.0,30408932.0,468323.0,61907.0,98.64244141213,0.0,13.0,22.0,1254.0,30145929.0,63178.0,0.0,97.29908766881769
MEGAHIT,979.0,30599129.0,768640.0,171540.0,99.05324938664779,0.0,10.0,21.0,518.0,30418717.0,171540.0,0.0,98.64734140057718
MetaHipMer2,884.0,30381792.0,468375.0,106383.0,98.03828023494904,0.0,0.0,0.0,712.0,30262824.0,106637.0,0.0,97.25187477200257
metaSPAdes,761.0,30482042.0,917726.0,208969.0,98.77395004515843,0.0,1.0,3.0,365.0,30402517.0,208969.0,0.0,98.28335364087353
MINIA,16748.0,30649850.0,161812.0,17967.0,95.93598600458584,0.0,0.0,0.0,3574.0,28218378.0,20782.0,0.0,92.15722987319785
SKESA,1269.0,30249132.0,632013.0,73839.0,97.9525332826451,0.0,9.0,18.0,891.0,30064811.0,74138.0,0.0,97.23735122900929
SPAdes,2628.0,30664883.0,850176.0,206515.0,98.70005184540622,0.0,0.0,0.0,412.0,30354786.0,208991.0,0.0,98.28335364087353
Unicycler,656.0,30301867.0,1303875.0,245050.0,98.45713534496545,0.0,0.0,0.0,334.0,30188943.0,245050.0,0.0,97.60986417186496
VelvetOptimiser,11069.0,30526291.0,847777.0,29176.0,95.85054636863052,4383.0,6.0,11.0,3035.0,28467054.0,33291.0,4383.0,92.22203947649228
