Assembler,Ns,basepairs,contigs,filtered_Ns,filtered_basepairs,filtered_contigs,filtered_mapped_reads,filtered_n50,mapped_reads,max_contig,misassembled contigs,misassembly events,n50
ABySS,3879.0,31513997.0,4769.0,2328.0,30746773.0,1822.0,98.92381217095806,89282.0,99.78768990729743,952618.0,7.0,12.0,86573.0
BCALM2,0.0,31047581.0,25377.0,0.0,28174748.0,3575.0,92.59402800039246,20700.0,96.52396714947209,161812.0,0.0,0.0,17395.0
GATBMiniaPipeline,0.0,30440762.0,1100.0,0.0,30273320.0,814.0,98.46281483140737,90988.0,99.34034538263963,632215.0,3.0,6.0,90346.0
IDBA-UD,0.0,30390566.0,1822.0,0.0,30130413.0,1279.0,97.92288270962905,65108.0,99.34369740763834,585610.0,17.0,34.0,63725.0
MEGAHIT,0.0,30545419.0,814.0,0.0,30420265.0,525.0,99.38811031611019,179870.0,99.6938445894219,632274.0,9.0,18.0,178381.0
MetaHipMer2,0.0,30378729.0,882.0,0.0,30264953.0,718.0,97.94687615172506,102049.0,98.72658334522761,468359.0,0.0,0.0,99990.0
metaSPAdes,0.0,30453778.0,640.0,0.0,30383186.0,359.0,98.91725039706415,238611.0,99.53005064801643,1036942.0,2.0,6.0,238611.0
MINIA,0.0,30641357.0,16570.0,0.0,28205939.0,3589.0,92.93370935200178,20628.0,97.18818029318894,161812.0,0.0,0.0,17820.0
SKESA,0.0,30110758.0,2322.0,0.0,29835112.0,1726.0,97.42446675485509,43168.0,98.31339077645647,630384.0,10.0,19.0,42115.0
SPAdes,0.0,30442718.0,1140.0,0.0,30276227.0,444.0,98.56125282190423,204481.0,99.4194395141032,850138.0,3.0,6.0,204481.0
Unicycler,0.0,30263458.0,936.0,0.0,30093081.0,443.0,97.9328875652279,208953.0,99.08819228990998,847534.0,0.0,0.0,204463.0
VelvetOptimiser,8788.0,30526881.0,10924.0,8283.0,28485306.0,2994.0,93.1009748303329,34664.0,97.12531701961385,847809.0,8.0,11.0,30453.0
