Assembler,Ns,basepairs,contigs,filtered_Ns,filtered_basepairs,filtered_contigs,filtered_mapped_reads,filtered_n50,mapped_reads,max_contig,misassembled contigs,misassembly events,n50
ABySS,9.0,78728532.0,677853.0,0.0,3150980.0,356.0,79.02965476252125,18568.0,91.83437689391157,88665.0,0.0,0.0,101.0
BCALM2,0.0,315567452.0,8035706.0,0.0,657074.0,504.0,0.10399403101063828,1262.0,1.4283891558119426,3093.0,0.0,0.0,35.0
GATBMiniaPipeline,0.0,17147130.0,6776.0,0.0,13912407.0,603.0,88.89627530439364,90989.0,89.404632029572,542997.0,0.0,0.0,56759.0
IDBA-UD,0.0,23587252.0,14155.0,0.0,17534580.0,2725.0,89.22549252179786,113853.0,89.80083187280428,632213.0,3.0,5.0,51161.0
MEGAHIT,0.0,24498566.0,14172.0,0.0,18552996.0,3044.0,89.502390767225,210993.0,89.76422395852465,768410.0,1.0,2.0,82249.0
MetaHipMer2,0.0,15029970.0,11966.0,0.0,10264085.0,5031.0,73.95949469809817,2177.0,84.35621552543934,14760.0,0.0,0.0,1516.0
metaSPAdes,0.0,27822010.0,26282.0,0.0,18792639.0,3392.0,89.36811192160285,87983.0,89.92625377951288,622107.0,3.0,7.0,3674.0
MINIA,0.0,20758864.0,37281.0,0.0,13448666.0,1463.0,84.24447572346807,18288.0,87.67858366246936,163543.0,2.0,3.0,7485.0
SKESA,0.0,8818742.0,8822.0,0.0,5801439.0,2889.0,62.71003347866463,2148.0,78.66255748464859,29155.0,0.0,0.0,1431.0
SPAdes,0.0,29517365.0,36214.0,0.0,19595813.0,4999.0,57.92940845118595,55465.0,87.24435323366495,847683.0,572.0,1148.0,1972.0
Unicycler,0.0,9747587.0,205.0,0.0,9725301.0,144.0,87.47524306302446,256884.0,88.05619365539616,847580.0,0.0,0.0,256884.0
VelvetOptimiser,0.0,47958628.0,525998.0,0.0,409222.0,340.0,0.020348067141638875,1180.0,1.3863560659202114,2044.0,0.0,0.0,88.0
