Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,50.0,0.06006357448240811,100101.0,100101.0,45.0,4706885.0,0.9877138157825709,100.0,0.9985468518142798,0.8852172788411795,0.0,0.0,1.0169490013034097,1.0173244088181461,0.9996309854442866
BCALM2,0.0,0.0020934084912308092,2244.0,1489.0,0.0,3092398.0,0.6489226374764607,1495.0,1.0,1.0,0.0,0.0,1.0036457144261508,1.0036457144261508,1.0
GATBMiniaPipeline,100.0,0.027645121094951687,59575.0,59530.0,0.0,4625731.0,0.9706840971882099,184.0,0.9998320645830351,0.9901215805471124,0.0,0.0,1.001596936786856,1.0016012604278113,0.9999956832712515
IDBA-UD,283.0,0.0189634354394584,19013.0,18446.0,0.0,4520157.0,0.9485299764932218,439.0,0.99415538150649,0.46293053123175715,6.0,10.0,1.004381042516886,1.0112681926756084,0.9931895908438488
MEGAHIT,55.0,0.059565403696704225,74104.0,74550.0,0.0,4662851.0,0.9784735241323246,141.0,0.9979794559669986,0.8633633633633634,3.0,5.0,1.0005481624868562,1.0006719065224259,0.9998763390530272
MetaHipMer2,110.0,0.027644281717048226,56794.0,56352.0,0.0,4611833.0,0.967767678662636,193.0,1.0,1.0,0.0,0.0,1.001082866617243,1.001082866617243,1.0
metaSPAdes,39.0,0.11712868124917898,107748.0,107748.0,0.0,4666787.0,0.9792994719893299,86.0,0.9995152440254389,0.9874723655121592,1.0,3.0,0.9998997168715864,0.9998997168715864,1.0
MINIA,0.0,0.011346290810029054,4469.0,3200.0,0.0,3772487.0,0.7916355572231196,1121.0,0.9999874579804241,0.9934354485776805,0.0,0.0,1.0022823140278547,1.0022823140278547,1.0
SKESA,70.0,0.027602732510826927,62623.0,66235.0,0.0,4575062.0,0.9600514874405983,180.0,0.9950550872540534,0.6552621792487914,2.0,4.0,1.0056663712972633,1.0119840998876082,0.9937570871014214
SPAdes,45.0,0.09487572380605838,98812.0,96999.0,0.0,4643850.0,0.9744862692464107,84.0,0.9997884850066031,0.9909936955869109,0.0,0.0,1.0000947489690666,1.0001311411867309,0.9999636125542286
Unicycler,35.0,0.11707097401831607,124073.0,119183.0,0.0,4629000.0,0.9713700787798132,72.0,0.9997709761889391,0.9927631578947368,0.0,0.0,1.00000194426442,1.00000194426442,1.0
VelvetOptimiser,0.0,0.011654342500599105,4593.0,3335.0,0.0,3800925.0,0.797603114427773,1098.0,0.9999991613749425,0.9990791896869244,0.0,0.0,1.0021789432835428,1.0021789432835428,1.0
