Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.06612306489587026,2402.0,1304.0,204.0,60476.0,0.5497468342923633,26.0,0.9879048610562917,0.9461371055495104,0.0,0.0,1.0136913817051392,1.0137575236457437,0.9999347556599465
BCALM2,18.0,0.12970083721944967,7117.0,6638.0,0.0,102586.0,0.932540656503677,21.0,1.0,1.0,0.0,0.0,1.002670929756497,1.002670929756497,1.0
GATBMiniaPipeline,7.0,0.19163325970165535,18762.0,18762.0,0.0,105303.0,0.9572390847855137,10.0,1.0,1.0,0.0,0.0,1.0006077699590705,1.0006077699590705,1.0
IDBA-UD,3.0,0.32962447844228093,26780.0,26780.0,0.0,105993.0,0.9635114129100876,5.0,1.0,1.0,0.0,0.0,1.0001698225354505,1.0001698225354505,1.0
MEGAHIT,3.0,0.3661312461934241,28353.0,28353.0,0.0,107718.0,0.9791922332215223,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
MetaHipMer2,3.0,0.3657312716463498,28267.0,28267.0,0.0,107495.0,0.9771650894943049,5.0,1.0,1.0,0.0,0.0,1.0009023675519793,1.0009023675519793,1.0
metaSPAdes,3.0,0.36780386702664375,26814.0,26814.0,0.0,106142.0,0.9648658721717709,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
MINIA,17.0,0.13774577981401184,7186.0,6638.0,0.0,103510.0,0.9409401219922369,21.0,1.0,1.0,0.0,0.0,1.0029369143077964,1.0029369143077964,1.0
SKESA,0.0,0.04218822438572091,1404.0,0.0,0.0,39927.0,0.3629496304780605,26.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
SPAdes,3.0,0.3680038543001809,26837.0,26837.0,0.0,107620.0,0.9783013808212204,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,3.0,0.36757660876126064,27962.0,27962.0,194.0,107301.0,0.9754015653549319,4.0,0.9985724121303063,0.9966627938595407,0.0,0.0,0.9989096094165012,0.9989096094165012,1.0
