Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.24399450330209582,351141.0,351141.0,0.0,2957080.0,0.9882159191696671,15.0,0.9999955986037082,0.9999531550100716,0.0,0.0
BCALM2,0.000929706564289777,1240.0,0.0,0.0,461795.0,0.1543256085033061,359.0,1.0,1.0,0.0,0.0
GATBMiniaPipeline,0.2113638748512035,351186.0,351186.0,0.0,2954741.0,0.987434257180496,19.0,1.0,1.0,0.0,0.0
IDBA-UD,0.15650717732130887,254629.0,254629.0,0.0,2916725.0,0.9747298270050683,25.0,0.9998330000083575,0.9958391123439667,0.0,0.0
MEGAHIT,0.2113033871128367,447852.0,447852.0,0.0,2960744.0,0.9894403781385951,19.0,0.992978034514649,0.8721568627450981,0.0,0.0
MetaHipMer2,0.15652455501409931,254627.0,254627.0,0.0,2949500.0,0.9856827862590573,21.0,1.0,1.0,0.0,0.0
metaSPAdes,0.3066915479580877,475510.0,475510.0,0.0,2961206.0,0.9895947722553103,13.0,0.998881065981605,0.988909426987061,0.0,0.0
MINIA,0.054075369727123436,46368.0,44353.0,0.0,2918408.0,0.9752922627159596,127.0,0.9999543388262034,0.9942010309278351,0.0,0.0
SKESA,0.21121014910728786,351014.0,351014.0,0.0,2911821.0,0.9730909769003677,19.0,1.0,1.0,0.0,0.0
SPAdes,0.181479590234004,255092.0,255092.0,0.0,2957750.0,0.9884398240575443,20.0,0.9999086748576277,0.9982316534040672,0.0,0.0
Unicycler,0.21122852935927777,350996.0,350996.0,0.0,2953581.0,0.9870466009567088,16.0,0.9982525230084409,0.9725,0.0,0.0
VelvetOptimiser,0.05407570391352325,44320.0,44320.0,0.0,2916426.0,0.9746299052715232,125.0,0.999992218972109,0.9990530303030303,0.0,0.0
