Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,67.0,0.043899074397150906,92433.0,93704.0,294.0,6780808.0,0.998303674880343,143.0,0.9980904570869329,0.9773865288321757,2.0,3.0,1.0239275319401464,1.0246402788576228,0.9993043930321858
BCALM2,921.0,0.00559763733505292,8425.0,7782.0,0.0,6400534.0,0.9423178791372033,1142.0,1.0,1.0,0.0,0.0,1.002766019210272,1.002766019210272,1.0
GATBMiniaPipeline,39.0,0.0680336497196102,204303.0,204303.0,0.0,6716522.0,0.9888391759528763,98.0,0.9999906216693762,0.99953509995351,0.0,0.0,1.0006117749632921,1.0006131149425253,0.9999986608418245
IDBA-UD,76.0,0.05008914466758829,84458.0,83502.0,0.0,6698357.0,0.9861648359252274,164.0,0.9991091542878199,0.9519548725928808,1.0,1.0,1.0006619533715506,1.0008139309385868,0.9998481460316068
MEGAHIT,30.0,0.06899944496218528,250917.0,250917.0,0.0,6731626.0,0.9910628606089515,82.0,0.9999010209124328,0.9954716981132076,0.0,0.0,1.0005609343121558,1.0005609343121558,1.0
MetaHipMer2,37.0,0.06852523360908554,211554.0,211015.0,0.0,6714607.0,0.9885572402989843,100.0,1.0,1.0,0.0,0.0,1.0005047205294368,1.0005047205294368,1.0
metaSPAdes,24.0,0.12479429003007804,256394.0,256394.0,0.0,6726884.0,0.9903647202064682,57.0,0.9994956772831299,0.9788439743105403,0.0,0.0,1.0001852269193285,1.0001852269193285,1.0
MINIA,335.0,0.015603629387853653,22207.0,21734.0,0.0,6518607.0,0.959701162929363,523.0,0.9999696125020067,0.9897074756229686,0.0,0.0,1.0010385654481089,1.0010385654481089,1.0
SKESA,174.0,0.018880708092804677,38251.0,38251.0,0.0,6673601.0,0.9825201366835828,303.0,0.9970374477824968,0.25073449822174115,6.0,12.0,0.9993445817333101,1.0023549504982392,0.9969967038488384
SPAdes,26.0,0.12516647453819235,252244.0,252244.0,0.0,6728888.0,0.9906597588750841,63.0,0.9995688586290978,0.9746764209341587,0.0,0.0,1.0002495211690252,1.0002501156208872,0.9999994056967826
Unicycler,22.0,0.12477809529277877,283759.0,283759.0,0.0,6723626.0,0.9898850615326404,60.0,0.9974901554909701,0.8643403952287698,0.0,0.0,0.9997544479719722,0.9998854784605806,0.9998689545038597
VelvetOptimiser,14.0,0.08452121731423533,338923.0,464977.0,6228.0,6708956.0,0.987725272476455,69.0,0.9947269459756937,0.8820694087403599,6.0,11.0,0.9997609166016292,1.0003885850495964,0.9993725753598678
