Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.9995265898690232,6334.0,6334.0,0.0,6334.0,0.9995265898690232,1.0,1.0,1.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.9995265898690232,6334.0,6334.0,0.0,6334.0,0.9995265898690232,1.0,1.0,1.0,0.0,0.0
IDBA-UD,0.9954237020672242,6308.0,6308.0,0.0,6308.0,0.9954237020672242,1.0,1.0,1.0,0.0,0.0
MEGAHIT,0.9954237020672242,6308.0,6308.0,0.0,6308.0,0.9954237020672242,1.0,1.0,1.0,0.0,0.0
MetaHipMer2,0.9995265898690232,6334.0,6334.0,0.0,6334.0,0.9995265898690232,1.0,1.0,1.0,0.0,0.0
metaSPAdes,0.9998421966230078,6336.0,6336.0,0.0,6336.0,0.9998421966230078,1.0,1.0,1.0,0.0,0.0
MINIA,0.995265898690232,6307.0,6307.0,0.0,6307.0,0.995265898690232,1.0,1.0,1.0,0.0,0.0
SKESA,0.9537636105412656,6044.0,6044.0,0.0,6044.0,0.9537636105412656,1.0,1.0,1.0,0.0,0.0
SPAdes,0.9998421966230078,6336.0,6336.0,0.0,6336.0,0.9998421966230078,1.0,1.0,1.0,0.0,0.0
Unicycler,0.9831150386618274,6230.0,6230.0,0.0,6230.0,0.9831150386618274,1.0,1.0,1.0,0.0,0.0
VelvetOptimiser,0.9998421966230078,6336.0,6336.0,0.0,6336.0,0.9998421966230078,1.0,1.0,1.0,0.0,0.0
