Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,9.0,0.18946668859686117,241090.0,241090.0,0.0,2828460.0,0.9940493260682535,19.0,0.9999711774003073,0.9996626668594285,0.0,0.0,1.0153146942152267,1.0153146942152267,1.0
BCALM2,103.0,0.045908612943313255,30453.0,30452.0,0.0,2768590.0,0.9730082884888971,165.0,1.0,1.0,0.0,0.0,1.0007095076587675,1.0007095076587675,1.0
GATBMiniaPipeline,24.0,0.13575633866968068,127741.0,127741.0,0.0,2815322.0,0.9894320360779815,45.0,1.0,1.0,0.0,0.0,1.0005486020002208,1.0005486020002208,1.0
IDBA-UD,22.0,0.13575598722425591,112536.0,118897.0,0.0,2777299.0,0.9760690266929829,55.0,0.9944027424116684,0.7950740111623392,3.0,6.0,0.9994206601449825,1.0001148597972347,0.9993058800742218
MEGAHIT,13.0,0.189475123287055,235316.0,235316.0,0.0,2821376.0,0.9915596866793749,31.0,0.9996594841531774,0.9932287102684617,1.0,2.0,0.9999899501635791,1.0002121233330283,0.9997806889343572
MetaHipMer2,27.0,0.13575563577883118,118895.0,118895.0,0.0,2811089.0,0.9879443675950449,45.0,0.9999993221878419,0.9999688206407358,0.0,0.0,1.000513424889902,1.000513424889902,1.0
metaSPAdes,9.0,0.23480666284294044,238611.0,238611.0,0.0,2818677.0,0.9906111354779938,21.0,0.9997454560456104,0.9956634865568084,0.0,0.0,1.0001553920509516,1.0001553920509516,1.0
MINIA,103.0,0.045908612943313255,30453.0,30452.0,0.0,2770364.0,0.973631752672391,167.0,0.9999836392788194,0.9972677595628415,0.0,0.0,1.0007457503779287,1.0007457503779287,1.0
SKESA,30.0,0.13570678486479193,88301.0,87934.0,0.0,2798023.0,0.9833523816753544,52.0,0.9957455586108757,0.7787690477655407,1.0,1.0,1.0,1.0038552220621488,0.9961595835959001
SPAdes,10.0,0.1894529822252962,239100.0,239100.0,0.0,2812518.0,0.9884465831070025,21.0,0.9998885136387875,0.9982718894009217,0.0,0.0,1.0001173325824049,1.0001173325824049,1.0
Unicycler,9.0,0.2347711668550414,238501.0,238501.0,0.0,2812762.0,0.9885323357906397,20.0,0.9999945623489943,0.9999146061445623,0.0,0.0,0.9998435701278672,0.9998435701278672,1.0
VelvetOptimiser,101.0,0.045908612943313255,30453.0,30453.0,0.0,2736286.0,0.961655195488003,157.0,0.9999916685065381,0.9986919555264879,0.0,0.0,1.000629685639586,1.000629685639586,1.0
