Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDBA-UD,0.0,0.01004481532993355,1107.0,0.0,0.0,1105.0,0.01004481532993355,1.0,0.985546522131888,0.985546522131888,0.0,0.0,0.9990950226244344,1.0018099547511312,0.997289972899729
MEGAHIT,0.0,0.013653676584217367,1503.0,0.0,0.0,1502.0,0.013653676584217367,1.0,0.9833666001330672,0.9833666001330672,0.0,0.0,0.9993342210386151,1.0006657789613849,0.9986693280106453
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.0,0.013735489559755289,1510.0,0.0,0.0,1511.0,0.013735489559755289,1.0,0.9735099337748344,0.9735099337748344,0.0,0.0,0.99933818663137,0.99933818663137,1.0
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
