Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.08694126540348664,96389.0,96389.0,0.0,2953743.0,0.9871007391534791,0.0,0.9996676299902572,0.9916913946587537,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.18151300887398567,452364.0,155105.0,0.0,2957674.0,0.9884144258911581,23.0,0.9986224415922504,0.9794841735052755,0.0,0.0
IDBA-UD,0.054384826333353606,27259.0,25555.0,0.0,2915464.0,0.9743084179548995,171.0,0.9998391057219054,0.9853181076672104,0.0,0.0
MEGAHIT,0.40327175169148444,542872.0,542872.0,0.0,2959882.0,0.9891523094619532,18.0,0.9984667010371832,0.9861317483902923,1.0,2.0
MetaHipMer2,0.0009905284890563979,1224.0,0.0,0.0,455853.0,0.15233987291559586,357.0,0.9999599864182472,0.9855550969872059,0.0,0.0
metaSPAdes,0.1581627367460003,235115.0,235115.0,0.0,2920851.0,0.9761086800907116,25.0,0.9990510855759005,0.990521327014218,0.0,0.0
MINIA,0.02560502776754796,28142.0,27395.0,0.0,2912160.0,0.9732042660899055,184.0,0.9998884231341766,0.9903952715182859,0.0,0.0
SKESA,0.14910160670137304,195967.0,195967.0,0.0,2914137.0,0.973864952602343,31.0,0.9999997617256021,0.9999926134936697,0.0,0.0
SPAdes,0.11887912544755913,147676.0,147676.0,0.0,2944434.0,0.9839897979575865,37.0,0.9994261593443197,0.9878141660319878,0.0,0.0
Unicycler,0.2434524529615933,475179.0,475179.0,0.0,2915510.0,0.9743237905292911,17.0,0.9999988519063594,0.9999926136027891,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
