Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDBA-UD,0.0,0.00026461388406596336,1261.0,0.0,0.0,2287.0,0.0004799143163036147,2.0,0.9988104678826328,0.9976209357652657,0.0,0.0,1.0,1.0,1.0
MEGAHIT,0.0,0.0003533780973569249,1663.0,0.0,0.0,4237.0,0.0008891110442406715,3.0,0.9624442117504297,0.9146121467227901,0.0,0.0,1.0,1.036346471560066,0.9649282623548167
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.0,0.0003533780973569249,1684.0,0.0,0.0,4384.0,0.0009199581821928496,3.0,0.9777080599245919,0.951751866743251,0.0,0.0,1.001596715328467,1.019844890510949,0.9821069112055468
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.0,0.00037855943446074374,1684.0,0.0,0.0,6019.0,0.0012630539002323818,4.0,0.9562386929480989,0.9320652173913043,0.0,0.0,0.9636152184748297,0.9991692972254528,0.9644163618224144
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
