Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.2112776547600508,351143.0,351143.0,0.0,2954719.0,0.9874269050797001,19.0,0.9999970071674599,0.9999431361817368,0.0,0.0
IDBA-UD,0.2112769863872512,351148.0,351148.0,0.0,2956853.0,0.9881400588569087,21.0,0.9997358166567597,0.9944521497919556,0.0,0.0
MEGAHIT,0.2112893512840444,447826.0,447826.0,0.0,2960191.0,0.9892555730594965,17.0,0.9856724687368019,0.7621035058430717,0.0,0.0
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.3066915479580877,593167.0,593167.0,0.0,2964879.0,0.9908222389018367,12.0,0.9999651393499948,0.9997312963034048,0.0,0.0
MINIA,0.004312341303233387,3365.0,2975.0,0.0,2551529.0,0.8526862905376458,918.0,1.0,1.0,0.0,0.0
SKESA,0.21121014910728786,351027.0,351027.0,0.0,2950392.0,0.9859808805276937,21.0,0.9999710522506875,0.9993920972644377,0.0,0.0
SPAdes,0.002814183672855576,1964.0,1651.0,0.0,2362785.0,0.7896106126906617,1288.0,1.0,1.0,0.0,0.0
Unicycler,0.2434160266440133,351002.0,351002.0,0.0,2953853.0,0.9871374996574589,15.0,0.9982425559720248,0.9745,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
