Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.00030736934281787304,1464.0,0.0,0.0,1463.0,0.00030736934281787304,1.0,0.9993169398907104,0.9993169398907104,0.0,0.0,1.0,1.0006835269993164,0.9993169398907104
IDBA-UD,0.0,0.00030736934281787304,1517.0,0.0,0.0,1463.0,0.00030736934281787304,1.0,0.964403427818062,0.964403427818062,0.0,0.0,1.0,1.0369104579630894,0.964403427818062
MEGAHIT,0.0,0.0006968859262658134,3444.0,0.0,0.0,4780.0,0.0010042552690836864,2.0,0.9566500298207615,0.9488966318234611,0.0,0.0,0.9989539748953975,1.0378661087866108,0.9625075589598872
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.0,0.0002869901040937899,1388.0,0.0,0.0,2586.0,0.0005433063024791659,2.0,0.9879198033001508,0.984149855907781,0.0,0.0,0.9454756380510441,0.9555297757153906,0.9894779441521652
MINIA,0.0,0.0002758550561311465,1313.0,0.0,0.0,1313.0,0.0002758550561311465,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.0,0.00030736934281787304,1517.0,0.0,0.0,1463.0,0.00030736934281787304,1.0,0.964403427818062,0.964403427818062,0.0,0.0,1.0,1.0369104579630894,0.964403427818062
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.0,0.000265770484391394,1265.0,0.0,0.0,1265.0,0.000265770484391394,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
