Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.0043819612885556605,4141.0,3767.0,400.0,3699276.0,0.9143774947925897,1140.0,0.9994615513912268,0.9658444022770398,0.0,0.0
BCALM2,0.026134315715268423,32498.0,32478.0,0.0,3949224.0,0.976158996380581,205.0,1.0,1.0,0.0,0.0
GATBMiniaPipeline,0.05162992497918148,60909.0,60909.0,0.0,3973445.0,0.9821458806523605,94.0,0.9999565235678991,0.9968942268000708,1.0,3.0
IDBA-UD,0.04091898587059718,53080.0,51975.0,0.0,3970803.0,0.9814928379106884,102.0,0.999799350768298,0.9887640449438202,1.0,1.0
MEGAHIT,0.06509862255439572,122571.0,124132.0,0.0,3984821.0,0.9849577709738073,57.0,0.9993370545150919,0.9853508095605242,1.0,2.0
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.06505586086086457,115791.0,115791.0,0.0,3978171.0,0.9833140411357605,50.0,0.9999505822299474,0.9991408934707904,1.0,3.0
MINIA,0.026134315715268423,33942.0,34464.0,0.0,3950745.0,0.9765349532352682,208.0,0.9999954127283825,0.9991728701406121,2.0,4.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.06505586086086457,104069.0,104069.0,0.0,3969664.0,0.9812113028301568,65.0,0.9999228337560622,0.997020854021847,0.0,0.0
Unicycler,0.059986746346779536,139230.0,10764.0,0.0,2034788.0,0.5029536465713896,23.0,0.999995960771008,0.9999070977331846,0.0,0.0
VelvetOptimiser,0.18991357935890582,295224.0,295224.0,0.0,3969593.0,0.9811937532333896,28.0,1.0,1.0,0.0,0.0
