Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.27 [0;0],0.81 [0;0],0.88 [0;1],0.87 [0;1],0.88 [0;1],0.87 [0;1],0.84 [0;1],53.69 [0;1004],86.32 [0;1404],90496.47 [0;351502],90371.31 [0;351502],2253286.84 [0;6780808],81.9 [0;2170],0.3 [0;8],0.53 [0;14]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.35 [0;1],0.98 [0;1],1.01 [0;1],1.0 [0;1],1.01 [0;1],1.0 [0;1],0.98 [0;1],31.33 [0;112],59.92 [1;199],106093.76 [2176;452364],96782.73 [2176;351186],2523829.08 [2176;6716522],0.0 [0;0],0.14 [0;3],0.25 [0;6]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.27 [0;1],0.94 [0;1],0.98 [0;1],0.97 [0;1],0.98 [0;1],0.97 [0;1],0.87 [0;1],68.82 [0;283],121.12 [0;449],55836.03 [0;254629],54554.11 [0;254629],2507600.54 [0;6710005],0.0 [0;0],1.12 [0;9],1.94 [0;15]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.37 [0;1],0.99 [0;1],1.0 [0;1],1.0 [0;1],1.01 [0;1],1.0 [0;1],0.93 [0;1],18.31 [0;55],44.39 [1;141],138989.33 [2215;542872],141793.83 [2215;542872],2534425.59 [2215;6737986],0.0 [0;0],0.97 [0;4],1.99 [0;7]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.23 [0;0],0.68 [0;0],0.94 [0;1],0.94 [0;1],0.94 [0;1],0.94 [0;1],0.94 [0;1],21.7 [0;110],74.19 [0;361],58464.9 [0;257424],57747.71 [0;257424],1722404.01 [0;6717767],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.34 [0;1],0.98 [0;1],1.01 [0;1],1.0 [0;1],1.01 [0;1],1.0 [0;1],0.99 [0;1],20.14 [0;90],39.33 [1;167],133559.97 [1677;475510],132927.86 [1677;475510],2530047.11 [2076;6726884],0.0 [0;0],0.14 [0;2],0.33 [0;6]
MINIA,Genomic,Single k-mer De Bruijn graph,0.08 [0;0],0.74 [0;0],0.81 [0;1],0.81 [0;1],0.81 [0;1],0.81 [0;1],0.79 [0;1],83.41 [0;407],307.84 [0;1147],17271.52 [0;65138],16622.5 [0;64960],2345242.24 [0;6518607],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.27 [0;0],0.9 [0;0],1.0 [0;1],1.0 [0;1],1.0 [0;1],1.0 [0;1],0.87 [0;1],57.92 [0;670],96.06 [1;933],76053.75 [1404;351014],75134.92 [0;351014],2496709.31 [1460;6673601],0.0 [0;0],0.67 [0;7],1.17 [0;15]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.29 [0;1],0.9 [0;1],0.95 [0;1],0.94 [0;1],0.96 [0;1],0.94 [0;1],0.9 [0;1],21.06 [0;79],41.19 [0;143],117650.97 [0;315090],117061.69 [0;315090],2524122.0 [0;6728888],0.0 [0;0],0.36 [0;4],0.69 [0;8]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.38 [0;1],0.92 [0;1],0.94 [0;1],0.94 [0;1],0.94 [0;1],0.94 [0;1],0.94 [0;1],15.75 [0;57],32.86 [0;111],162270.42 [0;475179],158177.44 [0;475179],2515166.11 [0;6723626],0.0 [0;0],0.06 [0;1],0.11 [0;2]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.09 [0;0],0.52 [0;0],0.56 [0;1],0.56 [0;1],0.56 [0;1],0.56 [0;1],0.55 [0;1],31.33 [0;207],167.92 [0;1098],29632.83 [0;338923],34682.42 [0;464977],1580537.53 [0;6708956],537.64 [0;12098],0.39 [0;8],0.61 [0;11]
