Assembler,Algorithm,Type,Ns,basepairs,contigs,filtered_Ns,filtered_basepairs,filtered_contigs,filtered_mapped_reads,filtered_n50,mapped_reads,max_contig,misassembled contigs,misassembly events,n50
ABySS,Single k-mer De Bruijn graph,Genomic,3881.0 [3879;3884],31510320.33 [31503127;31513997],4772.33 [4769;4778],2328.0 [2328;2328],30742562.33 [30734590;30746773],1823.33 [1822;1825],98.92 [98;98],89282.0 [89282;89282],99.79 [99;99],952617.33 [952616;952618],7.33 [7;8],12.67 [12;14],86573.0 [86573;86573]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0;0],31047581.0 [31047581;31047581],25377.0 [25377;25377],0.0 [0;0],28174748.0 [28174748;28174748],3575.0 [3575;3575],92.59 [92;92],20700.0 [20700;20700],96.52 [96;96],161812.0 [161812;161812],0.0 [0;0],0.0 [0;0],17395.0 [17395;17395]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0;0],30440762.0 [30440762;30440762],1100.0 [1100;1100],0.0 [0;0],30273320.0 [30273320;30273320],814.0 [814;814],98.46 [98;98],90988.0 [90988;90988],99.34 [99;99],632215.0 [632215;632215],3.0 [3;3],6.0 [6;6],90346.0 [90346;90346]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0;0],30390566.0 [30390566;30390566],1822.0 [1822;1822],0.0 [0;0],30130413.0 [30130413;30130413],1279.0 [1279;1279],97.92 [97;97],65108.0 [65108;65108],99.34 [99;99],585610.0 [585610;585610],17.33 [17;18],34.67 [34;36],63725.0 [63725;63725]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0;0],30545419.0 [30545419;30545419],814.0 [814;814],0.0 [0;0],30420265.0 [30420265;30420265],525.0 [525;525],99.39 [99;99],179870.0 [179870;179870],99.69 [99;99],632274.0 [632274;632274],9.0 [9;9],18.0 [18;18],178381.0 [178381;178381]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0;0],30378682.33 [30378611;30378729],882.67 [882;883],0.0 [0;0],30264906.33 [30264835;30264953],718.67 [718;719],97.95 [97;97],102049.0 [102049;102049],98.73 [98;98],468359.0 [468359;468359],0.0 [0;0],0.0 [0;0],99990.0 [99990;99990]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0;0],30453778.0 [30453778;30453778],640.0 [640;640],0.0 [0;0],30383186.0 [30383186;30383186],359.0 [359;359],98.92 [98;98],238611.0 [238611;238611],99.53 [99;99],1036942.0 [1036942;1036942],2.0 [2;2],6.0 [6;6],238611.0 [238611;238611]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0;0],30641342.33 [30641333;30641357],16570.0 [16570;16570],0.0 [0;0],28205937.67 [28205937;28205939],3589.0 [3589;3589],92.93 [92;92],20628.0 [20628;20628],97.19 [97;97],161812.0 [161812;161812],0.0 [0;0],0.0 [0;0],17820.0 [17820;17820]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0;0],30110758.0 [30110758;30110758],2322.0 [2322;2322],0.0 [0;0],29835112.0 [29835112;29835112],1726.0 [1726;1726],97.42 [97;97],43168.0 [43168;43168],98.31 [98;98],630384.0 [630384;630384],10.0 [10;10],19.0 [19;19],42115.0 [42115;42115]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,0.0 [0;0],30442718.0 [30442718;30442718],1140.0 [1140;1140],0.0 [0;0],30276227.0 [30276227;30276227],444.0 [444;444],98.56 [98;98],204481.0 [204481;204481],99.42 [99;99],850138.0 [850138;850138],3.0 [3;3],6.0 [6;6],204481.0 [204481;204481]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,0.0 [0;0],30263458.0 [30263458;30263458],936.0 [936;936],0.0 [0;0],30093081.0 [30093081;30093081],443.0 [443;443],97.93 [97;97],208953.0 [208953;208953],99.09 [99;99],847534.0 [847534;847534],0.0 [0;0],0.0 [0;0],204463.0 [204463;204463]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,8788.0 [8788;8788],30526881.0 [30526881;30526881],10924.0 [10924;10924],8283.0 [8283;8283],28485306.0 [28485306;28485306],2994.0 [2994;2994],93.1 [93;93],34664.0 [34664;34664],97.13 [97;97],847809.0 [847809;847809],8.0 [8;8],11.0 [11;11],30453.0 [30453;30453]
