Assembler,Algorithm,Type,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,988.33 [988;989],13638465.67 [13638386;13638625],632215.0 [632215;632215],90987.0 [90987;90987],97.17 [97;97],0.0 [0;0],2.0 [2;2],6.0 [6;6],762.0 [762;762],13507754.67 [13507672;13507796],91722.0 [91722;91722],0.0 [0;0],96.81 [96;96]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,1025.0 [1025;1025],13791669.67 [13791669;13791670],632213.0 [632213;632213],104140.0 [99726;106347],97.19 [97;97],0.0 [0;0],2.0 [2;2],5.0 [5;5],568.0 [568;568],13601108.67 [13601100;13601126],107465.0 [106347;108024],0.0 [0;0],96.96 [96;96]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,767.0 [767;767],13843596.0 [13843596;13843596],632250.0 [632250;632250],171359.0 [171359;171359],97.29 [97;97],0.0 [0;0],0.0 [0;0],0.0 [0;0],327.0 [327;327],13671964.0 [13671964;13671964],171540.0 [171540;171540],0.0 [0;0],97.15 [97;97]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,2099.0 [2099;2099],14157309.0 [14157309;14157309],917728.0 [917728;917728],193256.0 [193256;193256],97.27 [97;97],0.0 [0;0],1.0 [1;1],3.0 [3;3],184.0 [184;184],13672885.0 [13672885;13672885],196786.0 [196786;196786],0.0 [0;0],97.18 [97;97]
MINIA,Single k-mer De Bruijn graph,Genomic,24660.67 [24654;24664],15335005.0 [15334799;15335108],163543.0 [163543;163543],7727.0 [7727;7727],91.09 [91;91],0.0 [0;0],0.0 [0;0],0.0 [0;0],2171.67 [2171;2172],12921859.0 [12920975;12922301],10582.0 [10582;10582],0.0 [0;0],81.99 [81;81]
SKESA,Multiple k-mer De Bruijn graph,Genomic,36.0 [36;36],2957060.0 [2957060;2957060],632013.0 [632013;632013],351027.0 [351027;351027],92.23 [92;92],0.0 [0;0],0.0 [0;0],0.0 [0;0],21.0 [21;21],2950393.0 [2950393;2950393],351027.0 [351027;351027],0.0 [0;0],92.0 [92;92]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,31040.0 [31040;31040],16214591.0 [16214591;16214591],263645.0 [263645;263645],46478.0 [46478;46478],95.5 [95;95],0.0 [0;0],1.0 [1;1],2.0 [2;2],1526.0 [1526;1526],13087777.0 [13087777;13087777],69361.0 [69361;69361],0.0 [0;0],77.08 [77;77]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,264.0 [264;264],13324149.0 [13324149;13324149],847572.0 [847572;847572],192888.0 [192888;192888],96.97 [96;96],0.0 [0;0],5.0 [5;5],10.0 [10;10],243.0 [243;243],13315624.0 [13315624;13315624],192888.0 [192888;192888],0.0 [0;0],96.41 [96;96]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Genomic,222218.67 [185614;240521],22199110.0 [22177532;22242266],8619.33 [4146;17566],141.0 [124;175],5.95 [4;9],0.0 [0;0],0.0 [0;0],0.0 [0;0],1623.67 [817;3237],2959214.67 [1087944;6701756],1589.0 [1295;2177],0.0 [0;0],1.02 [0;2]
