Assembler,Algorithm,L90,LSA,NA50,NG50,Ns,Type,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Multiple k-mer De Bruijn graph,50.54 [0;1033],0.02 [0;0],25986.46 [0;351511],25866.25 [0;351511],16.67 [0;400],Metagenomic,690353.25 [0;6781605],0.16 [0;0],65.12 [0;1141],0.21 [0;0],0.2 [0;0],0.0 [0;0],0.0 [0;0],0.21 [0;1],0.21 [0;1],0.21 [0;1]
BCALM2,Single k-mer De Bruijn graph,13.58 [0;311],0.0 [0;0],3455.14 [0;64777],3263.39 [0;62493],0.0 [0;0],Genomic,390196.06 [0;6515102],0.09 [0;0],35.86 [0;496],0.17 [0;1],0.17 [0;1],0.0 [0;0],0.0 [0;0],0.17 [0;1],0.17 [0;1],0.17 [0;1]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,23.58 [0;459],0.02 [0;0],41260.94 [0;351149],40902.42 [0;351149],0.0 [0;0],Metagenomic,1131013.97 [0;6715846],0.25 [0;0],37.56 [0;604],0.36 [0;1],0.36 [0;1],0.08 [0;2],0.25 [0;6],0.36 [0;1],0.36 [0;1],0.36 [0;1]
IDBA-UD,Multiple k-mer De Bruijn graph,16.33 [0;292],0.02 [0;0],48013.69 [0;475377],46431.78 [0;475377],0.0 [0;0],Metagenomic,1135231.19 [0;6700232],0.25 [0;0],29.56 [0;418],0.46 [0;0],0.38 [0;0],0.25 [0;2],0.39 [0;5],0.47 [0;1],0.61 [0;5],0.44 [0;1]
MEGAHIT,Multiple k-mer De Bruijn graph,8.42 [0;147],0.03 [0;0],66650.44 [0;543128],66455.53 [0;543128],0.0 [0;0],Metagenomic,1141249.42 [0;6738936],0.25 [0;0],18.11 [0;223],0.46 [0;0],0.42 [0;0],0.06 [0;1],0.11 [0;2],0.47 [0;1],0.48 [0;1],0.47 [0;1]
MetaHipMer2,Multiple k-mer De Bruijn graph,0.0 [0;0],0.0 [0;0],903.25 [0;2986],528.83 [0;2697],0.0 [0;0],Metagenomic,824940.25 [0;3766165],0.19 [0;0],407.58 [0;2402],0.42 [0;1],0.39 [0;1],0.0 [0;0],0.0 [0;0],0.42 [0;1],0.42 [0;1],0.42 [0;1]
metaSPAdes,Multiple k-mer De Bruijn graph,7.19 [0;66],0.03 [0;0],60717.78 [0;593167],59453.89 [0;593167],0.0 [0;0],Metagenomic,1140707.44 [0;6733500],0.25 [0;0],15.53 [0;110],0.47 [0;0],0.43 [0;0],0.17 [0;2],0.39 [0;6],0.47 [0;1],0.48 [0;1],0.47 [0;1]
MINIA,Single k-mer De Bruijn graph,65.11 [0;649],0.01 [0;0],6467.22 [0;64777],5777.47 [0;64473],0.0 [0;0],Genomic,1099797.58 [0;6524118],0.24 [0;0],119.58 [0;918],0.42 [0;1],0.39 [0;1],0.14 [0;2],0.22 [0;4],0.42 [0;1],0.42 [0;1],0.42 [0;1]
SKESA,Multiple k-mer De Bruijn graph,6.72 [0;232],0.01 [0;0],10421.97 [0;351027],10210.64 [0;351027],0.0 [0;0],Genomic,366940.31 [0;3512871],0.1 [0;0],120.94 [0;1877],0.19 [0;1],0.19 [0;1],0.33 [0;12],0.64 [0;23],0.19 [0;1],0.19 [0;1],0.19 [0;1]
SPAdes,Multiple k-mer De Bruijn graph,30.83 [0;835],0.02 [0;0],36831.08 [0;351104],37693.72 [0;351104],0.0 [0;0],Genomic,1093338.33 [0;6710057],0.23 [0;0],105.17 [0;1839],0.56 [0;1],0.49 [0;1],16.08 [0;565],32.11 [0;1134],0.6 [0;1],0.63 [0;1],0.56 [0;1]
Unicycler,Multiple k-mer De Bruijn graph,7.17 [0;143],0.03 [0;0],51507.03 [0;351002],49210.58 [0;351002],0.0 [0;0],Genomic,963132.78 [0;6712831],0.2 [0;0],13.72 [0;179],0.22 [0;1],0.22 [0;1],0.14 [0;5],0.28 [0;10],0.22 [0;1],0.22 [0;1],0.22 [0;1]
VelvetOptimiser,Multiple k-mer De Bruijn graph,0.0 [0;0],0.0 [0;0],533.11 [0;3489],253.03 [0;3015],0.0 [0;0],Metagenomic,389436.31 [0;3508763],0.09 [0;0],174.11 [0;1988],0.28 [0;1],0.28 [0;1],0.0 [0;0],0.0 [0;0],0.28 [0;1],0.28 [0;1],0.28 [0;1]
