Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,111.0 [111.0;111.0],0.03 [0.03;0.03],45414.0 [45414.0;45414.0],45414.0 [45414.0;45414.0],0.0 [0.0;0.0],4701101.0 [4701101.0;4701101.0],0.99 [0.99;0.99],191.0 [191.0;191.0],1.0 [1.0;1.0],0.8 [0.8;0.8],0.0 [0.0;0.0],0.0 [0.0;0.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.01 [0.01;0.01],4465.0 [4465.0;4465.0],3200.0 [3200.0;3200.0],0.0 [0.0;0.0],3766785.33 [3766748.0;3766804.0],0.79 [0.79;0.79],1120.0 [1120.0;1120.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,112.0 [112.0;112.0],0.03 [0.03;0.03],55370.0 [55370.0;55370.0],54964.0 [54964.0;54964.0],0.0 [0.0;0.0],4615497.33 [4615492.0;4615508.0],0.97 [0.97;0.97],199.0 [199.0;199.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,250.0 [250.0;250.0],0.02 [0.02;0.02],18743.0 [18743.0;18743.0],18745.0 [18745.0;18745.0],0.0 [0.0;0.0],4497818.67 [4497816.0;4497820.0],0.94 [0.94;0.94],449.0 [449.0;449.0],0.99 [0.99;0.99],0.33 [0.33;0.33],8.0 [8.0;8.0],15.0 [15.0;15.0],1.01 [1.01;1.01],1.02 [1.02;1.02],0.99 [0.99;0.99]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,54.0 [54.0;54.0],0.07 [0.07;0.07],74550.0 [74550.0;74550.0],75417.0 [75417.0;75417.0],0.0 [0.0;0.0],4662465.0 [4662441.0;4662513.0],0.98 [0.98;0.98],137.0 [137.0;137.0],1.0 [1.0;1.0],0.99 [0.99;0.99],3.0 [3.0;3.0],5.0 [5.0;5.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,107.0 [107.0;107.0],0.03 [0.03;0.03],59122.0 [59122.0;59122.0],56794.0 [56794.0;56794.0],0.0 [0.0;0.0],4613122.33 [4613117.0;4613132.0],0.97 [0.97;0.97],191.0 [191.0;191.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,33.0 [33.0;33.0],0.1 [0.1;0.1],138793.0 [138793.0;138793.0],138793.0 [138793.0;138793.0],0.0 [0.0;0.0],4657179.0 [4657179.0;4657179.0],0.98 [0.98;0.98],82.0 [82.0;82.0],1.0 [1.0;1.0],0.99 [0.99;0.99],2.0 [2.0;2.0],6.0 [6.0;6.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.01 [0.01;0.01],4465.0 [4465.0;4465.0],3211.0 [3211.0;3211.0],0.0 [0.0;0.0],3773018.67 [3772989.0;3773077.0],0.79 [0.79;0.79],1123.0 [1123.0;1123.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,152.0 [152.0;152.0],0.03 [0.03;0.03],34752.0 [34752.0;34752.0],34302.0 [34302.0;34302.0],0.0 [0.0;0.0],4560589.0 [4560589.0;4560589.0],0.96 [0.96;0.96],270.0 [270.0;270.0],0.99 [0.99;0.99],0.47 [0.47;0.47],3.0 [3.0;3.0],4.0 [4.0;4.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,49.0 [49.0;49.0],0.07 [0.07;0.07],85988.0 [85988.0;85988.0],89006.0 [89006.0;89006.0],0.0 [0.0;0.0],4615956.0 [4615956.0;4615956.0],0.97 [0.97;0.97],120.0 [120.0;120.0],1.0 [1.0;1.0],0.81 [0.81;0.81],1.0 [1.0;1.0],3.0 [3.0;3.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,57.0 [57.0;57.0],0.07 [0.07;0.07],96845.0 [96845.0;96845.0],94991.0 [94991.0;94991.0],0.0 [0.0;0.0],4594376.0 [4594376.0;4594376.0],0.96 [0.96;0.96],111.0 [111.0;111.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.01 [0.01;0.01],4598.0 [4598.0;4598.0],3363.0 [3363.0;3363.0],0.0 [0.0;0.0],3810326.0 [3810326.0;3810326.0],0.8 [0.8;0.8],1093.0 [1093.0;1093.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
