Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,1001.0 [999.0;1004.0],0.0 [0.0;0.0],6476.0 [6462.0;6483.0],6462.67 [6430.0;6479.0],2170.0 [2170.0;2170.0],6557536.0 [6555420.0;6559727.0],0.97 [0.97;0.97],1402.33 [1401.0;1404.0],1.0 [1.0;1.0],0.59 [0.59;0.59],7.33 [7.0;8.0],12.67 [12.0;14.0],1.02 [1.02;1.02],1.03 [1.02;1.03],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,340.0 [340.0;340.0],0.02 [0.02;0.02],21972.0 [21972.0;21972.0],21139.0 [21139.0;21139.0],0.0 [0.0;0.0],6510588.0 [6510588.0;6510588.0],0.96 [0.96;0.96],523.0 [523.0;523.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,78.0 [78.0;78.0],0.04 [0.04;0.04],88774.0 [88774.0;88774.0],88774.0 [88774.0;88774.0],0.0 [0.0;0.0],6704136.0 [6704136.0;6704136.0],0.99 [0.99;0.99],166.0 [166.0;166.0],1.0 [1.0;1.0],0.96 [0.96;0.96],3.0 [3.0;3.0],6.0 [6.0;6.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,71.0 [71.0;71.0],0.05 [0.05;0.05],87280.0 [87280.0;87280.0],87280.0 [87280.0;87280.0],0.0 [0.0;0.0],6694930.0 [6694930.0;6694930.0],0.99 [0.99;0.99],161.0 [161.0;161.0],1.0 [1.0;1.0],0.86 [0.86;0.86],2.0 [2.0;2.0],4.0 [4.0;4.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,29.0 [29.0;29.0],0.07 [0.07;0.07],244431.0 [244431.0;244431.0],244431.0 [244431.0;244431.0],0.0 [0.0;0.0],6730218.0 [6730124.0;6730265.0],0.99 [0.99;0.99],82.0 [82.0;82.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,42.0 [42.0;42.0],0.07 [0.07;0.07],187706.0 [187706.0;187706.0],187706.0 [187706.0;187706.0],0.0 [0.0;0.0],6717763.67 [6717762.0;6717767.0],0.99 [0.99;0.99],101.0 [101.0;101.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,24.0 [24.0;24.0],0.13 [0.13;0.13],257869.0 [257869.0;257869.0],257869.0 [257869.0;257869.0],0.0 [0.0;0.0],6726248.0 [6726248.0;6726248.0],0.99 [0.99;0.99],56.0 [56.0;56.0],1.0 [1.0;1.0],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,340.0 [340.0;340.0],0.02 [0.02;0.02],21921.0 [21921.0;21921.0],21139.0 [21139.0;21139.0],0.0 [0.0;0.0],6518229.0 [6518228.0;6518231.0],0.96 [0.96;0.96],527.0 [527.0;527.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,670.0 [670.0;670.0],0.01 [0.01;0.01],10114.0 [10114.0;10114.0],9897.0 [9897.0;9897.0],0.0 [0.0;0.0],6545484.0 [6545484.0;6545484.0],0.96 [0.96;0.96],933.0 [933.0;933.0],1.0 [1.0;1.0],0.25 [0.25;0.25],7.0 [7.0;7.0],15.0 [15.0;15.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,26.0 [26.0;26.0],0.13 [0.13;0.13],227620.0 [227620.0;227620.0],227620.0 [227620.0;227620.0],0.0 [0.0;0.0],6716697.0 [6716697.0;6716697.0],0.99 [0.99;0.99],67.0 [67.0;67.0],1.0 [1.0;1.0],0.99 [0.99;0.99],2.0 [2.0;2.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,25.0 [25.0;25.0],0.12 [0.12;0.12],256472.0 [256472.0;256472.0],239075.0 [239075.0;239075.0],0.0 [0.0;0.0],6704188.0 [6704188.0;6704188.0],0.99 [0.99;0.99],77.0 [77.0;77.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,15.0 [15.0;15.0],0.08 [0.08;0.08],264293.0 [264293.0;264293.0],338751.0 [338751.0;338751.0],12098.0 [12098.0;12098.0],6703434.0 [6703434.0;6703434.0],0.99 [0.99;0.99],82.0 [82.0;82.0],1.0 [1.0;1.0],0.83 [0.83;0.83],8.0 [8.0;8.0],11.0 [11.0;11.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
