Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,8.0 [8.0;8.0],0.24 [0.24;0.24],351511.0 [351511.0;351511.0],351511.0 [351511.0;351511.0],0.0 [0.0;0.0],2961911.0 [2961911.0;2961911.0],0.99 [0.99;0.99],13.0 [13.0;13.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,49.0 [49.0;49.0],0.05 [0.05;0.05],64777.0 [64777.0;64777.0],62493.0 [62493.0;62493.0],0.0 [0.0;0.0],2921297.0 [2921297.0;2921297.0],0.98 [0.98;0.98],87.0 [87.0;87.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,10.0 [10.0;10.0],0.21 [0.21;0.21],351149.0 [351149.0;351149.0],351149.0 [351149.0;351149.0],0.0 [0.0;0.0],2951299.0 [2951299.0;2951299.0],0.99 [0.99;0.99],18.0 [18.0;18.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,11.0 [11.0;11.0],0.2 [0.2;0.2],254555.0 [254555.0;254555.0],254555.0 [254555.0;254555.0],0.0 [0.0;0.0],2952540.0 [2952540.0;2952540.0],0.99 [0.99;0.99],23.0 [23.0;23.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,7.0 [7.0;7.0],0.36 [0.36;0.36],543128.0 [543128.0;543128.0],543128.0 [543128.0;543128.0],0.0 [0.0;0.0],2961968.0 [2961968.0;2961968.0],0.99 [0.99;0.99],17.0 [17.0;17.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,8.0 [8.0;8.0],0.21 [0.21;0.21],351104.0 [351104.0;351104.0],351104.0 [351104.0;351104.0],0.0 [0.0;0.0],2960597.0 [2960597.0;2960597.0],0.99 [0.99;0.99],16.0 [16.0;16.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,49.0 [49.0;49.0],0.05 [0.05;0.05],64777.0 [64777.0;64777.0],64473.0 [64473.0;64473.0],0.0 [0.0;0.0],2924618.0 [2924618.0;2924618.0],0.98 [0.98;0.98],87.0 [87.0;87.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,232.0 [232.0;232.0],0.02 [0.02;0.02],14061.0 [14061.0;14061.0],13581.0 [13581.0;13581.0],0.0 [0.0;0.0],2859973.0 [2859973.0;2859973.0],0.96 [0.96;0.96],323.0 [323.0;323.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,8.0 [8.0;8.0],0.21 [0.21;0.21],351104.0 [351104.0;351104.0],351104.0 [351104.0;351104.0],0.0 [0.0;0.0],2954237.0 [2954237.0;2954237.0],0.99 [0.99;0.99],13.0 [13.0;13.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,7.0 [7.0;7.0],0.24 [0.24;0.24],350999.0 [350999.0;350999.0],350999.0 [350999.0;350999.0],0.0 [0.0;0.0],2952070.0 [2952070.0;2952070.0],0.99 [0.99;0.99],15.0 [15.0;15.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,22.0 [0.0;33.0],0.08 [0.01;0.12],65213.67 [3123.0;96259.0],65075.67 [2709.0;96259.0],0.0 [0.0;0.0],2794529.67 [2533407.0;2925091.0],0.93 [0.85;0.98],359.0 [60.0;957.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
