Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.14 [0;0],0.46 [0;0],0.51 [0;1],0.5 [0;1],0.51 [0;1],0.5 [0;1],0.49 [0;1],43.68 [0;1033],64.86 [0;1404],53910.39 [0;351511],53807.75 [0;351511],1356762.49 [0;6781605],46.5 [0;2170],0.15 [0;8],0.26 [0;14]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.19 [0;1],0.61 [0;1],0.68 [0;1],0.68 [0;1],0.68 [0;1],0.68 [0;1],0.67 [0;1],27.4 [0;459],48.75 [0;604],73677.35 [0;452364],68844.15 [0;351186],1827425.3 [0;6716522],0.0 [0;0],0.12 [0;3],0.27 [0;6]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.15 [0;1],0.59 [0;1],0.72 [0;1],0.71 [0;1],0.79 [0;5],0.72 [0;1],0.63 [0;1],42.57 [0;292],75.34 [0;449],51924.86 [0;475377],50492.94 [0;475377],1821415.76 [0;6710005],0.0 [0;0],0.69 [0;9],1.16 [0;15]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.2 [0;1],0.62 [0;1],0.74 [0;1],0.73 [0;1],0.74 [0;1],0.73 [0;1],0.68 [0;1],13.36 [0;147],31.25 [0;223],102819.89 [0;543128],104124.68 [0;543128],1837837.5 [0;6738936],0.0 [0;0],0.51 [0;4],1.05 [0;7]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.12 [0;0],0.37 [0;0],0.54 [0;1],0.54 [0;1],0.54 [0;1],0.54 [0;1],0.53 [0;1],10.85 [0;110],104.96 [0;2402],29383.2 [0;257424],28961.93 [0;257424],998607.79 [0;6717767],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.19 [0;1],0.61 [0;1],0.74 [0;1],0.73 [0;1],0.75 [0;1],0.73 [0;1],0.71 [0;1],13.67 [0;90],27.43 [0;167],97138.88 [0;593167],96190.88 [0;593167],1835377.28 [0;6733500],0.0 [0;0],0.15 [0;2],0.36 [0;6]
MINIA,Genomic,Single k-mer De Bruijn graph,0.05 [0;0],0.49 [0;0],0.61 [0;1],0.61 [0;1],0.61 [0;1],0.61 [0;1],0.59 [0;1],74.3 [0;649],213.7 [0;1147],11857.19 [0;65138],11205.26 [0;64960],1722525.09 [0;6524120],0.0 [0;0],0.07 [0;2],0.11 [0;4]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.14 [0;0],0.5 [0;0],0.6 [0;1],0.6 [0;1],0.6 [0;1],0.6 [0;1],0.53 [0;1],32.32 [0;670],108.5 [0;1877],43237.86 [0;351027],42672.78 [0;351027],1431824.81 [0;6673601],0.0 [0;0],0.5 [0;12],0.9 [0;23]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.15 [0;1],0.57 [0;1],0.77 [0;1],0.75 [0;1],0.79 [0;1],0.75 [0;1],0.7 [0;1],25.94 [0;835],73.18 [0;1839],77241.03 [0;351104],77377.71 [0;351104],1808730.17 [0;6728888],0.0 [0;0],8.22 [0;565],16.4 [0;1134]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.2 [0;1],0.56 [0;1],0.58 [0;1],0.58 [0;1],0.58 [0;1],0.58 [0;1],0.58 [0;1],11.46 [0;143],23.29 [0;179],106888.72 [0;475179],103694.01 [0;475179],1739149.44 [0;6723626],0.0 [0;0],0.1 [0;5],0.19 [0;10]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.3 [0;0],0.41 [0;1],0.41 [0;1],0.41 [0;1],0.4 [0;1],0.39 [0;1],16.25 [0;207],122.65 [0;1988],21055.45 [0;338923],24147.31 [0;464977],991816.04 [0;6708956],574.07 [0;12098],0.31 [0;8],0.55 [0;11]
