Assembler,Algorithm,L90,LSA,NA50,NG50,Ns,Type,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Multiple k-mer De Bruijn graph,0.0 [0;0],0.86 [0;0],5429.57 [0;6335],5429.57 [0;6335],0.0 [0;0],Metagenomic,5429.57 [0;6335],0.86 [0;0],0.86 [0;1],0.86 [0;1],0.86 [0;1],0.0 [0;0],0.0 [0;0],0.86 [0;1],0.86 [0;1],0.86 [0;1]
BCALM2,Single k-mer De Bruijn graph,0.0 [0;0],0.33 [0;0],2112.0 [0;6336],2112.0 [0;6336],0.0 [0;0],Genomic,2112.0 [0;6336],0.33 [0;0],0.33 [0;1],0.33 [0;1],0.33 [0;1],0.0 [0;0],0.0 [0;0],0.33 [0;1],0.33 [0;1],0.33 [0;1]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,0.0 [0;0],1.01 [0;1],6394.67 [6334;6515],6394.67 [6334;6515],0.0 [0;0],Metagenomic,6335.67 [6334;6337],1.0 [0;1],1.0 [1;1],1.0 [0;1],1.0 [0;1],0.0 [0;0],0.0 [0;0],1.01 [1;1],1.01 [1;1],1.0 [0;1]
IDBA-UD,Multiple k-mer De Bruijn graph,0.0 [0;0],0.92 [0;0],5812.33 [4793;6336],5812.33 [4793;6336],0.0 [0;0],Metagenomic,5802.33 [4763;6336],0.92 [0;0],1.0 [1;1],1.0 [0;1],1.0 [0;1],0.0 [0;0],0.0 [0;0],1.0 [1;1],1.0 [1;1],1.0 [1;1]
MEGAHIT,Multiple k-mer De Bruijn graph,0.0 [0;0],1.0 [0;1],6479.67 [6308;6795],6479.67 [6308;6795],0.0 [0;0],Metagenomic,6327.0 [6308;6337],1.0 [0;1],1.0 [1;1],0.98 [0;1],0.98 [0;1],0.0 [0;0],0.0 [0;0],1.01 [1;1],1.02 [1;1],0.98 [0;1]
MetaHipMer2,Multiple k-mer De Bruijn graph,0.0 [0;0],0.67 [0;0],4222.67 [0;6334],4222.67 [0;6334],0.0 [0;0],Metagenomic,4222.67 [0;6334],0.67 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.0 [0;0],0.0 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1]
metaSPAdes,Multiple k-mer De Bruijn graph,0.33 [0;1],0.89 [0;0],5636.33 [4237;6336],5636.33 [4237;6336],0.0 [0;0],Metagenomic,6292.0 [6204;6336],0.99 [0;0],1.33 [1;2],1.0 [0;1],1.0 [0;1],0.0 [0;0],0.0 [0;0],1.0 [1;1],1.0 [1;1],1.0 [1;1]
MINIA,Single k-mer De Bruijn graph,0.0 [0;0],0.67 [0;0],4214.33 [0;6336],4214.33 [0;6336],0.0 [0;0],Genomic,4214.33 [0;6336],0.67 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.0 [0;0],0.0 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1]
SKESA,Multiple k-mer De Bruijn graph,0.0 [0;0],0.72 [0;0],4561.0 [1672;6044],4561.0 [1672;6044],0.0 [0;0],Genomic,5624.67 [4863;6044],0.89 [0;0],1.67 [1;3],1.0 [0;1],0.99 [0;1],0.0 [0;0],0.0 [0;0],1.0 [1;1],1.0 [1;1],1.0 [0;1]
SPAdes,Multiple k-mer De Bruijn graph,0.0 [0;0],0.67 [0;0],4224.0 [0;6336],4224.0 [0;6336],0.0 [0;0],Genomic,4224.0 [0;6336],0.67 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.0 [0;0],0.0 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1]
Unicycler,Multiple k-mer De Bruijn graph,0.0 [0;0],0.99 [0;1],6280.33 [6230;6367],6280.33 [6230;6367],0.0 [0;0],Genomic,6270.33 [6230;6337],0.99 [0;1],1.0 [1;1],1.0 [0;1],1.0 [0;1],0.0 [0;0],0.0 [0;0],1.0 [1;1],1.0 [1;1],1.0 [1;1]
VelvetOptimiser,Multiple k-mer De Bruijn graph,0.0 [0;0],0.67 [0;0],4224.0 [0;6336],4224.0 [0;6336],0.0 [0;0],Metagenomic,4224.0 [0;6336],0.67 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.0 [0;0],0.0 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1]
