Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.41 [0;0],0.41 [0;0],0.44 [0;1],0.44 [0;1],0.44 [0;1],0.44 [0;1],0.44 [0;1],0.0 [0;0],0.44 [0;1],1214.39 [0;2992],1214.39 [0;2992],1214.39 [0;2992],0.0 [0;0],0.0 [0;0],0.0 [0;0]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.5 [0;1],0.49 [0;1],0.51 [0;1],0.5 [0;1],0.51 [0;1],0.5 [0;1],0.5 [0;1],0.0 [0;0],0.5 [0;1],1488.17 [0;3162],1488.17 [0;3162],1462.33 [0;2993],0.0 [0;0],0.0 [0;0],0.0 [0;0]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.41 [0;0],0.47 [0;0],0.51 [0;1],0.5 [0;1],0.51 [0;1],0.5 [0;1],0.5 [0;1],0.17 [0;1],0.67 [0;2],1230.33 [0;2847],1230.33 [0;2847],1408.5 [0;2847],0.0 [0;0],0.0 [0;0],0.0 [0;0]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.51 [0;1],0.5 [0;1],0.51 [0;1],0.5 [0;1],0.51 [0;1],0.5 [0;1],0.5 [0;1],0.0 [0;0],0.5 [0;1],1519.67 [0;3134],1519.67 [0;3134],1496.17 [0;2993],0.0 [0;0],0.0 [0;0],0.0 [0;0]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.42 [0;0],0.42 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.0 [0;0],0.5 [0;1],1262.17 [0;2990],1262.17 [0;2990],1262.17 [0;2990],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.4 [0;1],0.49 [0;1],0.55 [0;1],0.5 [0;1],0.55 [0;1],0.5 [0;1],0.5 [0;1],0.33 [0;1],0.83 [0;2],1201.83 [0;3857],1201.83 [0;3857],1472.0 [0;2993],0.0 [0;0],0.0 [0;0],0.0 [0;0]
MINIA,Genomic,Single k-mer De Bruijn graph,0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.42 [0;0],0.42 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.0 [0;0],0.5 [0;1],1268.33 [0;2782],1268.33 [0;2782],1268.33 [0;2782],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.26 [0;0],0.26 [0;0],0.33 [0;1],0.33 [0;1],0.33 [0;1],0.33 [0;1],0.33 [0;1],0.0 [0;0],0.33 [0;1],778.17 [0;2992],778.17 [0;2992],778.17 [0;2992],0.0 [0;0],0.0 [0;0],0.0 [0;0]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.49 [0;1],0.49 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.0 [0;0],0.5 [0;1],1463.17 [0;2993],1463.17 [0;2993],1463.17 [0;2993],0.0 [0;0],0.0 [0;0],0.0 [0;0]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0]
