task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
1	72/314b22	preprocessing_wf:PROCESS_REFERENCE	-	COMPLETED	0	2022-08-24 12:00:16.687	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	12.2s	2.5s	-	84.3%	0.1%	109.2 MB	393.3 MB	65.7 MB	170.3 MB
7	b9/ec1030	preprocessing_wf:PROCESS_READS	SRR8073716	COMPLETED	0	2022-08-24 12:00:16.691	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	3m 42s	3m 28s	-	99.1%	0.0%	54.2 MB	337 MB	3.9 GB	481 B
9	cb/430b08	assembly_wf:REFORMAT	SRR8073716	COMPLETED	0	2022-08-24 12:00:16.648	docker:pcerqueira/bbtools:38.44	16	3d	-	64 GB	4m 2s	3m 53s	-	263.9%	0.2%	251.7 MB	4.7 GB	7.9 GB	14.9 GB
6	1b/332bd3	assembly_wf:SKESA	SRR8073716	COMPLETED	0	2022-08-24 12:00:16.681	docker:cimendes/skesa:2.5.0-1	16	3d	-	64 GB	40m 2s	39m 50s	-	823.3%	22.4%	56.3 GB	83.3 GB	3.9 GB	29.1 MB
15	da/f9d4cb	mapping_wf:FILTER_ASSEMBLY	SKESA	COMPLETED	0	2022-08-24 12:40:16.868	docker:pcerqueira/bbtools:38.44	2	3d	-	8 GB	10.1s	1.2s	-	115.0%	0.0%	10.8 MB	58.9 MB	32.4 MB	26.8 MB
17	d7/f2fc15	mapping_wf:ASSEMBLY_MAPPING	SKESA	COMPLETED	0	2022-08-24 12:40:46.870	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	39.6s	11.8s	-	651.5%	0.5%	1.4 GB	1.9 GB	197.1 MB	1.6 MB
18	81/096092	mapping_wf:ASSEMBLY_MAPPING_MISASSEMBLY	SKESA	COMPLETED	0	2022-08-24 12:40:46.874	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	44.4s	14.8s	-	719.8%	0.5%	1.3 GB	1.9 GB	197.1 MB	482.4 KB
22	2b/f208d3	postprocessing_wf:MISASSEMBLY	SKESA	COMPLETED	0	2022-08-24 12:41:16.884	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	14.7s	2.7s	-	91.3%	0.1%	78.1 MB	362.1 MB	14.2 MB	12.1 KB
21	83/8ac4c3	postprocessing_wf:SNP_ASSESSMENT	SKESA	COMPLETED	0	2022-08-24 12:41:16.870	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	24.9s	8.2s	-	62.2%	0.1%	116.9 MB	398.2 MB	199.2 MB	56.3 KB
20	4a/e90856	postprocessing_wf:GAP_ASSESSMENT	SKESA	COMPLETED	0	2022-08-24 12:41:16.875	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	1m 25s	1m 4s	-	99.3%	0.3%	399.3 MB	681.3 MB	199.2 MB	200.9 KB
