,Reference,Assembler,NAx,Basepairs
0,2615840527,MEGAHIT,0,1037953
1,2615840527,MEGAHIT,1,1037953
2,2615840527,MEGAHIT,2,1037953
3,2615840527,MEGAHIT,3,1037953
4,2615840527,MEGAHIT,4,1037953
5,2615840527,MEGAHIT,5,1037953
6,2615840527,MEGAHIT,6,1037953
7,2615840527,MEGAHIT,7,1037953
8,2615840527,MEGAHIT,8,1037953
9,2615840527,MEGAHIT,9,1037953
10,2615840527,MEGAHIT,10,1037953
11,2615840527,MEGAHIT,11,1037953
12,2615840527,MEGAHIT,12,1037953
13,2615840527,MEGAHIT,13,1037953
14,2615840527,MEGAHIT,14,1037953
15,2615840527,MEGAHIT,15,1037953
16,2615840527,MEGAHIT,16,1037953
17,2615840527,MEGAHIT,17,1037953
18,2615840527,MEGAHIT,18,1037953
19,2615840527,MEGAHIT,19,1037953
20,2615840527,MEGAHIT,20,1037953
21,2615840527,MEGAHIT,21,1037953
22,2615840527,MEGAHIT,22,1037953
23,2615840527,MEGAHIT,23,1037953
24,2615840527,MEGAHIT,24,1037953
25,2615840527,MEGAHIT,25,1037953
26,2615840527,MEGAHIT,26,1037953
27,2615840527,MEGAHIT,27,1037953
28,2615840527,MEGAHIT,28,1037953
29,2615840527,MEGAHIT,29,1037953
30,2615840527,MEGAHIT,30,914947
31,2615840527,MEGAHIT,31,914947
32,2615840527,MEGAHIT,32,914947
33,2615840527,MEGAHIT,33,914947
34,2615840527,MEGAHIT,34,914947
35,2615840527,MEGAHIT,35,914947
36,2615840527,MEGAHIT,36,914947
37,2615840527,MEGAHIT,37,914947
38,2615840527,MEGAHIT,38,914947
39,2615840527,MEGAHIT,39,914947
40,2615840527,MEGAHIT,40,914947
41,2615840527,MEGAHIT,41,914947
42,2615840527,MEGAHIT,42,914947
43,2615840527,MEGAHIT,43,914947
44,2615840527,MEGAHIT,44,914947
45,2615840527,MEGAHIT,45,914947
46,2615840527,MEGAHIT,46,914947
47,2615840527,MEGAHIT,47,914947
48,2615840527,MEGAHIT,48,914947
49,2615840527,MEGAHIT,49,914947
50,2615840527,MEGAHIT,50,914947
51,2615840527,MEGAHIT,51,914947
52,2615840527,MEGAHIT,52,914947
53,2615840527,MEGAHIT,53,914947
54,2615840527,MEGAHIT,54,914947
55,2615840527,MEGAHIT,55,335780
56,2615840527,MEGAHIT,56,335780
57,2615840527,MEGAHIT,57,335780
58,2615840527,MEGAHIT,58,335780
59,2615840527,MEGAHIT,59,335780
60,2615840527,MEGAHIT,60,335780
61,2615840527,MEGAHIT,61,335780
62,2615840527,MEGAHIT,62,335780
63,2615840527,MEGAHIT,63,335780
64,2615840527,MEGAHIT,64,335780
65,2615840527,MEGAHIT,65,321868
66,2615840527,MEGAHIT,66,321868
67,2615840527,MEGAHIT,67,321868
68,2615840527,MEGAHIT,68,321868
69,2615840527,MEGAHIT,69,321868
70,2615840527,MEGAHIT,70,321868
71,2615840527,MEGAHIT,71,321868
72,2615840527,MEGAHIT,72,321868
73,2615840527,MEGAHIT,73,321868
74,2615840527,MEGAHIT,74,263834
75,2615840527,MEGAHIT,75,263834
76,2615840527,MEGAHIT,76,263834
77,2615840527,MEGAHIT,77,263834
78,2615840527,MEGAHIT,78,263834
79,2615840527,MEGAHIT,79,263834
80,2615840527,MEGAHIT,80,263834
81,2615840527,MEGAHIT,81,180896
82,2615840527,MEGAHIT,82,180896
83,2615840527,MEGAHIT,83,180896
84,2615840527,MEGAHIT,84,180896
85,2615840527,MEGAHIT,85,180896
86,2615840527,MEGAHIT,86,144753
87,2615840527,MEGAHIT,87,144753
88,2615840527,MEGAHIT,88,144753
89,2615840527,MEGAHIT,89,144753
90,2615840527,MEGAHIT,90,131587
91,2615840527,MEGAHIT,91,131587
92,2615840527,MEGAHIT,92,131587
93,2615840527,MEGAHIT,93,131587
94,2615840527,MEGAHIT,94,115256
95,2615840527,MEGAHIT,95,115256
96,2615840527,MEGAHIT,96,115256
97,2615840527,MEGAHIT,97,21460
98,2615840527,MEGAHIT,98,17056
99,2615840527,MEGAHIT,99,8466
100,2615840527,MEGAHIT,100,1120
101,2615840533A,MEGAHIT,0,135832
102,2615840533A,MEGAHIT,1,135832
103,2615840533A,MEGAHIT,2,135832
104,2615840533A,MEGAHIT,3,135832
105,2615840533A,MEGAHIT,4,135832
106,2615840533A,MEGAHIT,5,135832
107,2615840533A,MEGAHIT,6,135832
108,2615840533A,MEGAHIT,7,135832
109,2615840533A,MEGAHIT,8,135832
110,2615840533A,MEGAHIT,9,135832
111,2615840533A,MEGAHIT,10,135832
112,2615840533A,MEGAHIT,11,135832
113,2615840533A,MEGAHIT,12,135832
114,2615840533A,MEGAHIT,13,135832
115,2615840533A,MEGAHIT,14,122492
116,2615840533A,MEGAHIT,15,122492
117,2615840533A,MEGAHIT,16,122492
118,2615840533A,MEGAHIT,17,122492
119,2615840533A,MEGAHIT,18,122492
120,2615840533A,MEGAHIT,19,122492
121,2615840533A,MEGAHIT,20,122492
122,2615840533A,MEGAHIT,21,122492
123,2615840533A,MEGAHIT,22,122492
124,2615840533A,MEGAHIT,23,122492
125,2615840533A,MEGAHIT,24,122492
126,2615840533A,MEGAHIT,25,122492
127,2615840533A,MEGAHIT,26,121837
128,2615840533A,MEGAHIT,27,121837
129,2615840533A,MEGAHIT,28,121837
130,2615840533A,MEGAHIT,29,121837
131,2615840533A,MEGAHIT,30,121837
132,2615840533A,MEGAHIT,31,121837
133,2615840533A,MEGAHIT,32,121837
134,2615840533A,MEGAHIT,33,121837
135,2615840533A,MEGAHIT,34,121837
136,2615840533A,MEGAHIT,35,121837
137,2615840533A,MEGAHIT,36,121837
138,2615840533A,MEGAHIT,37,121837
139,2615840533A,MEGAHIT,38,110568
140,2615840533A,MEGAHIT,39,110568
141,2615840533A,MEGAHIT,40,110568
142,2615840533A,MEGAHIT,41,110568
143,2615840533A,MEGAHIT,42,110568
144,2615840533A,MEGAHIT,43,110568
145,2615840533A,MEGAHIT,44,110568
146,2615840533A,MEGAHIT,45,110568
147,2615840533A,MEGAHIT,46,110568
148,2615840533A,MEGAHIT,47,110568
149,2615840533A,MEGAHIT,48,110568
150,2615840533A,MEGAHIT,49,64415
151,2615840533A,MEGAHIT,50,64415
152,2615840533A,MEGAHIT,51,64415
153,2615840533A,MEGAHIT,52,64415
154,2615840533A,MEGAHIT,53,64415
155,2615840533A,MEGAHIT,54,64415
156,2615840533A,MEGAHIT,55,64415
157,2615840533A,MEGAHIT,56,52805
158,2615840533A,MEGAHIT,57,52805
159,2615840533A,MEGAHIT,58,52805
160,2615840533A,MEGAHIT,59,52805
161,2615840533A,MEGAHIT,60,52805
162,2615840533A,MEGAHIT,61,49169
163,2615840533A,MEGAHIT,62,49169
164,2615840533A,MEGAHIT,63,49169
165,2615840533A,MEGAHIT,64,49169
166,2615840533A,MEGAHIT,65,49169
167,2615840533A,MEGAHIT,66,48733
168,2615840533A,MEGAHIT,67,48733
169,2615840533A,MEGAHIT,68,48733
170,2615840533A,MEGAHIT,69,48733
171,2615840533A,MEGAHIT,70,48733
172,2615840533A,MEGAHIT,71,46089
173,2615840533A,MEGAHIT,72,46089
174,2615840533A,MEGAHIT,73,46089
175,2615840533A,MEGAHIT,74,46089
176,2615840533A,MEGAHIT,75,40220
177,2615840533A,MEGAHIT,76,40220
178,2615840533A,MEGAHIT,77,40220
179,2615840533A,MEGAHIT,78,40220
180,2615840533A,MEGAHIT,79,37507
181,2615840533A,MEGAHIT,80,37507
182,2615840533A,MEGAHIT,81,37507
183,2615840533A,MEGAHIT,82,37507
184,2615840533A,MEGAHIT,83,29183
185,2615840533A,MEGAHIT,84,29183
186,2615840533A,MEGAHIT,85,29183
187,2615840533A,MEGAHIT,86,28945
188,2615840533A,MEGAHIT,87,28945
189,2615840533A,MEGAHIT,88,28945
190,2615840533A,MEGAHIT,89,27530
191,2615840533A,MEGAHIT,90,27530
192,2615840533A,MEGAHIT,91,14585
193,2615840533A,MEGAHIT,92,14585
194,2615840533A,MEGAHIT,93,14293
195,2615840533A,MEGAHIT,94,13211
196,2615840533A,MEGAHIT,95,13211
197,2615840533A,MEGAHIT,96,12912
198,2615840533A,MEGAHIT,97,11387
199,2615840533A,MEGAHIT,98,8805
200,2615840533A,MEGAHIT,99,7025
201,2615840533A,MEGAHIT,100,1321
202,2615840533B,MEGAHIT,0,425167
203,2615840533B,MEGAHIT,1,425167
204,2615840533B,MEGAHIT,2,425167
205,2615840533B,MEGAHIT,3,425167
206,2615840533B,MEGAHIT,4,425167
207,2615840533B,MEGAHIT,5,425167
208,2615840533B,MEGAHIT,6,425167
209,2615840533B,MEGAHIT,7,425167
210,2615840533B,MEGAHIT,8,425167
211,2615840533B,MEGAHIT,9,425167
212,2615840533B,MEGAHIT,10,425167
213,2615840533B,MEGAHIT,11,359745
214,2615840533B,MEGAHIT,12,359745
215,2615840533B,MEGAHIT,13,359745
216,2615840533B,MEGAHIT,14,359745
217,2615840533B,MEGAHIT,15,359745
218,2615840533B,MEGAHIT,16,359745
219,2615840533B,MEGAHIT,17,359745
220,2615840533B,MEGAHIT,18,359745
221,2615840533B,MEGAHIT,19,359745
222,2615840533B,MEGAHIT,20,359745
223,2615840533B,MEGAHIT,21,329898
224,2615840533B,MEGAHIT,22,329898
225,2615840533B,MEGAHIT,23,329898
226,2615840533B,MEGAHIT,24,329898
227,2615840533B,MEGAHIT,25,329898
228,2615840533B,MEGAHIT,26,329898
229,2615840533B,MEGAHIT,27,329898
230,2615840533B,MEGAHIT,28,329898
231,2615840533B,MEGAHIT,29,297730
232,2615840533B,MEGAHIT,30,297730
233,2615840533B,MEGAHIT,31,297730
234,2615840533B,MEGAHIT,32,297730
235,2615840533B,MEGAHIT,33,297730
236,2615840533B,MEGAHIT,34,297730
237,2615840533B,MEGAHIT,35,297730
238,2615840533B,MEGAHIT,36,297730
239,2615840533B,MEGAHIT,37,291372
240,2615840533B,MEGAHIT,38,291372
241,2615840533B,MEGAHIT,39,291372
242,2615840533B,MEGAHIT,40,291372
243,2615840533B,MEGAHIT,41,291372
244,2615840533B,MEGAHIT,42,291372
245,2615840533B,MEGAHIT,43,291372
246,2615840533B,MEGAHIT,44,284882
247,2615840533B,MEGAHIT,45,284882
248,2615840533B,MEGAHIT,46,284882
249,2615840533B,MEGAHIT,47,284882
250,2615840533B,MEGAHIT,48,284882
251,2615840533B,MEGAHIT,49,284882
252,2615840533B,MEGAHIT,50,284882
253,2615840533B,MEGAHIT,51,284882
254,2615840533B,MEGAHIT,52,268693
255,2615840533B,MEGAHIT,53,268693
256,2615840533B,MEGAHIT,54,268693
257,2615840533B,MEGAHIT,55,268693
258,2615840533B,MEGAHIT,56,268693
259,2615840533B,MEGAHIT,57,268693
260,2615840533B,MEGAHIT,58,268693
261,2615840533B,MEGAHIT,59,213767
262,2615840533B,MEGAHIT,60,213767
263,2615840533B,MEGAHIT,61,213767
264,2615840533B,MEGAHIT,62,213767
265,2615840533B,MEGAHIT,63,213767
266,2615840533B,MEGAHIT,64,185884
267,2615840533B,MEGAHIT,65,185884
268,2615840533B,MEGAHIT,66,185884
269,2615840533B,MEGAHIT,67,185884
270,2615840533B,MEGAHIT,68,185884
271,2615840533B,MEGAHIT,69,175757
272,2615840533B,MEGAHIT,70,175757
273,2615840533B,MEGAHIT,71,175757
274,2615840533B,MEGAHIT,72,175757
275,2615840533B,MEGAHIT,73,171755
276,2615840533B,MEGAHIT,74,171755
277,2615840533B,MEGAHIT,75,171755
278,2615840533B,MEGAHIT,76,171755
279,2615840533B,MEGAHIT,77,171755
280,2615840533B,MEGAHIT,78,154673
281,2615840533B,MEGAHIT,79,154673
282,2615840533B,MEGAHIT,80,154673
283,2615840533B,MEGAHIT,81,154673
284,2615840533B,MEGAHIT,82,130353
285,2615840533B,MEGAHIT,83,130353
286,2615840533B,MEGAHIT,84,130353
287,2615840533B,MEGAHIT,85,111928
288,2615840533B,MEGAHIT,86,111928
289,2615840533B,MEGAHIT,87,111928
290,2615840533B,MEGAHIT,88,96051
291,2615840533B,MEGAHIT,89,96051
292,2615840533B,MEGAHIT,90,96051
293,2615840533B,MEGAHIT,91,73000
294,2615840533B,MEGAHIT,92,61341
295,2615840533B,MEGAHIT,93,61341
296,2615840533B,MEGAHIT,94,35480
297,2615840533B,MEGAHIT,95,34507
298,2615840533B,MEGAHIT,96,34402
299,2615840533B,MEGAHIT,97,33271
300,2615840533B,MEGAHIT,98,20924
301,2615840533B,MEGAHIT,99,14154
302,2615840533B,MEGAHIT,100,1025
303,2615840601,MEGAHIT,0,688730
304,2615840601,MEGAHIT,1,688730
305,2615840601,MEGAHIT,2,688730
306,2615840601,MEGAHIT,3,688730
307,2615840601,MEGAHIT,4,688730
308,2615840601,MEGAHIT,5,688730
309,2615840601,MEGAHIT,6,688730
310,2615840601,MEGAHIT,7,688730
311,2615840601,MEGAHIT,8,688730
312,2615840601,MEGAHIT,9,688730
313,2615840601,MEGAHIT,10,688730
314,2615840601,MEGAHIT,11,688730
315,2615840601,MEGAHIT,12,688730
316,2615840601,MEGAHIT,13,261575
317,2615840601,MEGAHIT,14,261575
318,2615840601,MEGAHIT,15,261575
319,2615840601,MEGAHIT,16,261575
320,2615840601,MEGAHIT,17,261575
321,2615840601,MEGAHIT,18,261075
322,2615840601,MEGAHIT,19,261075
323,2615840601,MEGAHIT,20,261075
324,2615840601,MEGAHIT,21,261075
325,2615840601,MEGAHIT,22,240999
326,2615840601,MEGAHIT,23,240999
327,2615840601,MEGAHIT,24,240999
328,2615840601,MEGAHIT,25,240999
329,2615840601,MEGAHIT,26,240999
330,2615840601,MEGAHIT,27,191799
331,2615840601,MEGAHIT,28,191799
332,2615840601,MEGAHIT,29,191799
333,2615840601,MEGAHIT,30,186803
334,2615840601,MEGAHIT,31,186803
335,2615840601,MEGAHIT,32,186803
336,2615840601,MEGAHIT,33,186803
337,2615840601,MEGAHIT,34,186640
338,2615840601,MEGAHIT,35,186640
339,2615840601,MEGAHIT,36,186640
340,2615840601,MEGAHIT,37,179261
341,2615840601,MEGAHIT,38,179261
342,2615840601,MEGAHIT,39,179261
343,2615840601,MEGAHIT,40,176069
344,2615840601,MEGAHIT,41,176069
345,2615840601,MEGAHIT,42,176069
346,2615840601,MEGAHIT,43,157266
347,2615840601,MEGAHIT,44,157266
348,2615840601,MEGAHIT,45,157266
349,2615840601,MEGAHIT,46,153616
350,2615840601,MEGAHIT,47,153616
351,2615840601,MEGAHIT,48,153616
352,2615840601,MEGAHIT,49,123756
353,2615840601,MEGAHIT,50,123756
354,2615840601,MEGAHIT,51,123506
355,2615840601,MEGAHIT,52,123506
356,2615840601,MEGAHIT,53,123506
357,2615840601,MEGAHIT,54,116932
358,2615840601,MEGAHIT,55,116932
359,2615840601,MEGAHIT,56,116756
360,2615840601,MEGAHIT,57,116756
361,2615840601,MEGAHIT,58,116394
362,2615840601,MEGAHIT,59,116394
363,2615840601,MEGAHIT,60,115661
364,2615840601,MEGAHIT,61,115661
365,2615840601,MEGAHIT,62,107001
366,2615840601,MEGAHIT,63,107001
367,2615840601,MEGAHIT,64,105324
368,2615840601,MEGAHIT,65,105324
369,2615840601,MEGAHIT,66,96596
370,2615840601,MEGAHIT,67,96596
371,2615840601,MEGAHIT,68,92877
372,2615840601,MEGAHIT,69,81786
373,2615840601,MEGAHIT,70,81786
374,2615840601,MEGAHIT,71,78060
375,2615840601,MEGAHIT,72,65560
376,2615840601,MEGAHIT,73,62971
377,2615840601,MEGAHIT,74,62971
378,2615840601,MEGAHIT,75,57721
379,2615840601,MEGAHIT,76,56373
380,2615840601,MEGAHIT,77,55706
381,2615840601,MEGAHIT,78,43155
382,2615840601,MEGAHIT,79,39503
383,2615840601,MEGAHIT,80,37746
384,2615840601,MEGAHIT,81,36507
385,2615840601,MEGAHIT,82,36396
386,2615840601,MEGAHIT,83,32803
387,2615840601,MEGAHIT,84,32391
388,2615840601,MEGAHIT,85,29187
389,2615840601,MEGAHIT,86,28389
390,2615840601,MEGAHIT,87,26977
391,2615840601,MEGAHIT,88,25885
392,2615840601,MEGAHIT,89,25207
393,2615840601,MEGAHIT,90,21109
394,2615840601,MEGAHIT,91,19436
395,2615840601,MEGAHIT,92,16377
396,2615840601,MEGAHIT,93,15515
397,2615840601,MEGAHIT,94,13337
398,2615840601,MEGAHIT,95,12105
399,2615840601,MEGAHIT,96,10062
400,2615840601,MEGAHIT,97,7352
401,2615840601,MEGAHIT,98,5562
402,2615840601,MEGAHIT,99,2688
403,2615840601,MEGAHIT,100,1020
404,2615840646,MEGAHIT,0,688730
405,2615840646,MEGAHIT,1,688730
406,2615840646,MEGAHIT,2,688730
407,2615840646,MEGAHIT,3,688730
408,2615840646,MEGAHIT,4,688730
409,2615840646,MEGAHIT,5,688730
410,2615840646,MEGAHIT,6,688730
411,2615840646,MEGAHIT,7,688730
412,2615840646,MEGAHIT,8,688730
413,2615840646,MEGAHIT,9,688730
414,2615840646,MEGAHIT,10,688730
415,2615840646,MEGAHIT,11,688730
416,2615840646,MEGAHIT,12,688730
417,2615840646,MEGAHIT,13,688730
418,2615840646,MEGAHIT,14,688730
419,2615840646,MEGAHIT,15,688730
420,2615840646,MEGAHIT,16,631074
421,2615840646,MEGAHIT,17,631074
422,2615840646,MEGAHIT,18,631074
423,2615840646,MEGAHIT,19,631074
424,2615840646,MEGAHIT,20,631074
425,2615840646,MEGAHIT,21,631074
426,2615840646,MEGAHIT,22,631074
427,2615840646,MEGAHIT,23,631074
428,2615840646,MEGAHIT,24,631074
429,2615840646,MEGAHIT,25,631074
430,2615840646,MEGAHIT,26,631074
431,2615840646,MEGAHIT,27,631074
432,2615840646,MEGAHIT,28,631074
433,2615840646,MEGAHIT,29,626555
434,2615840646,MEGAHIT,30,626555
435,2615840646,MEGAHIT,31,626555
436,2615840646,MEGAHIT,32,626555
437,2615840646,MEGAHIT,33,626555
438,2615840646,MEGAHIT,34,626555
439,2615840646,MEGAHIT,35,626555
440,2615840646,MEGAHIT,36,626555
441,2615840646,MEGAHIT,37,626555
442,2615840646,MEGAHIT,38,626555
443,2615840646,MEGAHIT,39,626555
444,2615840646,MEGAHIT,40,626555
445,2615840646,MEGAHIT,41,626555
446,2615840646,MEGAHIT,42,626555
447,2615840646,MEGAHIT,43,481585
448,2615840646,MEGAHIT,44,481585
449,2615840646,MEGAHIT,45,481585
450,2615840646,MEGAHIT,46,481585
451,2615840646,MEGAHIT,47,481585
452,2615840646,MEGAHIT,48,481585
453,2615840646,MEGAHIT,49,481585
454,2615840646,MEGAHIT,50,481585
455,2615840646,MEGAHIT,51,481585
456,2615840646,MEGAHIT,52,481585
457,2615840646,MEGAHIT,53,454324
458,2615840646,MEGAHIT,54,454324
459,2615840646,MEGAHIT,55,454324
460,2615840646,MEGAHIT,56,454324
461,2615840646,MEGAHIT,57,454324
462,2615840646,MEGAHIT,58,454324
463,2615840646,MEGAHIT,59,454324
464,2615840646,MEGAHIT,60,454324
465,2615840646,MEGAHIT,61,454324
466,2615840646,MEGAHIT,62,454324
467,2615840646,MEGAHIT,63,301300
468,2615840646,MEGAHIT,64,301300
469,2615840646,MEGAHIT,65,301300
470,2615840646,MEGAHIT,66,301300
471,2615840646,MEGAHIT,67,301300
472,2615840646,MEGAHIT,68,301300
473,2615840646,MEGAHIT,69,301300
474,2615840646,MEGAHIT,70,254826
475,2615840646,MEGAHIT,71,254826
476,2615840646,MEGAHIT,72,254826
477,2615840646,MEGAHIT,73,254826
478,2615840646,MEGAHIT,74,254826
479,2615840646,MEGAHIT,75,244786
480,2615840646,MEGAHIT,76,244786
481,2615840646,MEGAHIT,77,244786
482,2615840646,MEGAHIT,78,244786
483,2615840646,MEGAHIT,79,244786
484,2615840646,MEGAHIT,80,244786
485,2615840646,MEGAHIT,81,177894
486,2615840646,MEGAHIT,82,177894
487,2615840646,MEGAHIT,83,177894
488,2615840646,MEGAHIT,84,177894
489,2615840646,MEGAHIT,85,166983
490,2615840646,MEGAHIT,86,166983
491,2615840646,MEGAHIT,87,166983
492,2615840646,MEGAHIT,88,158036
493,2615840646,MEGAHIT,89,158036
494,2615840646,MEGAHIT,90,158036
495,2615840646,MEGAHIT,91,158036
496,2615840646,MEGAHIT,92,153873
497,2615840646,MEGAHIT,93,153873
498,2615840646,MEGAHIT,94,153873
499,2615840646,MEGAHIT,95,105090
500,2615840646,MEGAHIT,96,105090
501,2615840646,MEGAHIT,97,66433
502,2615840646,MEGAHIT,98,66433
503,2615840646,MEGAHIT,99,37896
504,2615840646,MEGAHIT,100,1518
505,2615840697,MEGAHIT,0,272919
506,2615840697,MEGAHIT,1,272919
507,2615840697,MEGAHIT,2,272919
508,2615840697,MEGAHIT,3,272919
509,2615840697,MEGAHIT,4,272919
510,2615840697,MEGAHIT,5,272919
511,2615840697,MEGAHIT,6,242211
512,2615840697,MEGAHIT,7,242211
513,2615840697,MEGAHIT,8,242211
514,2615840697,MEGAHIT,9,242211
515,2615840697,MEGAHIT,10,242211
516,2615840697,MEGAHIT,11,206631
517,2615840697,MEGAHIT,12,206631
518,2615840697,MEGAHIT,13,206631
519,2615840697,MEGAHIT,14,206631
520,2615840697,MEGAHIT,15,206631
521,2615840697,MEGAHIT,16,185000
522,2615840697,MEGAHIT,17,185000
523,2615840697,MEGAHIT,18,185000
524,2615840697,MEGAHIT,19,185000
525,2615840697,MEGAHIT,20,173029
526,2615840697,MEGAHIT,21,173029
527,2615840697,MEGAHIT,22,173029
528,2615840697,MEGAHIT,23,155605
529,2615840697,MEGAHIT,24,155605
530,2615840697,MEGAHIT,25,155605
531,2615840697,MEGAHIT,26,155605
532,2615840697,MEGAHIT,27,153329
533,2615840697,MEGAHIT,28,153329
534,2615840697,MEGAHIT,29,153329
535,2615840697,MEGAHIT,30,135662
536,2615840697,MEGAHIT,31,135662
537,2615840697,MEGAHIT,32,135662
538,2615840697,MEGAHIT,33,131549
539,2615840697,MEGAHIT,34,131549
540,2615840697,MEGAHIT,35,131549
541,2615840697,MEGAHIT,36,131480
542,2615840697,MEGAHIT,37,131480
543,2615840697,MEGAHIT,38,120651
544,2615840697,MEGAHIT,39,120651
545,2615840697,MEGAHIT,40,120651
546,2615840697,MEGAHIT,41,113757
547,2615840697,MEGAHIT,42,113757
548,2615840697,MEGAHIT,43,112313
549,2615840697,MEGAHIT,44,112313
550,2615840697,MEGAHIT,45,112313
551,2615840697,MEGAHIT,46,108177
552,2615840697,MEGAHIT,47,108177
553,2615840697,MEGAHIT,48,107088
554,2615840697,MEGAHIT,49,107088
555,2615840697,MEGAHIT,50,97875
