,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9827551729908245,20
1,Enterococcus_faecalis,0.9781875397133329,20
2,Escherichia_coli_plasmid,0.0,0
3,Escherichia_coli,0.9713700787798132,72
4,Lactobacillus_fermentum,0.9318197921308243,77
5,Listeria_monocytogenes,0.9870466009567088,16
6,Pseudomonas_aeruginosa,0.9898850615326404,60
7,Salmonella_enterica,0.9790682107826763,50
8,Staphylococcus_aureus,0.9850892679804912,16
9,Staphylococcus_aureus_plasmid1,0.9831150386618274,1
10,Staphylococcus_aureus_plasmid2,0.9517148014440433,1
11,Staphylococcus_aureus_plasmid3,0.9642499164717675,1
