,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,MEGAHIT,0,396114
1,Bacillus_subtilis,MEGAHIT,1,396114
2,Bacillus_subtilis,MEGAHIT,2,396114
3,Bacillus_subtilis,MEGAHIT,3,396114
4,Bacillus_subtilis,MEGAHIT,4,396114
5,Bacillus_subtilis,MEGAHIT,5,396114
6,Bacillus_subtilis,MEGAHIT,6,396114
7,Bacillus_subtilis,MEGAHIT,7,396114
8,Bacillus_subtilis,MEGAHIT,8,396114
9,Bacillus_subtilis,MEGAHIT,9,396114
10,Bacillus_subtilis,MEGAHIT,10,372642
11,Bacillus_subtilis,MEGAHIT,11,372642
12,Bacillus_subtilis,MEGAHIT,12,372642
13,Bacillus_subtilis,MEGAHIT,13,372642
14,Bacillus_subtilis,MEGAHIT,14,372642
15,Bacillus_subtilis,MEGAHIT,15,372642
16,Bacillus_subtilis,MEGAHIT,16,372642
17,Bacillus_subtilis,MEGAHIT,17,372642
18,Bacillus_subtilis,MEGAHIT,18,372642
19,Bacillus_subtilis,MEGAHIT,19,372642
20,Bacillus_subtilis,MEGAHIT,20,343927
21,Bacillus_subtilis,MEGAHIT,21,343927
22,Bacillus_subtilis,MEGAHIT,22,343927
23,Bacillus_subtilis,MEGAHIT,23,343927
24,Bacillus_subtilis,MEGAHIT,24,343927
25,Bacillus_subtilis,MEGAHIT,25,343927
26,Bacillus_subtilis,MEGAHIT,26,343927
27,Bacillus_subtilis,MEGAHIT,27,343927
28,Bacillus_subtilis,MEGAHIT,28,314963
29,Bacillus_subtilis,MEGAHIT,29,314963
30,Bacillus_subtilis,MEGAHIT,30,314963
31,Bacillus_subtilis,MEGAHIT,31,314963
32,Bacillus_subtilis,MEGAHIT,32,314963
33,Bacillus_subtilis,MEGAHIT,33,314963
34,Bacillus_subtilis,MEGAHIT,34,314963
35,Bacillus_subtilis,MEGAHIT,35,314963
36,Bacillus_subtilis,MEGAHIT,36,294522
37,Bacillus_subtilis,MEGAHIT,37,294522
38,Bacillus_subtilis,MEGAHIT,38,294522
39,Bacillus_subtilis,MEGAHIT,39,294522
40,Bacillus_subtilis,MEGAHIT,40,294522
41,Bacillus_subtilis,MEGAHIT,41,294522
