,Reference,Assembler,NGx,Basepairs
0,Bacillus_subtilis,MEGAHIT,0,417210
1,Bacillus_subtilis,MEGAHIT,1,417210
2,Bacillus_subtilis,MEGAHIT,2,417210
3,Bacillus_subtilis,MEGAHIT,3,417210
4,Bacillus_subtilis,MEGAHIT,4,417210
5,Bacillus_subtilis,MEGAHIT,5,417210
6,Bacillus_subtilis,MEGAHIT,6,417210
7,Bacillus_subtilis,MEGAHIT,7,417210
8,Bacillus_subtilis,MEGAHIT,8,417210
9,Bacillus_subtilis,MEGAHIT,9,417210
10,Bacillus_subtilis,MEGAHIT,10,417210
11,Bacillus_subtilis,MEGAHIT,11,408946
12,Bacillus_subtilis,MEGAHIT,12,408946
13,Bacillus_subtilis,MEGAHIT,13,408946
14,Bacillus_subtilis,MEGAHIT,14,408946
15,Bacillus_subtilis,MEGAHIT,15,408946
16,Bacillus_subtilis,MEGAHIT,16,408946
17,Bacillus_subtilis,MEGAHIT,17,408946
18,Bacillus_subtilis,MEGAHIT,18,408946
19,Bacillus_subtilis,MEGAHIT,19,408946
20,Bacillus_subtilis,MEGAHIT,20,408946
21,Bacillus_subtilis,MEGAHIT,21,387305
22,Bacillus_subtilis,MEGAHIT,22,387305
23,Bacillus_subtilis,MEGAHIT,23,387305
24,Bacillus_subtilis,MEGAHIT,24,387305
25,Bacillus_subtilis,MEGAHIT,25,387305
26,Bacillus_subtilis,MEGAHIT,26,387305
27,Bacillus_subtilis,MEGAHIT,27,387305
28,Bacillus_subtilis,MEGAHIT,28,387305
29,Bacillus_subtilis,MEGAHIT,29,387305
30,Bacillus_subtilis,MEGAHIT,30,381605
31,Bacillus_subtilis,MEGAHIT,31,381605
32,Bacillus_subtilis,MEGAHIT,32,381605
33,Bacillus_subtilis,MEGAHIT,33,381605
34,Bacillus_subtilis,MEGAHIT,34,381605
35,Bacillus_subtilis,MEGAHIT,35,381605
36,Bacillus_subtilis,MEGAHIT,36,381605
37,Bacillus_subtilis,MEGAHIT,37,381605
38,Bacillus_subtilis,MEGAHIT,38,381605
39,Bacillus_subtilis,MEGAHIT,39,381605
40,Bacillus_subtilis,MEGAHIT,40,315167
41,Bacillus_subtilis,MEGAHIT,41,315167
42,Bacillus_subtilis,MEGAHIT,42,315167
43,Bacillus_subtilis,MEGAHIT,43,315167
44,Bacillus_subtilis,MEGAHIT,44,315167
45,Bacillus_subtilis,MEGAHIT,45,315167
46,Bacillus_subtilis,MEGAHIT,46,315167
47,Bacillus_subtilis,MEGAHIT,47,315167
48,Bacillus_subtilis,MEGAHIT,48,294549
49,Bacillus_subtilis,MEGAHIT,49,294549
50,Bacillus_subtilis,MEGAHIT,50,294549
51,Bacillus_subtilis,MEGAHIT,51,294549
52,Bacillus_subtilis,MEGAHIT,52,294549
53,Bacillus_subtilis,MEGAHIT,53,294549
54,Bacillus_subtilis,MEGAHIT,54,294549
55,Bacillus_subtilis,MEGAHIT,55,263471
56,Bacillus_subtilis,MEGAHIT,56,263471
57,Bacillus_subtilis,MEGAHIT,57,263471
58,Bacillus_subtilis,MEGAHIT,58,263471
59,Bacillus_subtilis,MEGAHIT,59,263471
60,Bacillus_subtilis,MEGAHIT,60,263471
61,Bacillus_subtilis,MEGAHIT,61,263471
62,Bacillus_subtilis,MEGAHIT,62,230214
63,Bacillus_subtilis,MEGAHIT,63,230214
64,Bacillus_subtilis,MEGAHIT,64,230214
65,Bacillus_subtilis,MEGAHIT,65,230214
