,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9826770649263399,51
1,Enterococcus_faecalis,0.9888651546078713,51
2,Escherichia_coli_plasmid,0.9830647140636505,2
3,Escherichia_coli,0.9728360522882071,167
4,Lactobacillus_fermentum,0.9363838237200531,95
5,Listeria_monocytogenes,0.9761086800907116,25
6,Pseudomonas_aeruginosa,0.9895997397064041,100
7,Salmonella_enterica,0.9778992408418432,145
8,Staphylococcus_aureus,0.9834940671919022,49
9,Staphylococcus_aureus_plasmid1,0.9790121508600284,2
10,Staphylococcus_aureus_plasmid2,1.0,1
11,Staphylococcus_aureus_plasmid3,1.0,1
