,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9860831697636762,22
1,Enterococcus_faecalis,0.9915400057355893,22
2,Escherichia_coli_plasmid,0.5497468342923633,26
3,Escherichia_coli,0.9877138157825709,100
4,Lactobacillus_fermentum,0.973619309590502,72
5,Listeria_monocytogenes,0.9882159191696671,15
6,Pseudomonas_aeruginosa,0.998303674880343,144
7,Salmonella_enterica,0.9881607127775306,68
8,Staphylococcus_aureus,0.9888872950367444,28
9,Staphylococcus_aureus_plasmid1,0.9995265898690232,1
10,Staphylococcus_aureus_plasmid2,0.9986462093862816,1
11,Staphylococcus_aureus_plasmid3,0.9993317741396592,1
