,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9761234028322083,170
1,Enterococcus_faecalis,0.9602750693050378,217
2,Escherichia_coli_plasmid,0.9480942121864973,8
3,Escherichia_coli,0.7863751759021319,1146
4,Lactobacillus_fermentum,0.9097165692296307,282
5,Listeria_monocytogenes,0.9732042660899055,186
6,Pseudomonas_aeruginosa,0.9554744837191361,596
7,Salmonella_enterica,0.7987745564574245,1105
8,Staphylococcus_aureus,0.9549433937280692,207
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
