,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9771417737995396,117
1,Enterococcus_faecalis,0.9610556295933917,166
2,Escherichia_coli_plasmid,0.9409401219922369,21
3,Escherichia_coli,0.7916292618888437,1122
4,Lactobacillus_fermentum,0.920508383573895,238
5,Listeria_monocytogenes,0.9752922627159596,128
6,Pseudomonas_aeruginosa,0.959701162929363,523
7,Salmonella_enterica,0.8036317484168273,1083
8,Staphylococcus_aureus,0.9565007098772244,175
9,Staphylococcus_aureus_plasmid1,0.995265898690232,1
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
