,Reference,Assembler,NGx,Basepairs
0,Bacillus_subtilis,SKESA,0,395598
1,Bacillus_subtilis,SKESA,1,395598
2,Bacillus_subtilis,SKESA,2,395598
3,Bacillus_subtilis,SKESA,3,395598
4,Bacillus_subtilis,SKESA,4,395598
5,Bacillus_subtilis,SKESA,5,395598
6,Bacillus_subtilis,SKESA,6,395598
7,Bacillus_subtilis,SKESA,7,395598
8,Bacillus_subtilis,SKESA,8,395598
9,Bacillus_subtilis,SKESA,9,395598
10,Bacillus_subtilis,SKESA,10,372360
11,Bacillus_subtilis,SKESA,11,372360
12,Bacillus_subtilis,SKESA,12,372360
13,Bacillus_subtilis,SKESA,13,372360
14,Bacillus_subtilis,SKESA,14,372360
15,Bacillus_subtilis,SKESA,15,372360
16,Bacillus_subtilis,SKESA,16,372360
17,Bacillus_subtilis,SKESA,17,372360
18,Bacillus_subtilis,SKESA,18,372360
19,Bacillus_subtilis,SKESA,19,342794
20,Bacillus_subtilis,SKESA,20,342794
21,Bacillus_subtilis,SKESA,21,342794
22,Bacillus_subtilis,SKESA,22,342794
23,Bacillus_subtilis,SKESA,23,342794
24,Bacillus_subtilis,SKESA,24,342794
25,Bacillus_subtilis,SKESA,25,342794
26,Bacillus_subtilis,SKESA,26,342794
27,Bacillus_subtilis,SKESA,27,342794
28,Bacillus_subtilis,SKESA,28,314934
29,Bacillus_subtilis,SKESA,29,314934
30,Bacillus_subtilis,SKESA,30,314934
31,Bacillus_subtilis,SKESA,31,314934
32,Bacillus_subtilis,SKESA,32,314934
33,Bacillus_subtilis,SKESA,33,314934
34,Bacillus_subtilis,SKESA,34,314934
35,Bacillus_subtilis,SKESA,35,314934
36,Bacillus_subtilis,SKESA,36,294265
37,Bacillus_subtilis,SKESA,37,294265
38,Bacillus_subtilis,SKESA,38,294265
39,Bacillus_subtilis,SKESA,39,294265
40,Bacillus_subtilis,SKESA,40,294265
41,Bacillus_subtilis,SKESA,41,294265
42,Bacillus_subtilis,SKESA,42,294265
43,Bacillus_subtilis,SKESA,43,269493
44,Bacillus_subtilis,SKESA,44,269493
45,Bacillus_subtilis,SKESA,45,269493
46,Bacillus_subtilis,SKESA,46,269493
47,Bacillus_subtilis,SKESA,47,269493
48,Bacillus_subtilis,SKESA,48,269493
49,Bacillus_subtilis,SKESA,49,269493
50,Bacillus_subtilis,SKESA,50,263164
51,Bacillus_subtilis,SKESA,51,263164
52,Bacillus_subtilis,SKESA,52,263164
53,Bacillus_subtilis,SKESA,53,263164
54,Bacillus_subtilis,SKESA,54,263164
55,Bacillus_subtilis,SKESA,55,263164
56,Bacillus_subtilis,SKESA,56,257066
57,Bacillus_subtilis,SKESA,57,257066
58,Bacillus_subtilis,SKESA,58,257066
59,Bacillus_subtilis,SKESA,59,257066
60,Bacillus_subtilis,SKESA,60,257066
61,Bacillus_subtilis,SKESA,61,257066
62,Bacillus_subtilis,SKESA,62,257066
63,Bacillus_subtilis,SKESA,63,252493
64,Bacillus_subtilis,SKESA,64,252493
65,Bacillus_subtilis,SKESA,65,252493
66,Bacillus_subtilis,SKESA,66,252493
67,Bacillus_subtilis,SKESA,67,252493
68,Bacillus_subtilis,SKESA,68,252493
69,Bacillus_subtilis,SKESA,69,212769
70,Bacillus_subtilis,SKESA,70,212769
71,Bacillus_subtilis,SKESA,71,212769
72,Bacillus_subtilis,SKESA,72,212769
73,Bacillus_subtilis,SKESA,73,212769
74,Bacillus_subtilis,SKESA,74,170545
75,Bacillus_subtilis,SKESA,75,170545
76,Bacillus_subtilis,SKESA,76,170545
77,Bacillus_subtilis,SKESA,77,170545
78,Bacillus_subtilis,SKESA,78,156306
79,Bacillus_subtilis,SKESA,79,156306
80,Bacillus_subtilis,SKESA,80,156306
81,Bacillus_subtilis,SKESA,81,156306
82,Bacillus_subtilis,SKESA,82,137175
83,Bacillus_subtilis,SKESA,83,137175
84,Bacillus_subtilis,SKESA,84,137175
85,Bacillus_subtilis,SKESA,85,137175
86,Bacillus_subtilis,SKESA,86,122299
87,Bacillus_subtilis,SKESA,87,122299
88,Bacillus_subtilis,SKESA,88,122299
89,Bacillus_subtilis,SKESA,89,83701
90,Bacillus_subtilis,SKESA,90,83701
91,Bacillus_subtilis,SKESA,91,59626
92,Bacillus_subtilis,SKESA,92,55096
93,Bacillus_subtilis,SKESA,93,38258
94,Bacillus_subtilis,SKESA,94,38212
95,Bacillus_subtilis,SKESA,95,37694
96,Bacillus_subtilis,SKESA,96,29580
97,Bacillus_subtilis,SKESA,97,23130
98,Bacillus_subtilis,SKESA,98,10073
99,Bacillus_subtilis,SKESA,99,0
100,Bacillus_subtilis,SKESA,100,0
101,Enterococcus_faecalis,SKESA,0,386146
102,Enterococcus_faecalis,SKESA,1,386146
103,Enterococcus_faecalis,SKESA,2,386146
104,Enterococcus_faecalis,SKESA,3,386146
105,Enterococcus_faecalis,SKESA,4,386146
106,Enterococcus_faecalis,SKESA,5,386146
107,Enterococcus_faecalis,SKESA,6,386146
108,Enterococcus_faecalis,SKESA,7,386146
109,Enterococcus_faecalis,SKESA,8,386146
110,Enterococcus_faecalis,SKESA,9,386146
111,Enterococcus_faecalis,SKESA,10,386146
112,Enterococcus_faecalis,SKESA,11,386146
113,Enterococcus_faecalis,SKESA,12,386146
114,Enterococcus_faecalis,SKESA,13,386146
115,Enterococcus_faecalis,SKESA,14,267674
116,Enterococcus_faecalis,SKESA,15,267674
117,Enterococcus_faecalis,SKESA,16,267674
118,Enterococcus_faecalis,SKESA,17,267674
119,Enterococcus_faecalis,SKESA,18,267674
120,Enterococcus_faecalis,SKESA,19,267674
121,Enterococcus_faecalis,SKESA,20,267674
122,Enterococcus_faecalis,SKESA,21,267674
123,Enterococcus_faecalis,SKESA,22,267674
124,Enterococcus_faecalis,SKESA,23,265038
125,Enterococcus_faecalis,SKESA,24,265038
126,Enterococcus_faecalis,SKESA,25,265038
127,Enterococcus_faecalis,SKESA,26,265038
128,Enterococcus_faecalis,SKESA,27,265038
129,Enterococcus_faecalis,SKESA,28,265038
130,Enterococcus_faecalis,SKESA,29,265038
131,Enterococcus_faecalis,SKESA,30,265038
132,Enterococcus_faecalis,SKESA,31,265038
133,Enterococcus_faecalis,SKESA,32,265038
134,Enterococcus_faecalis,SKESA,33,224766
135,Enterococcus_faecalis,SKESA,34,224766
136,Enterococcus_faecalis,SKESA,35,224766
137,Enterococcus_faecalis,SKESA,36,224766
138,Enterococcus_faecalis,SKESA,37,224766
139,Enterococcus_faecalis,SKESA,38,224766
140,Enterococcus_faecalis,SKESA,39,224766
141,Enterococcus_faecalis,SKESA,40,224766
142,Enterococcus_faecalis,SKESA,41,179586
143,Enterococcus_faecalis,SKESA,42,179586
144,Enterococcus_faecalis,SKESA,43,179586
145,Enterococcus_faecalis,SKESA,44,179586
146,Enterococcus_faecalis,SKESA,45,179586
147,Enterococcus_faecalis,SKESA,46,179586
148,Enterococcus_faecalis,SKESA,47,152709
149,Enterococcus_faecalis,SKESA,48,152709
150,Enterococcus_faecalis,SKESA,49,152709
151,Enterococcus_faecalis,SKESA,50,152709
152,Enterococcus_faecalis,SKESA,51,152709
153,Enterococcus_faecalis,SKESA,52,128262
154,Enterococcus_faecalis,SKESA,53,128262
155,Enterococcus_faecalis,SKESA,54,128262
156,Enterococcus_faecalis,SKESA,55,128262
157,Enterococcus_faecalis,SKESA,56,128262
158,Enterococcus_faecalis,SKESA,57,127641
159,Enterococcus_faecalis,SKESA,58,127641
160,Enterococcus_faecalis,SKESA,59,127641
161,Enterococcus_faecalis,SKESA,60,127641
162,Enterococcus_faecalis,SKESA,61,123418
163,Enterococcus_faecalis,SKESA,62,123418
164,Enterococcus_faecalis,SKESA,63,123418
165,Enterococcus_faecalis,SKESA,64,123418
166,Enterococcus_faecalis,SKESA,65,123418
167,Enterococcus_faecalis,SKESA,66,118697
168,Enterococcus_faecalis,SKESA,67,118697
169,Enterococcus_faecalis,SKESA,68,118697
170,Enterococcus_faecalis,SKESA,69,118697
171,Enterococcus_faecalis,SKESA,70,105392
172,Enterococcus_faecalis,SKESA,71,105392
173,Enterococcus_faecalis,SKESA,72,105392
174,Enterococcus_faecalis,SKESA,73,105392
175,Enterococcus_faecalis,SKESA,74,103618
176,Enterococcus_faecalis,SKESA,75,103618
177,Enterococcus_faecalis,SKESA,76,103618
178,Enterococcus_faecalis,SKESA,77,68618
179,Enterococcus_faecalis,SKESA,78,68618
180,Enterococcus_faecalis,SKESA,79,68618
181,Enterococcus_faecalis,SKESA,80,62978
182,Enterococcus_faecalis,SKESA,81,62978
183,Enterococcus_faecalis,SKESA,82,62231
184,Enterococcus_faecalis,SKESA,83,62231
185,Enterococcus_faecalis,SKESA,84,56677
186,Enterococcus_faecalis,SKESA,85,56677
187,Enterococcus_faecalis,SKESA,86,46517
188,Enterococcus_faecalis,SKESA,87,46517
189,Enterococcus_faecalis,SKESA,88,39477
190,Enterococcus_faecalis,SKESA,89,38592
191,Enterococcus_faecalis,SKESA,90,35727
192,Enterococcus_faecalis,SKESA,91,35727
193,Enterococcus_faecalis,SKESA,92,35548
194,Enterococcus_faecalis,SKESA,93,30473
195,Enterococcus_faecalis,SKESA,94,30056
196,Enterococcus_faecalis,SKESA,95,29105
197,Enterococcus_faecalis,SKESA,96,24811
198,Enterococcus_faecalis,SKESA,97,22871
199,Enterococcus_faecalis,SKESA,98,19319
200,Enterococcus_faecalis,SKESA,99,16153
201,Enterococcus_faecalis,SKESA,100,13244
202,Escherichia_coli_plasmid,SKESA,0,4641
203,Escherichia_coli_plasmid,SKESA,1,4641
204,Escherichia_coli_plasmid,SKESA,2,4641
205,Escherichia_coli_plasmid,SKESA,3,4641
206,Escherichia_coli_plasmid,SKESA,4,4641
207,Escherichia_coli_plasmid,SKESA,5,2739
208,Escherichia_coli_plasmid,SKESA,6,2739
209,Escherichia_coli_plasmid,SKESA,7,2202
210,Escherichia_coli_plasmid,SKESA,8,2202
211,Escherichia_coli_plasmid,SKESA,9,1829
212,Escherichia_coli_plasmid,SKESA,10,1829
213,Escherichia_coli_plasmid,SKESA,11,1721
214,Escherichia_coli_plasmid,SKESA,12,1624
215,Escherichia_coli_plasmid,SKESA,13,1624
216,Escherichia_coli_plasmid,SKESA,14,1442
217,Escherichia_coli_plasmid,SKESA,15,1430
218,Escherichia_coli_plasmid,SKESA,16,1430
219,Escherichia_coli_plasmid,SKESA,17,1409
220,Escherichia_coli_plasmid,SKESA,18,1404
