,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9806675125077954,30
1,Enterococcus_faecalis,0.9833523816753544,52
2,Escherichia_coli_plasmid,0.14013653676584217,12
3,Escherichia_coli,0.9570144083414018,270
4,Lactobacillus_fermentum,0.9314035919180532,94
5,Listeria_monocytogenes,0.9724894413806978,24
6,Pseudomonas_aeruginosa,0.9636581261511146,933
7,Salmonella_enterica,0.9593946819851311,245
8,Staphylococcus_aureus,0.9754470755265229,73
9,Staphylococcus_aureus_plasmid1,0.941612750512861,1
10,Staphylococcus_aureus_plasmid2,0.6588447653429603,1
11,Staphylococcus_aureus_plasmid3,0.7049782826595389,1
