,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,SPAdes,0,0
1,Bacillus_subtilis,SPAdes,1,0
2,Bacillus_subtilis,SPAdes,2,0
3,Bacillus_subtilis,SPAdes,3,0
4,Bacillus_subtilis,SPAdes,4,0
5,Bacillus_subtilis,SPAdes,5,0
6,Bacillus_subtilis,SPAdes,6,0
7,Bacillus_subtilis,SPAdes,7,0
8,Bacillus_subtilis,SPAdes,8,0
9,Bacillus_subtilis,SPAdes,9,0
10,Bacillus_subtilis,SPAdes,10,0
11,Bacillus_subtilis,SPAdes,11,0
12,Bacillus_subtilis,SPAdes,12,0
13,Bacillus_subtilis,SPAdes,13,0
14,Bacillus_subtilis,SPAdes,14,0
15,Bacillus_subtilis,SPAdes,15,0
16,Bacillus_subtilis,SPAdes,16,0
17,Bacillus_subtilis,SPAdes,17,0
18,Bacillus_subtilis,SPAdes,18,0
19,Bacillus_subtilis,SPAdes,19,0
20,Bacillus_subtilis,SPAdes,20,1
21,Bacillus_subtilis,SPAdes,21,1
22,Bacillus_subtilis,SPAdes,22,1
23,Bacillus_subtilis,SPAdes,23,1
24,Bacillus_subtilis,SPAdes,24,1
25,Bacillus_subtilis,SPAdes,25,1
26,Bacillus_subtilis,SPAdes,26,1
27,Bacillus_subtilis,SPAdes,27,1
28,Bacillus_subtilis,SPAdes,28,1
29,Bacillus_subtilis,SPAdes,29,1
30,Bacillus_subtilis,SPAdes,30,2
31,Bacillus_subtilis,SPAdes,31,2
32,Bacillus_subtilis,SPAdes,32,2
33,Bacillus_subtilis,SPAdes,33,2
34,Bacillus_subtilis,SPAdes,34,2
35,Bacillus_subtilis,SPAdes,35,2
36,Bacillus_subtilis,SPAdes,36,2
37,Bacillus_subtilis,SPAdes,37,2
38,Bacillus_subtilis,SPAdes,38,3
39,Bacillus_subtilis,SPAdes,39,3
40,Bacillus_subtilis,SPAdes,40,3
41,Bacillus_subtilis,SPAdes,41,3
42,Bacillus_subtilis,SPAdes,42,3
43,Bacillus_subtilis,SPAdes,43,3
44,Bacillus_subtilis,SPAdes,44,3
45,Bacillus_subtilis,SPAdes,45,3
46,Bacillus_subtilis,SPAdes,46,4
47,Bacillus_subtilis,SPAdes,47,4
48,Bacillus_subtilis,SPAdes,48,4
49,Bacillus_subtilis,SPAdes,49,4
50,Bacillus_subtilis,SPAdes,50,4
51,Bacillus_subtilis,SPAdes,51,4
52,Bacillus_subtilis,SPAdes,52,4
53,Bacillus_subtilis,SPAdes,53,4
54,Bacillus_subtilis,SPAdes,54,5
55,Bacillus_subtilis,SPAdes,55,5
56,Bacillus_subtilis,SPAdes,56,5
57,Bacillus_subtilis,SPAdes,57,5
58,Bacillus_subtilis,SPAdes,58,5
59,Bacillus_subtilis,SPAdes,59,5
60,Bacillus_subtilis,SPAdes,60,5
61,Bacillus_subtilis,SPAdes,61,6
62,Bacillus_subtilis,SPAdes,62,6
63,Bacillus_subtilis,SPAdes,63,6
64,Bacillus_subtilis,SPAdes,64,6
65,Bacillus_subtilis,SPAdes,65,6
66,Bacillus_subtilis,SPAdes,66,6
67,Bacillus_subtilis,SPAdes,67,6
68,Bacillus_subtilis,SPAdes,68,7
69,Bacillus_subtilis,SPAdes,69,7
70,Bacillus_subtilis,SPAdes,70,7
71,Bacillus_subtilis,SPAdes,71,7
72,Bacillus_subtilis,SPAdes,72,7
73,Bacillus_subtilis,SPAdes,73,7
74,Bacillus_subtilis,SPAdes,74,8
75,Bacillus_subtilis,SPAdes,75,8
76,Bacillus_subtilis,SPAdes,76,8
77,Bacillus_subtilis,SPAdes,77,8
78,Bacillus_subtilis,SPAdes,78,8
79,Bacillus_subtilis,SPAdes,79,8
80,Bacillus_subtilis,SPAdes,80,8
81,Bacillus_subtilis,SPAdes,81,9
