,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,GATBMiniaPipeline,0,0
1,Bacillus_subtilis,GATBMiniaPipeline,1,0
2,Bacillus_subtilis,GATBMiniaPipeline,2,0
3,Bacillus_subtilis,GATBMiniaPipeline,3,0
4,Bacillus_subtilis,GATBMiniaPipeline,4,0
5,Bacillus_subtilis,GATBMiniaPipeline,5,0
6,Bacillus_subtilis,GATBMiniaPipeline,6,0
7,Bacillus_subtilis,GATBMiniaPipeline,7,0
8,Bacillus_subtilis,GATBMiniaPipeline,8,0
9,Bacillus_subtilis,GATBMiniaPipeline,9,0
10,Bacillus_subtilis,GATBMiniaPipeline,10,0
11,Bacillus_subtilis,GATBMiniaPipeline,11,0
12,Bacillus_subtilis,GATBMiniaPipeline,12,0
13,Bacillus_subtilis,GATBMiniaPipeline,13,0
14,Bacillus_subtilis,GATBMiniaPipeline,14,0
15,Bacillus_subtilis,GATBMiniaPipeline,15,0
16,Bacillus_subtilis,GATBMiniaPipeline,16,0
17,Bacillus_subtilis,GATBMiniaPipeline,17,0
18,Bacillus_subtilis,GATBMiniaPipeline,18,0
19,Bacillus_subtilis,GATBMiniaPipeline,19,1
20,Bacillus_subtilis,GATBMiniaPipeline,20,1
21,Bacillus_subtilis,GATBMiniaPipeline,21,1
22,Bacillus_subtilis,GATBMiniaPipeline,22,1
23,Bacillus_subtilis,GATBMiniaPipeline,23,1
24,Bacillus_subtilis,GATBMiniaPipeline,24,1
25,Bacillus_subtilis,GATBMiniaPipeline,25,1
26,Bacillus_subtilis,GATBMiniaPipeline,26,1
27,Bacillus_subtilis,GATBMiniaPipeline,27,1
28,Bacillus_subtilis,GATBMiniaPipeline,28,1
29,Bacillus_subtilis,GATBMiniaPipeline,29,2
30,Bacillus_subtilis,GATBMiniaPipeline,30,2
31,Bacillus_subtilis,GATBMiniaPipeline,31,2
32,Bacillus_subtilis,GATBMiniaPipeline,32,2
33,Bacillus_subtilis,GATBMiniaPipeline,33,2
34,Bacillus_subtilis,GATBMiniaPipeline,34,2
35,Bacillus_subtilis,GATBMiniaPipeline,35,2
36,Bacillus_subtilis,GATBMiniaPipeline,36,2
37,Bacillus_subtilis,GATBMiniaPipeline,37,3
38,Bacillus_subtilis,GATBMiniaPipeline,38,3
39,Bacillus_subtilis,GATBMiniaPipeline,39,3
40,Bacillus_subtilis,GATBMiniaPipeline,40,3
41,Bacillus_subtilis,GATBMiniaPipeline,41,3
42,Bacillus_subtilis,GATBMiniaPipeline,42,3
43,Bacillus_subtilis,GATBMiniaPipeline,43,4
44,Bacillus_subtilis,GATBMiniaPipeline,44,4
45,Bacillus_subtilis,GATBMiniaPipeline,45,4
46,Bacillus_subtilis,GATBMiniaPipeline,46,4
47,Bacillus_subtilis,GATBMiniaPipeline,47,4
48,Bacillus_subtilis,GATBMiniaPipeline,48,4
49,Bacillus_subtilis,GATBMiniaPipeline,49,4
50,Bacillus_subtilis,GATBMiniaPipeline,50,5
51,Bacillus_subtilis,GATBMiniaPipeline,51,5
52,Bacillus_subtilis,GATBMiniaPipeline,52,5
53,Bacillus_subtilis,GATBMiniaPipeline,53,5
54,Bacillus_subtilis,GATBMiniaPipeline,54,5
55,Bacillus_subtilis,GATBMiniaPipeline,55,5
56,Bacillus_subtilis,GATBMiniaPipeline,56,6
57,Bacillus_subtilis,GATBMiniaPipeline,57,6
58,Bacillus_subtilis,GATBMiniaPipeline,58,6
59,Bacillus_subtilis,GATBMiniaPipeline,59,6
60,Bacillus_subtilis,GATBMiniaPipeline,60,6
61,Bacillus_subtilis,GATBMiniaPipeline,61,6
62,Bacillus_subtilis,GATBMiniaPipeline,62,7
63,Bacillus_subtilis,GATBMiniaPipeline,63,7
64,Bacillus_subtilis,GATBMiniaPipeline,64,7
65,Bacillus_subtilis,GATBMiniaPipeline,65,7
66,Bacillus_subtilis,GATBMiniaPipeline,66,7
67,Bacillus_subtilis,GATBMiniaPipeline,67,7
68,Bacillus_subtilis,GATBMiniaPipeline,68,8
69,Bacillus_subtilis,GATBMiniaPipeline,69,8
70,Bacillus_subtilis,GATBMiniaPipeline,70,8
71,Bacillus_subtilis,GATBMiniaPipeline,71,8
72,Bacillus_subtilis,GATBMiniaPipeline,72,9
73,Bacillus_subtilis,GATBMiniaPipeline,73,9
74,Bacillus_subtilis,GATBMiniaPipeline,74,9
75,Bacillus_subtilis,GATBMiniaPipeline,75,9
76,Bacillus_subtilis,GATBMiniaPipeline,76,10
77,Bacillus_subtilis,GATBMiniaPipeline,77,10
78,Bacillus_subtilis,GATBMiniaPipeline,78,10
79,Bacillus_subtilis,GATBMiniaPipeline,79,11
80,Bacillus_subtilis,GATBMiniaPipeline,80,11
81,Bacillus_subtilis,GATBMiniaPipeline,81,11
82,Bacillus_subtilis,GATBMiniaPipeline,82,11
83,Bacillus_subtilis,GATBMiniaPipeline,83,12
84,Bacillus_subtilis,GATBMiniaPipeline,84,12
85,Bacillus_subtilis,GATBMiniaPipeline,85,13
86,Bacillus_subtilis,GATBMiniaPipeline,86,13
87,Bacillus_subtilis,GATBMiniaPipeline,87,13
88,Bacillus_subtilis,GATBMiniaPipeline,88,14
89,Bacillus_subtilis,GATBMiniaPipeline,89,14
90,Bacillus_subtilis,GATBMiniaPipeline,90,15
91,Bacillus_subtilis,GATBMiniaPipeline,91,15
92,Bacillus_subtilis,GATBMiniaPipeline,92,16
93,Bacillus_subtilis,GATBMiniaPipeline,93,17
94,Bacillus_subtilis,GATBMiniaPipeline,94,18
95,Bacillus_subtilis,GATBMiniaPipeline,95,19
96,Bacillus_subtilis,GATBMiniaPipeline,96,20
97,Bacillus_subtilis,GATBMiniaPipeline,97,21
98,Bacillus_subtilis,GATBMiniaPipeline,98,24
99,Bacillus_subtilis,GATBMiniaPipeline,99,
100,Bacillus_subtilis,GATBMiniaPipeline,100,
101,Enterococcus_faecalis,GATBMiniaPipeline,0,0
102,Enterococcus_faecalis,GATBMiniaPipeline,1,0
103,Enterococcus_faecalis,GATBMiniaPipeline,2,0
104,Enterococcus_faecalis,GATBMiniaPipeline,3,0
105,Enterococcus_faecalis,GATBMiniaPipeline,4,0
106,Enterococcus_faecalis,GATBMiniaPipeline,5,0
107,Enterococcus_faecalis,GATBMiniaPipeline,6,0
108,Enterococcus_faecalis,GATBMiniaPipeline,7,0
109,Enterococcus_faecalis,GATBMiniaPipeline,8,0
110,Enterococcus_faecalis,GATBMiniaPipeline,9,0
111,Enterococcus_faecalis,GATBMiniaPipeline,10,0
112,Enterococcus_faecalis,GATBMiniaPipeline,11,0
113,Enterococcus_faecalis,GATBMiniaPipeline,12,0
114,Enterococcus_faecalis,GATBMiniaPipeline,13,0
115,Enterococcus_faecalis,GATBMiniaPipeline,14,0
116,Enterococcus_faecalis,GATBMiniaPipeline,15,0
117,Enterococcus_faecalis,GATBMiniaPipeline,16,0
118,Enterococcus_faecalis,GATBMiniaPipeline,17,0
119,Enterococcus_faecalis,GATBMiniaPipeline,18,0
120,Enterococcus_faecalis,GATBMiniaPipeline,19,0
121,Enterococcus_faecalis,GATBMiniaPipeline,20,1
122,Enterococcus_faecalis,GATBMiniaPipeline,21,1
123,Enterococcus_faecalis,GATBMiniaPipeline,22,1
124,Enterococcus_faecalis,GATBMiniaPipeline,23,1
125,Enterococcus_faecalis,GATBMiniaPipeline,24,1
126,Enterococcus_faecalis,GATBMiniaPipeline,25,1
127,Enterococcus_faecalis,GATBMiniaPipeline,26,1
128,Enterococcus_faecalis,GATBMiniaPipeline,27,1
129,Enterococcus_faecalis,GATBMiniaPipeline,28,2
130,Enterococcus_faecalis,GATBMiniaPipeline,29,2
131,Enterococcus_faecalis,GATBMiniaPipeline,30,2
132,Enterococcus_faecalis,GATBMiniaPipeline,31,2
133,Enterococcus_faecalis,GATBMiniaPipeline,32,2
134,Enterococcus_faecalis,GATBMiniaPipeline,33,2
135,Enterococcus_faecalis,GATBMiniaPipeline,34,2
136,Enterococcus_faecalis,GATBMiniaPipeline,35,2
137,Enterococcus_faecalis,GATBMiniaPipeline,36,3
138,Enterococcus_faecalis,GATBMiniaPipeline,37,3
139,Enterococcus_faecalis,GATBMiniaPipeline,38,3
140,Enterococcus_faecalis,GATBMiniaPipeline,39,3
141,Enterococcus_faecalis,GATBMiniaPipeline,40,3
142,Enterococcus_faecalis,GATBMiniaPipeline,41,3
143,Enterococcus_faecalis,GATBMiniaPipeline,42,3
144,Enterococcus_faecalis,GATBMiniaPipeline,43,4
145,Enterococcus_faecalis,GATBMiniaPipeline,44,4
146,Enterococcus_faecalis,GATBMiniaPipeline,45,4
147,Enterococcus_faecalis,GATBMiniaPipeline,46,4
148,Enterococcus_faecalis,GATBMiniaPipeline,47,4
149,Enterococcus_faecalis,GATBMiniaPipeline,48,4
150,Enterococcus_faecalis,GATBMiniaPipeline,49,4
151,Enterococcus_faecalis,GATBMiniaPipeline,50,5
152,Enterococcus_faecalis,GATBMiniaPipeline,51,5
153,Enterococcus_faecalis,GATBMiniaPipeline,52,5
154,Enterococcus_faecalis,GATBMiniaPipeline,53,5
155,Enterococcus_faecalis,GATBMiniaPipeline,54,5
156,Enterococcus_faecalis,GATBMiniaPipeline,55,5
157,Enterococcus_faecalis,GATBMiniaPipeline,56,6
158,Enterococcus_faecalis,GATBMiniaPipeline,57,6
159,Enterococcus_faecalis,GATBMiniaPipeline,58,6
160,Enterococcus_faecalis,GATBMiniaPipeline,59,6
161,Enterococcus_faecalis,GATBMiniaPipeline,60,7
162,Enterococcus_faecalis,GATBMiniaPipeline,61,7
163,Enterococcus_faecalis,GATBMiniaPipeline,62,7
164,Enterococcus_faecalis,GATBMiniaPipeline,63,7
165,Enterococcus_faecalis,GATBMiniaPipeline,64,7
166,Enterococcus_faecalis,GATBMiniaPipeline,65,8
167,Enterococcus_faecalis,GATBMiniaPipeline,66,8
168,Enterococcus_faecalis,GATBMiniaPipeline,67,8
169,Enterococcus_faecalis,GATBMiniaPipeline,68,8
170,Enterococcus_faecalis,GATBMiniaPipeline,69,9
171,Enterococcus_faecalis,GATBMiniaPipeline,70,9
172,Enterococcus_faecalis,GATBMiniaPipeline,71,9
173,Enterococcus_faecalis,GATBMiniaPipeline,72,9
174,Enterococcus_faecalis,GATBMiniaPipeline,73,10
175,Enterococcus_faecalis,GATBMiniaPipeline,74,10
176,Enterococcus_faecalis,GATBMiniaPipeline,75,10
177,Enterococcus_faecalis,GATBMiniaPipeline,76,11
178,Enterococcus_faecalis,GATBMiniaPipeline,77,11
179,Enterococcus_faecalis,GATBMiniaPipeline,78,11
180,Enterococcus_faecalis,GATBMiniaPipeline,79,12
181,Enterococcus_faecalis,GATBMiniaPipeline,80,12
182,Enterococcus_faecalis,GATBMiniaPipeline,81,13
183,Enterococcus_faecalis,GATBMiniaPipeline,82,13
184,Enterococcus_faecalis,GATBMiniaPipeline,83,14
185,Enterococcus_faecalis,GATBMiniaPipeline,84,14
186,Enterococcus_faecalis,GATBMiniaPipeline,85,15
187,Enterococcus_faecalis,GATBMiniaPipeline,86,16
188,Enterococcus_faecalis,GATBMiniaPipeline,87,16
189,Enterococcus_faecalis,GATBMiniaPipeline,88,17
190,Enterococcus_faecalis,GATBMiniaPipeline,89,17
191,Enterococcus_faecalis,GATBMiniaPipeline,90,18
192,Enterococcus_faecalis,GATBMiniaPipeline,91,19
193,Enterococcus_faecalis,GATBMiniaPipeline,92,20
194,Enterococcus_faecalis,GATBMiniaPipeline,93,20
195,Enterococcus_faecalis,GATBMiniaPipeline,94,21
196,Enterococcus_faecalis,GATBMiniaPipeline,95,22
197,Enterococcus_faecalis,GATBMiniaPipeline,96,23
198,Enterococcus_faecalis,GATBMiniaPipeline,97,24
199,Enterococcus_faecalis,GATBMiniaPipeline,98,25
200,Enterococcus_faecalis,GATBMiniaPipeline,99,26
201,Enterococcus_faecalis,GATBMiniaPipeline,100,27
202,Escherichia_coli_plasmid,GATBMiniaPipeline,0,0
203,Escherichia_coli_plasmid,GATBMiniaPipeline,1,0
204,Escherichia_coli_plasmid,GATBMiniaPipeline,2,0
205,Escherichia_coli_plasmid,GATBMiniaPipeline,3,0
206,Escherichia_coli_plasmid,GATBMiniaPipeline,4,0
207,Escherichia_coli_plasmid,GATBMiniaPipeline,5,0
208,Escherichia_coli_plasmid,GATBMiniaPipeline,6,0
209,Escherichia_coli_plasmid,GATBMiniaPipeline,7,0
210,Escherichia_coli_plasmid,GATBMiniaPipeline,8,0
211,Escherichia_coli_plasmid,GATBMiniaPipeline,9,0
212,Escherichia_coli_plasmid,GATBMiniaPipeline,10,0
213,Escherichia_coli_plasmid,GATBMiniaPipeline,11,0
214,Escherichia_coli_plasmid,GATBMiniaPipeline,12,0
215,Escherichia_coli_plasmid,GATBMiniaPipeline,13,0
216,Escherichia_coli_plasmid,GATBMiniaPipeline,14,0
217,Escherichia_coli_plasmid,GATBMiniaPipeline,15,0
218,Escherichia_coli_plasmid,GATBMiniaPipeline,16,0
219,Escherichia_coli_plasmid,GATBMiniaPipeline,17,0
220,Escherichia_coli_plasmid,GATBMiniaPipeline,18,0
221,Escherichia_coli_plasmid,GATBMiniaPipeline,19,0
222,Escherichia_coli_plasmid,GATBMiniaPipeline,20,0
223,Escherichia_coli_plasmid,GATBMiniaPipeline,21,0
224,Escherichia_coli_plasmid,GATBMiniaPipeline,22,0
225,Escherichia_coli_plasmid,GATBMiniaPipeline,23,0
226,Escherichia_coli_plasmid,GATBMiniaPipeline,24,0
227,Escherichia_coli_plasmid,GATBMiniaPipeline,25,0
228,Escherichia_coli_plasmid,GATBMiniaPipeline,26,0
229,Escherichia_coli_plasmid,GATBMiniaPipeline,27,0
230,Escherichia_coli_plasmid,GATBMiniaPipeline,28,0
231,Escherichia_coli_plasmid,GATBMiniaPipeline,29,0
232,Escherichia_coli_plasmid,GATBMiniaPipeline,30,0
233,Escherichia_coli_plasmid,GATBMiniaPipeline,31,0
234,Escherichia_coli_plasmid,GATBMiniaPipeline,32,0
235,Escherichia_coli_plasmid,GATBMiniaPipeline,33,0
236,Escherichia_coli_plasmid,GATBMiniaPipeline,34,0
237,Escherichia_coli_plasmid,GATBMiniaPipeline,35,0
238,Escherichia_coli_plasmid,GATBMiniaPipeline,36,0
239,Escherichia_coli_plasmid,GATBMiniaPipeline,37,0
240,Escherichia_coli_plasmid,GATBMiniaPipeline,38,0
241,Escherichia_coli_plasmid,GATBMiniaPipeline,39,0
242,Escherichia_coli_plasmid,GATBMiniaPipeline,40,0
243,Escherichia_coli_plasmid,GATBMiniaPipeline,41,0
244,Escherichia_coli_plasmid,GATBMiniaPipeline,42,0
245,Escherichia_coli_plasmid,GATBMiniaPipeline,43,0
246,Escherichia_coli_plasmid,GATBMiniaPipeline,44,0
247,Escherichia_coli_plasmid,GATBMiniaPipeline,45,0
248,Escherichia_coli_plasmid,GATBMiniaPipeline,46,0
249,Escherichia_coli_plasmid,GATBMiniaPipeline,47,0
