,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.983004575006853,184
1,Enterococcus_faecalis,0.987163807306691,231
2,Escherichia_coli_plasmid,0.9832010690228804,7
3,Escherichia_coli,0.9630835302723739,358
4,Lactobacillus_fermentum,0.9339994636108229,171
5,Listeria_monocytogenes,0.9743084179548995,171
6,Pseudomonas_aeruginosa,0.9876996553465452,185
7,Salmonella_enterica,0.9704061939439625,305
8,Staphylococcus_aureus,0.9800859208909879,174
9,Staphylococcus_aureus_plasmid1,0.7516174846141708,1
10,Staphylococcus_aureus_plasmid2,1.0,1
11,Staphylococcus_aureus_plasmid3,0.9211493484797861,2
