,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,Unicycler,0,0
1,Bacillus_subtilis,Unicycler,1,0
2,Bacillus_subtilis,Unicycler,2,0
3,Bacillus_subtilis,Unicycler,3,0
4,Bacillus_subtilis,Unicycler,4,0
5,Bacillus_subtilis,Unicycler,5,0
6,Bacillus_subtilis,Unicycler,6,0
7,Bacillus_subtilis,Unicycler,7,0
8,Bacillus_subtilis,Unicycler,8,0
9,Bacillus_subtilis,Unicycler,9,0
10,Bacillus_subtilis,Unicycler,10,0
11,Bacillus_subtilis,Unicycler,11,0
12,Bacillus_subtilis,Unicycler,12,0
13,Bacillus_subtilis,Unicycler,13,0
14,Bacillus_subtilis,Unicycler,14,0
15,Bacillus_subtilis,Unicycler,15,0
16,Bacillus_subtilis,Unicycler,16,0
17,Bacillus_subtilis,Unicycler,17,0
18,Bacillus_subtilis,Unicycler,18,0
19,Bacillus_subtilis,Unicycler,19,1
20,Bacillus_subtilis,Unicycler,20,1
21,Bacillus_subtilis,Unicycler,21,1
22,Bacillus_subtilis,Unicycler,22,1
23,Bacillus_subtilis,Unicycler,23,1
24,Bacillus_subtilis,Unicycler,24,1
25,Bacillus_subtilis,Unicycler,25,1
26,Bacillus_subtilis,Unicycler,26,1
27,Bacillus_subtilis,Unicycler,27,1
28,Bacillus_subtilis,Unicycler,28,1
29,Bacillus_subtilis,Unicycler,29,1
30,Bacillus_subtilis,Unicycler,30,2
31,Bacillus_subtilis,Unicycler,31,2
32,Bacillus_subtilis,Unicycler,32,2
33,Bacillus_subtilis,Unicycler,33,2
34,Bacillus_subtilis,Unicycler,34,2
35,Bacillus_subtilis,Unicycler,35,2
36,Bacillus_subtilis,Unicycler,36,2
37,Bacillus_subtilis,Unicycler,37,2
38,Bacillus_subtilis,Unicycler,38,2
39,Bacillus_subtilis,Unicycler,39,3
40,Bacillus_subtilis,Unicycler,40,3
41,Bacillus_subtilis,Unicycler,41,3
42,Bacillus_subtilis,Unicycler,42,3
43,Bacillus_subtilis,Unicycler,43,3
44,Bacillus_subtilis,Unicycler,44,3
45,Bacillus_subtilis,Unicycler,45,3
46,Bacillus_subtilis,Unicycler,46,3
47,Bacillus_subtilis,Unicycler,47,4
48,Bacillus_subtilis,Unicycler,48,4
49,Bacillus_subtilis,Unicycler,49,4
50,Bacillus_subtilis,Unicycler,50,4
51,Bacillus_subtilis,Unicycler,51,4
52,Bacillus_subtilis,Unicycler,52,4
53,Bacillus_subtilis,Unicycler,53,4
54,Bacillus_subtilis,Unicycler,54,5
55,Bacillus_subtilis,Unicycler,55,5
56,Bacillus_subtilis,Unicycler,56,5
57,Bacillus_subtilis,Unicycler,57,5
58,Bacillus_subtilis,Unicycler,58,5
59,Bacillus_subtilis,Unicycler,59,5
60,Bacillus_subtilis,Unicycler,60,5
61,Bacillus_subtilis,Unicycler,61,5
62,Bacillus_subtilis,Unicycler,62,6
63,Bacillus_subtilis,Unicycler,63,6
64,Bacillus_subtilis,Unicycler,64,6
65,Bacillus_subtilis,Unicycler,65,6
