,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9826357862973243,27
1,Enterococcus_faecalis,0.9879443675950449,46
2,Escherichia_coli_plasmid,0.9686929013608225,10
3,Escherichia_coli,0.9680402666367848,191
4,Lactobacillus_fermentum,0.9381451956167243,87
5,Listeria_monocytogenes,0.9739317898823062,24
6,Pseudomonas_aeruginosa,0.9890217348097045,101
7,Salmonella_enterica,0.9751255634229221,161
8,Staphylococcus_aureus,0.9810058187863674,68
9,Staphylococcus_aureus_plasmid1,0.9995265898690232,1
10,Staphylococcus_aureus_plasmid2,0.9986462093862816,1
11,Staphylococcus_aureus_plasmid3,0.9989976612094889,1
