,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,VelvetOptimiser,0,243430
1,Bacillus_subtilis,VelvetOptimiser,1,243430
2,Bacillus_subtilis,VelvetOptimiser,2,243430
3,Bacillus_subtilis,VelvetOptimiser,3,243430
4,Bacillus_subtilis,VelvetOptimiser,4,243430
5,Bacillus_subtilis,VelvetOptimiser,5,243430
6,Bacillus_subtilis,VelvetOptimiser,6,243430
7,Bacillus_subtilis,VelvetOptimiser,7,171971
8,Bacillus_subtilis,VelvetOptimiser,8,171971
9,Bacillus_subtilis,VelvetOptimiser,9,171971
10,Bacillus_subtilis,VelvetOptimiser,10,171971
11,Bacillus_subtilis,VelvetOptimiser,11,132084
12,Bacillus_subtilis,VelvetOptimiser,12,132084
13,Bacillus_subtilis,VelvetOptimiser,13,132084
14,Bacillus_subtilis,VelvetOptimiser,14,127934
15,Bacillus_subtilis,VelvetOptimiser,15,127934
16,Bacillus_subtilis,VelvetOptimiser,16,127934
17,Bacillus_subtilis,VelvetOptimiser,17,127934
18,Bacillus_subtilis,VelvetOptimiser,18,122458
19,Bacillus_subtilis,VelvetOptimiser,19,122458
20,Bacillus_subtilis,VelvetOptimiser,20,122458
21,Bacillus_subtilis,VelvetOptimiser,21,120971
22,Bacillus_subtilis,VelvetOptimiser,22,120971
23,Bacillus_subtilis,VelvetOptimiser,23,120971
24,Bacillus_subtilis,VelvetOptimiser,24,103892
25,Bacillus_subtilis,VelvetOptimiser,25,103892
26,Bacillus_subtilis,VelvetOptimiser,26,99700
27,Bacillus_subtilis,VelvetOptimiser,27,99700
28,Bacillus_subtilis,VelvetOptimiser,28,99700
29,Bacillus_subtilis,VelvetOptimiser,29,98729
30,Bacillus_subtilis,VelvetOptimiser,30,98729
31,Bacillus_subtilis,VelvetOptimiser,31,98666
32,Bacillus_subtilis,VelvetOptimiser,32,98666
33,Bacillus_subtilis,VelvetOptimiser,33,98666
34,Bacillus_subtilis,VelvetOptimiser,34,92807
35,Bacillus_subtilis,VelvetOptimiser,35,92807
36,Bacillus_subtilis,VelvetOptimiser,36,78694
37,Bacillus_subtilis,VelvetOptimiser,37,78694
38,Bacillus_subtilis,VelvetOptimiser,38,77357
39,Bacillus_subtilis,VelvetOptimiser,39,77357
40,Bacillus_subtilis,VelvetOptimiser,40,76544
41,Bacillus_subtilis,VelvetOptimiser,41,76544
42,Bacillus_subtilis,VelvetOptimiser,42,73760
43,Bacillus_subtilis,VelvetOptimiser,43,73760
44,Bacillus_subtilis,VelvetOptimiser,44,72536
45,Bacillus_subtilis,VelvetOptimiser,45,72536
46,Bacillus_subtilis,VelvetOptimiser,46,72434
47,Bacillus_subtilis,VelvetOptimiser,47,72434
48,Bacillus_subtilis,VelvetOptimiser,48,71660
49,Bacillus_subtilis,VelvetOptimiser,49,69914
50,Bacillus_subtilis,VelvetOptimiser,50,69914
51,Bacillus_subtilis,VelvetOptimiser,51,69010
52,Bacillus_subtilis,VelvetOptimiser,52,69010
53,Bacillus_subtilis,VelvetOptimiser,53,65138
54,Bacillus_subtilis,VelvetOptimiser,54,65138
55,Bacillus_subtilis,VelvetOptimiser,55,64934
56,Bacillus_subtilis,VelvetOptimiser,56,63199
57,Bacillus_subtilis,VelvetOptimiser,57,63199
58,Bacillus_subtilis,VelvetOptimiser,58,62539
59,Bacillus_subtilis,VelvetOptimiser,59,57022
60,Bacillus_subtilis,VelvetOptimiser,60,57022
61,Bacillus_subtilis,VelvetOptimiser,61,56828
62,Bacillus_subtilis,VelvetOptimiser,62,56211
63,Bacillus_subtilis,VelvetOptimiser,63,56211
64,Bacillus_subtilis,VelvetOptimiser,64,55183
65,Bacillus_subtilis,VelvetOptimiser,65,54268
66,Bacillus_subtilis,VelvetOptimiser,66,54122
67,Bacillus_subtilis,VelvetOptimiser,67,54122
68,Bacillus_subtilis,VelvetOptimiser,68,52285
69,Bacillus_subtilis,VelvetOptimiser,69,50907
70,Bacillus_subtilis,VelvetOptimiser,70,48017
71,Bacillus_subtilis,VelvetOptimiser,71,48017
72,Bacillus_subtilis,VelvetOptimiser,72,47537
73,Bacillus_subtilis,VelvetOptimiser,73,40051
74,Bacillus_subtilis,VelvetOptimiser,74,38392
75,Bacillus_subtilis,VelvetOptimiser,75,37222
76,Bacillus_subtilis,VelvetOptimiser,76,37011
77,Bacillus_subtilis,VelvetOptimiser,77,36788
78,Bacillus_subtilis,VelvetOptimiser,78,34894
79,Bacillus_subtilis,VelvetOptimiser,79,34627
80,Bacillus_subtilis,VelvetOptimiser,80,33728
81,Bacillus_subtilis,VelvetOptimiser,81,33550
82,Bacillus_subtilis,VelvetOptimiser,82,30985
83,Bacillus_subtilis,VelvetOptimiser,83,29697
84,Bacillus_subtilis,VelvetOptimiser,84,29149
85,Bacillus_subtilis,VelvetOptimiser,85,29060
86,Bacillus_subtilis,VelvetOptimiser,86,25644
87,Bacillus_subtilis,VelvetOptimiser,87,25638
88,Bacillus_subtilis,VelvetOptimiser,88,23087
89,Bacillus_subtilis,VelvetOptimiser,89,23078
90,Bacillus_subtilis,VelvetOptimiser,90,22483
91,Bacillus_subtilis,VelvetOptimiser,91,21060
92,Bacillus_subtilis,VelvetOptimiser,92,18983
93,Bacillus_subtilis,VelvetOptimiser,93,17522
94,Bacillus_subtilis,VelvetOptimiser,94,15763
95,Bacillus_subtilis,VelvetOptimiser,95,14286
96,Bacillus_subtilis,VelvetOptimiser,96,11552
97,Bacillus_subtilis,VelvetOptimiser,97,9364
98,Bacillus_subtilis,VelvetOptimiser,98,6185
99,Bacillus_subtilis,VelvetOptimiser,99,3374
100,Bacillus_subtilis,VelvetOptimiser,100,1012
101,Enterococcus_faecalis,VelvetOptimiser,0,130628
102,Enterococcus_faecalis,VelvetOptimiser,1,130628
103,Enterococcus_faecalis,VelvetOptimiser,2,130628
104,Enterococcus_faecalis,VelvetOptimiser,3,130628
105,Enterococcus_faecalis,VelvetOptimiser,4,130628
106,Enterococcus_faecalis,VelvetOptimiser,5,80235
107,Enterococcus_faecalis,VelvetOptimiser,6,80235
108,Enterococcus_faecalis,VelvetOptimiser,7,80235
109,Enterococcus_faecalis,VelvetOptimiser,8,72815
110,Enterococcus_faecalis,VelvetOptimiser,9,72815
111,Enterococcus_faecalis,VelvetOptimiser,10,72815
112,Enterococcus_faecalis,VelvetOptimiser,11,60508
113,Enterococcus_faecalis,VelvetOptimiser,12,60508
114,Enterococcus_faecalis,VelvetOptimiser,13,60177
115,Enterococcus_faecalis,VelvetOptimiser,14,60177
116,Enterococcus_faecalis,VelvetOptimiser,15,58845
117,Enterococcus_faecalis,VelvetOptimiser,16,58845
118,Enterococcus_faecalis,VelvetOptimiser,17,58693
119,Enterococcus_faecalis,VelvetOptimiser,18,58693
120,Enterococcus_faecalis,VelvetOptimiser,19,58693
121,Enterococcus_faecalis,VelvetOptimiser,20,55552
122,Enterococcus_faecalis,VelvetOptimiser,21,55552
123,Enterococcus_faecalis,VelvetOptimiser,22,54893
124,Enterococcus_faecalis,VelvetOptimiser,23,54893
125,Enterococcus_faecalis,VelvetOptimiser,24,51427
126,Enterococcus_faecalis,VelvetOptimiser,25,50425
127,Enterococcus_faecalis,VelvetOptimiser,26,50425
128,Enterococcus_faecalis,VelvetOptimiser,27,49231
129,Enterococcus_faecalis,VelvetOptimiser,28,49231
130,Enterococcus_faecalis,VelvetOptimiser,29,47539
131,Enterococcus_faecalis,VelvetOptimiser,30,47539
132,Enterococcus_faecalis,VelvetOptimiser,31,46840
133,Enterococcus_faecalis,VelvetOptimiser,32,46840
134,Enterococcus_faecalis,VelvetOptimiser,33,46239
135,Enterococcus_faecalis,VelvetOptimiser,34,45641
136,Enterococcus_faecalis,VelvetOptimiser,35,45641
137,Enterococcus_faecalis,VelvetOptimiser,36,40626
138,Enterococcus_faecalis,VelvetOptimiser,37,38987
139,Enterococcus_faecalis,VelvetOptimiser,38,38987
140,Enterococcus_faecalis,VelvetOptimiser,39,38557
141,Enterococcus_faecalis,VelvetOptimiser,40,37019
142,Enterococcus_faecalis,VelvetOptimiser,41,37019
143,Enterococcus_faecalis,VelvetOptimiser,42,35624
144,Enterococcus_faecalis,VelvetOptimiser,43,34850
145,Enterococcus_faecalis,VelvetOptimiser,44,34471
146,Enterococcus_faecalis,VelvetOptimiser,45,34423
147,Enterococcus_faecalis,VelvetOptimiser,46,34423
148,Enterococcus_faecalis,VelvetOptimiser,47,34354
149,Enterococcus_faecalis,VelvetOptimiser,48,32898
150,Enterococcus_faecalis,VelvetOptimiser,49,32803
151,Enterococcus_faecalis,VelvetOptimiser,50,30453
152,Enterococcus_faecalis,VelvetOptimiser,51,30453
153,Enterococcus_faecalis,VelvetOptimiser,52,30453
154,Enterococcus_faecalis,VelvetOptimiser,53,30356
155,Enterococcus_faecalis,VelvetOptimiser,54,29183
156,Enterococcus_faecalis,VelvetOptimiser,55,29167
157,Enterococcus_faecalis,VelvetOptimiser,56,28064
158,Enterococcus_faecalis,VelvetOptimiser,57,27836
159,Enterococcus_faecalis,VelvetOptimiser,58,26365
160,Enterococcus_faecalis,VelvetOptimiser,59,26313
161,Enterococcus_faecalis,VelvetOptimiser,60,26282
162,Enterococcus_faecalis,VelvetOptimiser,61,25557
163,Enterococcus_faecalis,VelvetOptimiser,62,25107
164,Enterococcus_faecalis,VelvetOptimiser,63,24005
165,Enterococcus_faecalis,VelvetOptimiser,64,23353
166,Enterococcus_faecalis,VelvetOptimiser,65,23032
167,Enterococcus_faecalis,VelvetOptimiser,66,22748
168,Enterococcus_faecalis,VelvetOptimiser,67,22204
169,Enterococcus_faecalis,VelvetOptimiser,68,21529
170,Enterococcus_faecalis,VelvetOptimiser,69,20589
171,Enterococcus_faecalis,VelvetOptimiser,70,19882
172,Enterococcus_faecalis,VelvetOptimiser,71,19690
173,Enterococcus_faecalis,VelvetOptimiser,72,19680
174,Enterococcus_faecalis,VelvetOptimiser,73,19599
175,Enterococcus_faecalis,VelvetOptimiser,74,19009
176,Enterococcus_faecalis,VelvetOptimiser,75,18359
177,Enterococcus_faecalis,VelvetOptimiser,76,17232
178,Enterococcus_faecalis,VelvetOptimiser,77,16858
179,Enterococcus_faecalis,VelvetOptimiser,78,16573
180,Enterococcus_faecalis,VelvetOptimiser,79,15881
181,Enterococcus_faecalis,VelvetOptimiser,80,15839
182,Enterococcus_faecalis,VelvetOptimiser,81,14277
183,Enterococcus_faecalis,VelvetOptimiser,82,13060
184,Enterococcus_faecalis,VelvetOptimiser,83,12203
185,Enterococcus_faecalis,VelvetOptimiser,84,11721
186,Enterococcus_faecalis,VelvetOptimiser,85,11314
187,Enterococcus_faecalis,VelvetOptimiser,86,11121
188,Enterococcus_faecalis,VelvetOptimiser,87,9965
189,Enterococcus_faecalis,VelvetOptimiser,88,9811
190,Enterococcus_faecalis,VelvetOptimiser,89,9767
191,Enterococcus_faecalis,VelvetOptimiser,90,8893
192,Enterococcus_faecalis,VelvetOptimiser,91,8607
193,Enterococcus_faecalis,VelvetOptimiser,92,7149
194,Enterococcus_faecalis,VelvetOptimiser,93,6715
195,Enterococcus_faecalis,VelvetOptimiser,94,6352
196,Enterococcus_faecalis,VelvetOptimiser,95,6026
197,Enterococcus_faecalis,VelvetOptimiser,96,5140
198,Enterococcus_faecalis,VelvetOptimiser,97,3647
199,Enterococcus_faecalis,VelvetOptimiser,98,2877
200,Enterococcus_faecalis,VelvetOptimiser,99,1993
201,Enterococcus_faecalis,VelvetOptimiser,100,1067
202,Escherichia_coli_plasmid,VelvetOptimiser,0,26448
203,Escherichia_coli_plasmid,VelvetOptimiser,1,26448
204,Escherichia_coli_plasmid,VelvetOptimiser,2,26448
205,Escherichia_coli_plasmid,VelvetOptimiser,3,26448
206,Escherichia_coli_plasmid,VelvetOptimiser,4,26448
207,Escherichia_coli_plasmid,VelvetOptimiser,5,26448
208,Escherichia_coli_plasmid,VelvetOptimiser,6,26448
209,Escherichia_coli_plasmid,VelvetOptimiser,7,26448
210,Escherichia_coli_plasmid,VelvetOptimiser,8,26448
211,Escherichia_coli_plasmid,VelvetOptimiser,9,26448
212,Escherichia_coli_plasmid,VelvetOptimiser,10,26448
213,Escherichia_coli_plasmid,VelvetOptimiser,11,26448
214,Escherichia_coli_plasmid,VelvetOptimiser,12,26448
215,Escherichia_coli_plasmid,VelvetOptimiser,13,26448
216,Escherichia_coli_plasmid,VelvetOptimiser,14,26448
217,Escherichia_coli_plasmid,VelvetOptimiser,15,26448
218,Escherichia_coli_plasmid,VelvetOptimiser,16,26448
219,Escherichia_coli_plasmid,VelvetOptimiser,17,26448
220,Escherichia_coli_plasmid,VelvetOptimiser,18,26448
221,Escherichia_coli_plasmid,VelvetOptimiser,19,26448
222,Escherichia_coli_plasmid,VelvetOptimiser,20,26448
223,Escherichia_coli_plasmid,VelvetOptimiser,21,26448
224,Escherichia_coli_plasmid,VelvetOptimiser,22,26448
225,Escherichia_coli_plasmid,VelvetOptimiser,23,26448
226,Escherichia_coli_plasmid,VelvetOptimiser,24,26448
227,Escherichia_coli_plasmid,VelvetOptimiser,25,22558
228,Escherichia_coli_plasmid,VelvetOptimiser,26,22558
229,Escherichia_coli_plasmid,VelvetOptimiser,27,22558
230,Escherichia_coli_plasmid,VelvetOptimiser,28,22558
231,Escherichia_coli_plasmid,VelvetOptimiser,29,22558
232,Escherichia_coli_plasmid,VelvetOptimiser,30,22558
233,Escherichia_coli_plasmid,VelvetOptimiser,31,22558
