,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,ABySS,0,0
1,Bacillus_subtilis,ABySS,1,0
2,Bacillus_subtilis,ABySS,2,0
3,Bacillus_subtilis,ABySS,3,0
4,Bacillus_subtilis,ABySS,4,0
5,Bacillus_subtilis,ABySS,5,0
6,Bacillus_subtilis,ABySS,6,0
7,Bacillus_subtilis,ABySS,7,0
8,Bacillus_subtilis,ABySS,8,1
9,Bacillus_subtilis,ABySS,9,1
10,Bacillus_subtilis,ABySS,10,1
11,Bacillus_subtilis,ABySS,11,1
12,Bacillus_subtilis,ABySS,12,1
13,Bacillus_subtilis,ABySS,13,1
14,Bacillus_subtilis,ABySS,14,2
15,Bacillus_subtilis,ABySS,15,2
16,Bacillus_subtilis,ABySS,16,2
17,Bacillus_subtilis,ABySS,17,2
18,Bacillus_subtilis,ABySS,18,2
19,Bacillus_subtilis,ABySS,19,2
20,Bacillus_subtilis,ABySS,20,3
21,Bacillus_subtilis,ABySS,21,3
22,Bacillus_subtilis,ABySS,22,3
23,Bacillus_subtilis,ABySS,23,3
24,Bacillus_subtilis,ABySS,24,3
25,Bacillus_subtilis,ABySS,25,4
26,Bacillus_subtilis,ABySS,26,4
27,Bacillus_subtilis,ABySS,27,4
28,Bacillus_subtilis,ABySS,28,5
29,Bacillus_subtilis,ABySS,29,5
30,Bacillus_subtilis,ABySS,30,5
31,Bacillus_subtilis,ABySS,31,5
32,Bacillus_subtilis,ABySS,32,6
33,Bacillus_subtilis,ABySS,33,6
34,Bacillus_subtilis,ABySS,34,6
35,Bacillus_subtilis,ABySS,35,7
36,Bacillus_subtilis,ABySS,36,7
37,Bacillus_subtilis,ABySS,37,7
38,Bacillus_subtilis,ABySS,38,8
39,Bacillus_subtilis,ABySS,39,8
40,Bacillus_subtilis,ABySS,40,8
41,Bacillus_subtilis,ABySS,41,9
42,Bacillus_subtilis,ABySS,42,9
43,Bacillus_subtilis,ABySS,43,9
44,Bacillus_subtilis,ABySS,44,10
45,Bacillus_subtilis,ABySS,45,10
46,Bacillus_subtilis,ABySS,46,10
47,Bacillus_subtilis,ABySS,47,11
48,Bacillus_subtilis,ABySS,48,11
49,Bacillus_subtilis,ABySS,49,11
50,Bacillus_subtilis,ABySS,50,12
51,Bacillus_subtilis,ABySS,51,12
52,Bacillus_subtilis,ABySS,52,13
53,Bacillus_subtilis,ABySS,53,13
54,Bacillus_subtilis,ABySS,54,13
55,Bacillus_subtilis,ABySS,55,14
56,Bacillus_subtilis,ABySS,56,14
57,Bacillus_subtilis,ABySS,57,15
58,Bacillus_subtilis,ABySS,58,15
59,Bacillus_subtilis,ABySS,59,16
60,Bacillus_subtilis,ABySS,60,16
61,Bacillus_subtilis,ABySS,61,16
62,Bacillus_subtilis,ABySS,62,17
63,Bacillus_subtilis,ABySS,63,17
64,Bacillus_subtilis,ABySS,64,18
65,Bacillus_subtilis,ABySS,65,19
66,Bacillus_subtilis,ABySS,66,19
67,Bacillus_subtilis,ABySS,67,20
68,Bacillus_subtilis,ABySS,68,20
69,Bacillus_subtilis,ABySS,69,21
70,Bacillus_subtilis,ABySS,70,22
71,Bacillus_subtilis,ABySS,71,22
72,Bacillus_subtilis,ABySS,72,23
73,Bacillus_subtilis,ABySS,73,24
74,Bacillus_subtilis,ABySS,74,25
75,Bacillus_subtilis,ABySS,75,25
76,Bacillus_subtilis,ABySS,76,26
77,Bacillus_subtilis,ABySS,77,27
78,Bacillus_subtilis,ABySS,78,27
79,Bacillus_subtilis,ABySS,79,28
80,Bacillus_subtilis,ABySS,80,29
81,Bacillus_subtilis,ABySS,81,30
82,Bacillus_subtilis,ABySS,82,31
83,Bacillus_subtilis,ABySS,83,31
84,Bacillus_subtilis,ABySS,84,32
85,Bacillus_subtilis,ABySS,85,33
86,Bacillus_subtilis,ABySS,86,34
87,Bacillus_subtilis,ABySS,87,35
88,Bacillus_subtilis,ABySS,88,36
89,Bacillus_subtilis,ABySS,89,37
90,Bacillus_subtilis,ABySS,90,38
91,Bacillus_subtilis,ABySS,91,40
92,Bacillus_subtilis,ABySS,92,41
93,Bacillus_subtilis,ABySS,93,43
94,Bacillus_subtilis,ABySS,94,46
95,Bacillus_subtilis,ABySS,95,49
96,Bacillus_subtilis,ABySS,96,52
97,Bacillus_subtilis,ABySS,97,56
98,Bacillus_subtilis,ABySS,98,61
99,Bacillus_subtilis,ABySS,99,
100,Bacillus_subtilis,ABySS,100,
101,Enterococcus_faecalis,ABySS,0,0
102,Enterococcus_faecalis,ABySS,1,0
103,Enterococcus_faecalis,ABySS,2,0
104,Enterococcus_faecalis,ABySS,3,0
105,Enterococcus_faecalis,ABySS,4,0
106,Enterococcus_faecalis,ABySS,5,0
107,Enterococcus_faecalis,ABySS,6,1
108,Enterococcus_faecalis,ABySS,7,1
109,Enterococcus_faecalis,ABySS,8,1
110,Enterococcus_faecalis,ABySS,9,1
111,Enterococcus_faecalis,ABySS,10,2
112,Enterococcus_faecalis,ABySS,11,2
113,Enterococcus_faecalis,ABySS,12,2
114,Enterococcus_faecalis,ABySS,13,3
115,Enterococcus_faecalis,ABySS,14,3
116,Enterococcus_faecalis,ABySS,15,3
