,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,metaSPAdes,0,263195
1,Bacillus_subtilis,metaSPAdes,1,263195
2,Bacillus_subtilis,metaSPAdes,2,263195
3,Bacillus_subtilis,metaSPAdes,3,263195
4,Bacillus_subtilis,metaSPAdes,4,263195
5,Bacillus_subtilis,metaSPAdes,5,263195
6,Bacillus_subtilis,metaSPAdes,6,263195
7,Bacillus_subtilis,metaSPAdes,7,257021
8,Bacillus_subtilis,metaSPAdes,8,257021
9,Bacillus_subtilis,metaSPAdes,9,257021
10,Bacillus_subtilis,metaSPAdes,10,257021
11,Bacillus_subtilis,metaSPAdes,11,257021
12,Bacillus_subtilis,metaSPAdes,12,257021
13,Bacillus_subtilis,metaSPAdes,13,253605
14,Bacillus_subtilis,metaSPAdes,14,253605
15,Bacillus_subtilis,metaSPAdes,15,253605
16,Bacillus_subtilis,metaSPAdes,16,253605
17,Bacillus_subtilis,metaSPAdes,17,253605
18,Bacillus_subtilis,metaSPAdes,18,253605
19,Bacillus_subtilis,metaSPAdes,19,253605
20,Bacillus_subtilis,metaSPAdes,20,242787
21,Bacillus_subtilis,metaSPAdes,21,242787
22,Bacillus_subtilis,metaSPAdes,22,242787
23,Bacillus_subtilis,metaSPAdes,23,242787
24,Bacillus_subtilis,metaSPAdes,24,242787
25,Bacillus_subtilis,metaSPAdes,25,242787
26,Bacillus_subtilis,metaSPAdes,26,228776
27,Bacillus_subtilis,metaSPAdes,27,228776
28,Bacillus_subtilis,metaSPAdes,28,228776
29,Bacillus_subtilis,metaSPAdes,29,228776
30,Bacillus_subtilis,metaSPAdes,30,228776
31,Bacillus_subtilis,metaSPAdes,31,228776
32,Bacillus_subtilis,metaSPAdes,32,226205
33,Bacillus_subtilis,metaSPAdes,33,226205
34,Bacillus_subtilis,metaSPAdes,34,226205
35,Bacillus_subtilis,metaSPAdes,35,226205
36,Bacillus_subtilis,metaSPAdes,36,226205
37,Bacillus_subtilis,metaSPAdes,37,205523
38,Bacillus_subtilis,metaSPAdes,38,205523
39,Bacillus_subtilis,metaSPAdes,39,205523
40,Bacillus_subtilis,metaSPAdes,40,205523
41,Bacillus_subtilis,metaSPAdes,41,205523
42,Bacillus_subtilis,metaSPAdes,42,139330
43,Bacillus_subtilis,metaSPAdes,43,139330
44,Bacillus_subtilis,metaSPAdes,44,139330
45,Bacillus_subtilis,metaSPAdes,45,139330
46,Bacillus_subtilis,metaSPAdes,46,132428
47,Bacillus_subtilis,metaSPAdes,47,132428
48,Bacillus_subtilis,metaSPAdes,48,132428
49,Bacillus_subtilis,metaSPAdes,49,115791
50,Bacillus_subtilis,metaSPAdes,50,115791
51,Bacillus_subtilis,metaSPAdes,51,115791
52,Bacillus_subtilis,metaSPAdes,52,111506
53,Bacillus_subtilis,metaSPAdes,53,111506
54,Bacillus_subtilis,metaSPAdes,54,111506
55,Bacillus_subtilis,metaSPAdes,55,108979
56,Bacillus_subtilis,metaSPAdes,56,108979
57,Bacillus_subtilis,metaSPAdes,57,104069
58,Bacillus_subtilis,metaSPAdes,58,104069
59,Bacillus_subtilis,metaSPAdes,59,104069
60,Bacillus_subtilis,metaSPAdes,60,103942
61,Bacillus_subtilis,metaSPAdes,61,103942
62,Bacillus_subtilis,metaSPAdes,62,103942
63,Bacillus_subtilis,metaSPAdes,63,101178
64,Bacillus_subtilis,metaSPAdes,64,101178
65,Bacillus_subtilis,metaSPAdes,65,100725
66,Bacillus_subtilis,metaSPAdes,66,100725
67,Bacillus_subtilis,metaSPAdes,67,100725
68,Bacillus_subtilis,metaSPAdes,68,98817
69,Bacillus_subtilis,metaSPAdes,69,98817
70,Bacillus_subtilis,metaSPAdes,70,93881
71,Bacillus_subtilis,metaSPAdes,71,93881
72,Bacillus_subtilis,metaSPAdes,72,82658
73,Bacillus_subtilis,metaSPAdes,73,82658
74,Bacillus_subtilis,metaSPAdes,74,82658
75,Bacillus_subtilis,metaSPAdes,75,81517
76,Bacillus_subtilis,metaSPAdes,76,81517
77,Bacillus_subtilis,metaSPAdes,77,78008
78,Bacillus_subtilis,metaSPAdes,78,68966
79,Bacillus_subtilis,metaSPAdes,79,68966
80,Bacillus_subtilis,metaSPAdes,80,61872
81,Bacillus_subtilis,metaSPAdes,81,61872
82,Bacillus_subtilis,metaSPAdes,82,59741
83,Bacillus_subtilis,metaSPAdes,83,53080
84,Bacillus_subtilis,metaSPAdes,84,53080
85,Bacillus_subtilis,metaSPAdes,85,51931
86,Bacillus_subtilis,metaSPAdes,86,43911
87,Bacillus_subtilis,metaSPAdes,87,43319
88,Bacillus_subtilis,metaSPAdes,88,42792
89,Bacillus_subtilis,metaSPAdes,89,40197
90,Bacillus_subtilis,metaSPAdes,90,38370
91,Bacillus_subtilis,metaSPAdes,91,38287
92,Bacillus_subtilis,metaSPAdes,92,37060
93,Bacillus_subtilis,metaSPAdes,93,36468
94,Bacillus_subtilis,metaSPAdes,94,35728
95,Bacillus_subtilis,metaSPAdes,95,35728
96,Bacillus_subtilis,metaSPAdes,96,25905
97,Bacillus_subtilis,metaSPAdes,97,23242
98,Bacillus_subtilis,metaSPAdes,98,18308
99,Bacillus_subtilis,metaSPAdes,99,14735
100,Bacillus_subtilis,metaSPAdes,100,1164
101,Enterococcus_faecalis,metaSPAdes,0,0
102,Enterococcus_faecalis,metaSPAdes,1,0
103,Enterococcus_faecalis,metaSPAdes,2,0
104,Enterococcus_faecalis,metaSPAdes,3,0
105,Enterococcus_faecalis,metaSPAdes,4,0
106,Enterococcus_faecalis,metaSPAdes,5,0
107,Enterococcus_faecalis,metaSPAdes,6,0
108,Enterococcus_faecalis,metaSPAdes,7,0
109,Enterococcus_faecalis,metaSPAdes,8,0
110,Enterococcus_faecalis,metaSPAdes,9,0
111,Enterococcus_faecalis,metaSPAdes,10,0
112,Enterococcus_faecalis,metaSPAdes,11,0
113,Enterococcus_faecalis,metaSPAdes,12,0
114,Enterococcus_faecalis,metaSPAdes,13,0
115,Enterococcus_faecalis,metaSPAdes,14,0
116,Enterococcus_faecalis,metaSPAdes,15,0
117,Enterococcus_faecalis,metaSPAdes,16,0
118,Enterococcus_faecalis,metaSPAdes,17,0
119,Enterococcus_faecalis,metaSPAdes,18,0
120,Enterococcus_faecalis,metaSPAdes,19,0
121,Enterococcus_faecalis,metaSPAdes,20,0
122,Enterococcus_faecalis,metaSPAdes,21,0
123,Enterococcus_faecalis,metaSPAdes,22,0
124,Enterococcus_faecalis,metaSPAdes,23,0
125,Enterococcus_faecalis,metaSPAdes,24,0
126,Enterococcus_faecalis,metaSPAdes,25,0
127,Enterococcus_faecalis,metaSPAdes,26,0
128,Enterococcus_faecalis,metaSPAdes,27,0
129,Enterococcus_faecalis,metaSPAdes,28,0
130,Enterococcus_faecalis,metaSPAdes,29,0
131,Enterococcus_faecalis,metaSPAdes,30,0
132,Enterococcus_faecalis,metaSPAdes,31,0
133,Enterococcus_faecalis,metaSPAdes,32,0
134,Enterococcus_faecalis,metaSPAdes,33,0
135,Enterococcus_faecalis,metaSPAdes,34,0
136,Enterococcus_faecalis,metaSPAdes,35,0
137,Enterococcus_faecalis,metaSPAdes,36,0
138,Enterococcus_faecalis,metaSPAdes,37,0
139,Enterococcus_faecalis,metaSPAdes,38,0
140,Enterococcus_faecalis,metaSPAdes,39,0
141,Enterococcus_faecalis,metaSPAdes,40,0
142,Enterococcus_faecalis,metaSPAdes,41,0
143,Enterococcus_faecalis,metaSPAdes,42,0
144,Enterococcus_faecalis,metaSPAdes,43,0
145,Enterococcus_faecalis,metaSPAdes,44,0
146,Enterococcus_faecalis,metaSPAdes,45,0
147,Enterococcus_faecalis,metaSPAdes,46,0
148,Enterococcus_faecalis,metaSPAdes,47,0
149,Enterococcus_faecalis,metaSPAdes,48,0
150,Enterococcus_faecalis,metaSPAdes,49,0
151,Enterococcus_faecalis,metaSPAdes,50,0
152,Enterococcus_faecalis,metaSPAdes,51,0
153,Enterococcus_faecalis,metaSPAdes,52,0
154,Enterococcus_faecalis,metaSPAdes,53,0
155,Enterococcus_faecalis,metaSPAdes,54,0
156,Enterococcus_faecalis,metaSPAdes,55,0
157,Enterococcus_faecalis,metaSPAdes,56,0
158,Enterococcus_faecalis,metaSPAdes,57,0
159,Enterococcus_faecalis,metaSPAdes,58,0
160,Enterococcus_faecalis,metaSPAdes,59,0
161,Enterococcus_faecalis,metaSPAdes,60,0
162,Enterococcus_faecalis,metaSPAdes,61,0
163,Enterococcus_faecalis,metaSPAdes,62,0
164,Enterococcus_faecalis,metaSPAdes,63,0
165,Enterococcus_faecalis,metaSPAdes,64,0
166,Enterococcus_faecalis,metaSPAdes,65,0
167,Enterococcus_faecalis,metaSPAdes,66,0
168,Enterococcus_faecalis,metaSPAdes,67,0
169,Enterococcus_faecalis,metaSPAdes,68,0
170,Enterococcus_faecalis,metaSPAdes,69,0
171,Enterococcus_faecalis,metaSPAdes,70,0
172,Enterococcus_faecalis,metaSPAdes,71,0
173,Enterococcus_faecalis,metaSPAdes,72,0
174,Enterococcus_faecalis,metaSPAdes,73,0
175,Enterococcus_faecalis,metaSPAdes,74,0
176,Enterococcus_faecalis,metaSPAdes,75,0
177,Enterococcus_faecalis,metaSPAdes,76,0
178,Enterococcus_faecalis,metaSPAdes,77,0
179,Enterococcus_faecalis,metaSPAdes,78,0
180,Enterococcus_faecalis,metaSPAdes,79,0
181,Enterococcus_faecalis,metaSPAdes,80,0
182,Enterococcus_faecalis,metaSPAdes,81,0
183,Enterococcus_faecalis,metaSPAdes,82,0
184,Enterococcus_faecalis,metaSPAdes,83,0
185,Enterococcus_faecalis,metaSPAdes,84,0
186,Enterococcus_faecalis,metaSPAdes,85,0
187,Enterococcus_faecalis,metaSPAdes,86,0
188,Enterococcus_faecalis,metaSPAdes,87,0
189,Enterococcus_faecalis,metaSPAdes,88,0
190,Enterococcus_faecalis,metaSPAdes,89,0
191,Enterococcus_faecalis,metaSPAdes,90,0
192,Enterococcus_faecalis,metaSPAdes,91,0
193,Enterococcus_faecalis,metaSPAdes,92,0
194,Enterococcus_faecalis,metaSPAdes,93,0
195,Enterococcus_faecalis,metaSPAdes,94,0
196,Enterococcus_faecalis,metaSPAdes,95,0
197,Enterococcus_faecalis,metaSPAdes,96,0
198,Enterococcus_faecalis,metaSPAdes,97,0
199,Enterococcus_faecalis,metaSPAdes,98,0
200,Enterococcus_faecalis,metaSPAdes,99,0
201,Enterococcus_faecalis,metaSPAdes,100,0
202,Escherichia_coli_plasmid,metaSPAdes,0,0
203,Escherichia_coli_plasmid,metaSPAdes,1,0
204,Escherichia_coli_plasmid,metaSPAdes,2,0
205,Escherichia_coli_plasmid,metaSPAdes,3,0
206,Escherichia_coli_plasmid,metaSPAdes,4,0
207,Escherichia_coli_plasmid,metaSPAdes,5,0
208,Escherichia_coli_plasmid,metaSPAdes,6,0
209,Escherichia_coli_plasmid,metaSPAdes,7,0
210,Escherichia_coli_plasmid,metaSPAdes,8,0
211,Escherichia_coli_plasmid,metaSPAdes,9,0
212,Escherichia_coli_plasmid,metaSPAdes,10,0
213,Escherichia_coli_plasmid,metaSPAdes,11,0
214,Escherichia_coli_plasmid,metaSPAdes,12,0
215,Escherichia_coli_plasmid,metaSPAdes,13,0
216,Escherichia_coli_plasmid,metaSPAdes,14,0
217,Escherichia_coli_plasmid,metaSPAdes,15,0
218,Escherichia_coli_plasmid,metaSPAdes,16,0
219,Escherichia_coli_plasmid,metaSPAdes,17,0
220,Escherichia_coli_plasmid,metaSPAdes,18,0
221,Escherichia_coli_plasmid,metaSPAdes,19,0
222,Escherichia_coli_plasmid,metaSPAdes,20,0
223,Escherichia_coli_plasmid,metaSPAdes,21,0
224,Escherichia_coli_plasmid,metaSPAdes,22,0
225,Escherichia_coli_plasmid,metaSPAdes,23,0
226,Escherichia_coli_plasmid,metaSPAdes,24,0
227,Escherichia_coli_plasmid,metaSPAdes,25,0
228,Escherichia_coli_plasmid,metaSPAdes,26,0
229,Escherichia_coli_plasmid,metaSPAdes,27,0
230,Escherichia_coli_plasmid,metaSPAdes,28,0
231,Escherichia_coli_plasmid,metaSPAdes,29,0
232,Escherichia_coli_plasmid,metaSPAdes,30,0
233,Escherichia_coli_plasmid,metaSPAdes,31,0
234,Escherichia_coli_plasmid,metaSPAdes,32,0
235,Escherichia_coli_plasmid,metaSPAdes,33,0
236,Escherichia_coli_plasmid,metaSPAdes,34,0
237,Escherichia_coli_plasmid,metaSPAdes,35,0
238,Escherichia_coli_plasmid,metaSPAdes,36,0
239,Escherichia_coli_plasmid,metaSPAdes,37,0
240,Escherichia_coli_plasmid,metaSPAdes,38,0
241,Escherichia_coli_plasmid,metaSPAdes,39,0
242,Escherichia_coli_plasmid,metaSPAdes,40,0
243,Escherichia_coli_plasmid,metaSPAdes,41,0
244,Escherichia_coli_plasmid,metaSPAdes,42,0
245,Escherichia_coli_plasmid,metaSPAdes,43,0
246,Escherichia_coli_plasmid,metaSPAdes,44,0
247,Escherichia_coli_plasmid,metaSPAdes,45,0
248,Escherichia_coli_plasmid,metaSPAdes,46,0
249,Escherichia_coli_plasmid,metaSPAdes,47,0
250,Escherichia_coli_plasmid,metaSPAdes,48,0
251,Escherichia_coli_plasmid,metaSPAdes,49,0
