,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,MINIA,0,73792
1,Bacillus_subtilis,MINIA,1,73792
2,Bacillus_subtilis,MINIA,2,63201
3,Bacillus_subtilis,MINIA,3,63201
4,Bacillus_subtilis,MINIA,4,59013
5,Bacillus_subtilis,MINIA,5,57107
6,Bacillus_subtilis,MINIA,6,57107
7,Bacillus_subtilis,MINIA,7,57054
8,Bacillus_subtilis,MINIA,8,56211
9,Bacillus_subtilis,MINIA,9,56211
10,Bacillus_subtilis,MINIA,10,53351
11,Bacillus_subtilis,MINIA,11,52987
12,Bacillus_subtilis,MINIA,12,51928
13,Bacillus_subtilis,MINIA,13,51928
14,Bacillus_subtilis,MINIA,14,48017
15,Bacillus_subtilis,MINIA,15,47537
16,Bacillus_subtilis,MINIA,16,46661
17,Bacillus_subtilis,MINIA,17,46113
18,Bacillus_subtilis,MINIA,18,45500
19,Bacillus_subtilis,MINIA,19,45500
20,Bacillus_subtilis,MINIA,20,45463
21,Bacillus_subtilis,MINIA,21,42754
22,Bacillus_subtilis,MINIA,22,40051
23,Bacillus_subtilis,MINIA,23,39793
24,Bacillus_subtilis,MINIA,24,39349
25,Bacillus_subtilis,MINIA,25,37011
26,Bacillus_subtilis,MINIA,26,35764
27,Bacillus_subtilis,MINIA,27,35686
28,Bacillus_subtilis,MINIA,28,34627
29,Bacillus_subtilis,MINIA,29,34418
30,Bacillus_subtilis,MINIA,30,34102
31,Bacillus_subtilis,MINIA,31,34099
32,Bacillus_subtilis,MINIA,32,33940
33,Bacillus_subtilis,MINIA,33,33940
34,Bacillus_subtilis,MINIA,34,33634
35,Bacillus_subtilis,MINIA,35,33550
36,Bacillus_subtilis,MINIA,36,32916
37,Bacillus_subtilis,MINIA,37,31838
38,Bacillus_subtilis,MINIA,38,31335
39,Bacillus_subtilis,MINIA,39,29719
40,Bacillus_subtilis,MINIA,40,29149
41,Bacillus_subtilis,MINIA,41,28298
42,Bacillus_subtilis,MINIA,42,28085
43,Bacillus_subtilis,MINIA,43,27833
44,Bacillus_subtilis,MINIA,44,27462
45,Bacillus_subtilis,MINIA,45,27437
46,Bacillus_subtilis,MINIA,46,26035
47,Bacillus_subtilis,MINIA,47,25518
48,Bacillus_subtilis,MINIA,48,24967
49,Bacillus_subtilis,MINIA,49,24939
50,Bacillus_subtilis,MINIA,50,24189
51,Bacillus_subtilis,MINIA,51,23661
52,Bacillus_subtilis,MINIA,52,23529
53,Bacillus_subtilis,MINIA,53,23077
54,Bacillus_subtilis,MINIA,54,22960
55,Bacillus_subtilis,MINIA,55,22680
56,Bacillus_subtilis,MINIA,56,22512
57,Bacillus_subtilis,MINIA,57,22114
58,Bacillus_subtilis,MINIA,58,21727
59,Bacillus_subtilis,MINIA,59,20925
60,Bacillus_subtilis,MINIA,60,20893
61,Bacillus_subtilis,MINIA,61,20149
62,Bacillus_subtilis,MINIA,62,19044
63,Bacillus_subtilis,MINIA,63,18729
64,Bacillus_subtilis,MINIA,64,18526
65,Bacillus_subtilis,MINIA,65,18038
66,Bacillus_subtilis,MINIA,66,17630
67,Bacillus_subtilis,MINIA,67,17296
68,Bacillus_subtilis,MINIA,68,17010
69,Bacillus_subtilis,MINIA,69,16844
70,Bacillus_subtilis,MINIA,70,16252
71,Bacillus_subtilis,MINIA,71,15982
72,Bacillus_subtilis,MINIA,72,15586
73,Bacillus_subtilis,MINIA,73,15281
74,Bacillus_subtilis,MINIA,74,14950
75,Bacillus_subtilis,MINIA,75,14320
76,Bacillus_subtilis,MINIA,76,14089
77,Bacillus_subtilis,MINIA,77,13774
78,Bacillus_subtilis,MINIA,78,13034
79,Bacillus_subtilis,MINIA,79,12584
80,Bacillus_subtilis,MINIA,80,11723
81,Bacillus_subtilis,MINIA,81,11283
82,Bacillus_subtilis,MINIA,82,10714
83,Bacillus_subtilis,MINIA,83,9919
84,Bacillus_subtilis,MINIA,84,9531
85,Bacillus_subtilis,MINIA,85,9167
86,Bacillus_subtilis,MINIA,86,8651
87,Bacillus_subtilis,MINIA,87,8193
88,Bacillus_subtilis,MINIA,88,7558
89,Bacillus_subtilis,MINIA,89,7175
90,Bacillus_subtilis,MINIA,90,6767
91,Bacillus_subtilis,MINIA,91,5945
92,Bacillus_subtilis,MINIA,92,5650
93,Bacillus_subtilis,MINIA,93,5449
94,Bacillus_subtilis,MINIA,94,4935
95,Bacillus_subtilis,MINIA,95,4279
96,Bacillus_subtilis,MINIA,96,3879
97,Bacillus_subtilis,MINIA,97,3377
98,Bacillus_subtilis,MINIA,98,2960
99,Bacillus_subtilis,MINIA,99,2119
100,Bacillus_subtilis,MINIA,100,1026
101,Enterococcus_faecalis,MINIA,0,7689
102,Enterococcus_faecalis,MINIA,1,7689
103,Enterococcus_faecalis,MINIA,2,7689
104,Enterococcus_faecalis,MINIA,3,7689
105,Enterococcus_faecalis,MINIA,4,7689
106,Enterococcus_faecalis,MINIA,5,7689
107,Enterococcus_faecalis,MINIA,6,7689
108,Enterococcus_faecalis,MINIA,7,7689
109,Enterococcus_faecalis,MINIA,8,7689
110,Enterococcus_faecalis,MINIA,9,7689
111,Enterococcus_faecalis,MINIA,10,7689
112,Enterococcus_faecalis,MINIA,11,7689
113,Enterococcus_faecalis,MINIA,12,7689
114,Enterococcus_faecalis,MINIA,13,7689
115,Enterococcus_faecalis,MINIA,14,7689
116,Enterococcus_faecalis,MINIA,15,7689
117,Enterococcus_faecalis,MINIA,16,7689
118,Enterococcus_faecalis,MINIA,17,7689
119,Enterococcus_faecalis,MINIA,18,7689
120,Enterococcus_faecalis,MINIA,19,7689
