,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9824096189587058,37
1,Enterococcus_faecalis,0.0033046413288573243,10
2,Escherichia_coli_plasmid,0.013735489559755289,1
3,Escherichia_coli,0.0056085133064480595,27
4,Lactobacillus_fermentum,0.0007179847302282593,1
5,Listeria_monocytogenes,0.6348983505227678,1839
6,Pseudomonas_aeruginosa,0.9878873670743323,74
7,Salmonella_enterica,0.010318197651723432,43
8,Staphylococcus_aureus,0.0,0
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
