,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2935805,metaSPAdes,NODE_1_length_622107_cov_58.066390,622107,Pseudomonas_aeruginosa,0
1,1,ERR2935805,metaSPAdes,NODE_2_length_478258_cov_56.412264,478258,Pseudomonas_aeruginosa,0
2,2,ERR2935805,metaSPAdes,NODE_3_length_445891_cov_1086.474291,445891,Listeria_monocytogenes,0
3,3,ERR2935805,metaSPAdes,NODE_4_length_408698_cov_1044.262425,408698,Listeria_monocytogenes,0
4,4,ERR2935805,metaSPAdes,NODE_5_length_334895_cov_56.818866,334895,Pseudomonas_aeruginosa,0
5,5,ERR2935805,metaSPAdes,NODE_6_length_331183_cov_58.789870,331183,Pseudomonas_aeruginosa,0
6,6,ERR2935805,metaSPAdes,NODE_7_length_313289_cov_58.533014,313289,Pseudomonas_aeruginosa,0
7,7,ERR2935805,metaSPAdes,NODE_8_length_303630_cov_57.264610,303630,Pseudomonas_aeruginosa,0
8,8,ERR2935805,metaSPAdes,NODE_9_length_288560_cov_1297.646044,288560,Listeria_monocytogenes,0
9,9,ERR2935805,metaSPAdes,NODE_10_length_276496_cov_56.302625,276496,Pseudomonas_aeruginosa,0
10,10,ERR2935805,metaSPAdes,NODE_11_length_268290_cov_53.830261,268290,Pseudomonas_aeruginosa,0
11,11,ERR2935805,metaSPAdes,NODE_12_length_255048_cov_1176.699011,255048,Listeria_monocytogenes,0
12,12,ERR2935805,metaSPAdes,NODE_13_length_254438_cov_1269.279630,254438,Listeria_monocytogenes,0
13,13,ERR2935805,metaSPAdes,NODE_14_length_231468_cov_1241.681327,231468,Listeria_monocytogenes,0
14,14,ERR2935805,metaSPAdes,NODE_15_length_208844_cov_55.579748,208844,Pseudomonas_aeruginosa,0
15,15,ERR2935805,metaSPAdes,NODE_16_length_204314_cov_55.909179,204314,Pseudomonas_aeruginosa,0
16,16,ERR2935805,metaSPAdes,NODE_17_length_189098_cov_59.944859,189098,Pseudomonas_aeruginosa,0
17,17,ERR2935805,metaSPAdes,NODE_18_length_187520_cov_55.775665,187520,Pseudomonas_aeruginosa,0
18,18,ERR2935805,metaSPAdes,NODE_19_length_182855_cov_54.960301,182855,Pseudomonas_aeruginosa,0
19,19,ERR2935805,metaSPAdes,NODE_20_length_177314_cov_1255.312672,177314,Listeria_monocytogenes,0
20,20,ERR2935805,metaSPAdes,NODE_21_length_173867_cov_57.365613,173867,Pseudomonas_aeruginosa,0
21,21,ERR2935805,metaSPAdes,NODE_22_length_166957_cov_57.440690,166957,Pseudomonas_aeruginosa,0
22,22,ERR2935805,metaSPAdes,NODE_23_length_165597_cov_1115.463834,165597,Listeria_monocytogenes,0
23,23,ERR2935805,metaSPAdes,NODE_24_length_164894_cov_8.089190,164894,Bacillus_subtilis,0
24,24,ERR2935805,metaSPAdes,NODE_25_length_160824_cov_8.350559,160824,Bacillus_subtilis,0
25,25,ERR2935805,metaSPAdes,NODE_25_length_160824_cov_8.350559,160824,Bacillus_subtilis,0
26,26,ERR2935805,metaSPAdes,NODE_26_length_160490_cov_55.290809,160490,Pseudomonas_aeruginosa,0
27,27,ERR2935805,metaSPAdes,NODE_27_length_159286_cov_1229.422977,159286,Listeria_monocytogenes,0
28,28,ERR2935805,metaSPAdes,NODE_28_length_147651_cov_8.743740,147651,Bacillus_subtilis,0
29,29,ERR2935805,metaSPAdes,NODE_29_length_145959_cov_54.858030,145959,Pseudomonas_aeruginosa,0
30,30,ERR2935805,metaSPAdes,NODE_30_length_139423_cov_8.097433,139423,Bacillus_subtilis,0
31,31,ERR2935805,metaSPAdes,NODE_31_length_136113_cov_7.117149,136113,Bacillus_subtilis,0
32,32,ERR2935805,metaSPAdes,NODE_32_length_127979_cov_57.833925,127979,Pseudomonas_aeruginosa,0
33,33,ERR2935805,metaSPAdes,NODE_33_length_127322_cov_7.233053,127322,Bacillus_subtilis,0
34,34,ERR2935805,metaSPAdes,NODE_34_length_125908_cov_58.046975,125908,Pseudomonas_aeruginosa,0
35,35,ERR2935805,metaSPAdes,NODE_35_length_122703_cov_57.785182,122703,Pseudomonas_aeruginosa,0
36,36,ERR2935805,metaSPAdes,NODE_36_length_119150_cov_57.336118,119150,Pseudomonas_aeruginosa,0
37,37,ERR2935805,metaSPAdes,NODE_37_length_112300_cov_8.945485,112300,Bacillus_subtilis,0
38,38,ERR2935805,metaSPAdes,NODE_38_length_106796_cov_52.923441,106796,Pseudomonas_aeruginosa,0
39,39,ERR2935805,metaSPAdes,NODE_39_length_106274_cov_58.136049,106274,Pseudomonas_aeruginosa,0
40,40,ERR2935805,metaSPAdes,NODE_40_length_99396_cov_1136.135050,99396,Listeria_monocytogenes,0
41,41,ERR2935805,metaSPAdes,NODE_41_length_98896_cov_1139.111401,98896,Listeria_monocytogenes,0
42,42,ERR2935805,metaSPAdes,NODE_42_length_98807_cov_8.622742,98807,Bacillus_subtilis,0
43,43,ERR2935805,metaSPAdes,NODE_43_length_97394_cov_56.689097,97394,Pseudomonas_aeruginosa,0
44,44,ERR2935805,metaSPAdes,NODE_44_length_92982_cov_55.463095,92982,Pseudomonas_aeruginosa,0
45,45,ERR2935805,metaSPAdes,NODE_45_length_91908_cov_1200.993892,91908,Listeria_monocytogenes,0
46,46,ERR2935805,metaSPAdes,NODE_46_length_91669_cov_57.064368,91669,Pseudomonas_aeruginosa,0
47,47,ERR2935805,metaSPAdes,NODE_47_length_90014_cov_58.603264,90014,Pseudomonas_aeruginosa,0
48,48,ERR2935805,metaSPAdes,NODE_48_length_87983_cov_56.173346,87983,Pseudomonas_aeruginosa,0
49,49,ERR2935805,metaSPAdes,NODE_49_length_87180_cov_8.018422,87180,Bacillus_subtilis,0
50,50,ERR2935805,metaSPAdes,NODE_50_length_81693_cov_8.026642,81693,Bacillus_subtilis,0
51,51,ERR2935805,metaSPAdes,NODE_51_length_81639_cov_7.111591,81639,Bacillus_subtilis,0
52,52,ERR2935805,metaSPAdes,NODE_52_length_80583_cov_56.865947,80583,Pseudomonas_aeruginosa,0
53,53,ERR2935805,metaSPAdes,NODE_53_length_79764_cov_7.624371,79764,Bacillus_subtilis,0
