,Reference,Assembler,NGx,Basepairs
0,Bacillus_subtilis,metaSPAdes,0,164894
1,Bacillus_subtilis,metaSPAdes,1,164894
2,Bacillus_subtilis,metaSPAdes,2,164894
3,Bacillus_subtilis,metaSPAdes,3,164894
4,Bacillus_subtilis,metaSPAdes,4,164894
5,Bacillus_subtilis,metaSPAdes,5,160824
6,Bacillus_subtilis,metaSPAdes,6,160824
7,Bacillus_subtilis,metaSPAdes,7,160824
8,Bacillus_subtilis,metaSPAdes,8,160824
9,Bacillus_subtilis,metaSPAdes,9,160824
10,Bacillus_subtilis,metaSPAdes,10,160824
11,Bacillus_subtilis,metaSPAdes,11,160824
12,Bacillus_subtilis,metaSPAdes,12,160824
13,Bacillus_subtilis,metaSPAdes,13,147651
14,Bacillus_subtilis,metaSPAdes,14,147651
15,Bacillus_subtilis,metaSPAdes,15,147651
16,Bacillus_subtilis,metaSPAdes,16,139423
17,Bacillus_subtilis,metaSPAdes,17,139423
18,Bacillus_subtilis,metaSPAdes,18,139423
19,Bacillus_subtilis,metaSPAdes,19,139423
20,Bacillus_subtilis,metaSPAdes,20,136113
21,Bacillus_subtilis,metaSPAdes,21,136113
22,Bacillus_subtilis,metaSPAdes,22,136113
23,Bacillus_subtilis,metaSPAdes,23,127322
24,Bacillus_subtilis,metaSPAdes,24,127322
25,Bacillus_subtilis,metaSPAdes,25,127322
26,Bacillus_subtilis,metaSPAdes,26,112300
27,Bacillus_subtilis,metaSPAdes,27,112300
28,Bacillus_subtilis,metaSPAdes,28,112300
29,Bacillus_subtilis,metaSPAdes,29,98807
30,Bacillus_subtilis,metaSPAdes,30,98807
31,Bacillus_subtilis,metaSPAdes,31,87180
32,Bacillus_subtilis,metaSPAdes,32,87180
33,Bacillus_subtilis,metaSPAdes,33,87180
34,Bacillus_subtilis,metaSPAdes,34,81693
35,Bacillus_subtilis,metaSPAdes,35,81693
36,Bacillus_subtilis,metaSPAdes,36,81639
37,Bacillus_subtilis,metaSPAdes,37,81639
38,Bacillus_subtilis,metaSPAdes,38,79764
39,Bacillus_subtilis,metaSPAdes,39,79764
40,Bacillus_subtilis,metaSPAdes,40,73980
41,Bacillus_subtilis,metaSPAdes,41,72355
42,Bacillus_subtilis,metaSPAdes,42,72355
43,Bacillus_subtilis,metaSPAdes,43,71114
44,Bacillus_subtilis,metaSPAdes,44,71114
45,Bacillus_subtilis,metaSPAdes,45,63938
46,Bacillus_subtilis,metaSPAdes,46,63690
47,Bacillus_subtilis,metaSPAdes,47,63690
48,Bacillus_subtilis,metaSPAdes,48,63157
49,Bacillus_subtilis,metaSPAdes,49,63157
50,Bacillus_subtilis,metaSPAdes,50,62046
51,Bacillus_subtilis,metaSPAdes,51,61490
52,Bacillus_subtilis,metaSPAdes,52,61490
53,Bacillus_subtilis,metaSPAdes,53,60538
54,Bacillus_subtilis,metaSPAdes,54,57151
55,Bacillus_subtilis,metaSPAdes,55,57151
56,Bacillus_subtilis,metaSPAdes,56,56887
57,Bacillus_subtilis,metaSPAdes,57,56874
58,Bacillus_subtilis,metaSPAdes,58,56626
59,Bacillus_subtilis,metaSPAdes,59,56626
60,Bacillus_subtilis,metaSPAdes,60,55306
61,Bacillus_subtilis,metaSPAdes,61,54254
62,Bacillus_subtilis,metaSPAdes,62,53826
63,Bacillus_subtilis,metaSPAdes,63,53826
64,Bacillus_subtilis,metaSPAdes,64,53560
65,Bacillus_subtilis,metaSPAdes,65,51634
66,Bacillus_subtilis,metaSPAdes,66,48034
67,Bacillus_subtilis,metaSPAdes,67,48034
68,Bacillus_subtilis,metaSPAdes,68,46606
69,Bacillus_subtilis,metaSPAdes,69,44865
70,Bacillus_subtilis,metaSPAdes,70,43867
71,Bacillus_subtilis,metaSPAdes,71,43073
72,Bacillus_subtilis,metaSPAdes,72,42509
73,Bacillus_subtilis,metaSPAdes,73,42157
74,Bacillus_subtilis,metaSPAdes,74,41698
75,Bacillus_subtilis,metaSPAdes,75,41050
76,Bacillus_subtilis,metaSPAdes,76,40477
77,Bacillus_subtilis,metaSPAdes,77,40117
78,Bacillus_subtilis,metaSPAdes,78,39416
79,Bacillus_subtilis,metaSPAdes,79,39003
80,Bacillus_subtilis,metaSPAdes,80,38621
81,Bacillus_subtilis,metaSPAdes,81,35728
82,Bacillus_subtilis,metaSPAdes,82,35728
83,Bacillus_subtilis,metaSPAdes,83,35368
84,Bacillus_subtilis,metaSPAdes,84,35301
85,Bacillus_subtilis,metaSPAdes,85,33860
