,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,IDBA-UD,0,0
1,Bacillus_subtilis,IDBA-UD,1,0
2,Bacillus_subtilis,IDBA-UD,2,1
3,Bacillus_subtilis,IDBA-UD,3,2
4,Bacillus_subtilis,IDBA-UD,4,3
5,Bacillus_subtilis,IDBA-UD,5,4
6,Bacillus_subtilis,IDBA-UD,6,5
7,Bacillus_subtilis,IDBA-UD,7,6
8,Bacillus_subtilis,IDBA-UD,8,8
9,Bacillus_subtilis,IDBA-UD,9,9
10,Bacillus_subtilis,IDBA-UD,10,10
11,Bacillus_subtilis,IDBA-UD,11,11
12,Bacillus_subtilis,IDBA-UD,12,13
13,Bacillus_subtilis,IDBA-UD,13,14
14,Bacillus_subtilis,IDBA-UD,14,16
15,Bacillus_subtilis,IDBA-UD,15,18
16,Bacillus_subtilis,IDBA-UD,16,19
17,Bacillus_subtilis,IDBA-UD,17,21
18,Bacillus_subtilis,IDBA-UD,18,22
19,Bacillus_subtilis,IDBA-UD,19,24
20,Bacillus_subtilis,IDBA-UD,20,26
21,Bacillus_subtilis,IDBA-UD,21,28
22,Bacillus_subtilis,IDBA-UD,22,29
23,Bacillus_subtilis,IDBA-UD,23,31
24,Bacillus_subtilis,IDBA-UD,24,33
25,Bacillus_subtilis,IDBA-UD,25,35
26,Bacillus_subtilis,IDBA-UD,26,37
27,Bacillus_subtilis,IDBA-UD,27,38
28,Bacillus_subtilis,IDBA-UD,28,40
29,Bacillus_subtilis,IDBA-UD,29,42
30,Bacillus_subtilis,IDBA-UD,30,44
31,Bacillus_subtilis,IDBA-UD,31,46
32,Bacillus_subtilis,IDBA-UD,32,48
33,Bacillus_subtilis,IDBA-UD,33,50
34,Bacillus_subtilis,IDBA-UD,34,52
35,Bacillus_subtilis,IDBA-UD,35,55
36,Bacillus_subtilis,IDBA-UD,36,57
37,Bacillus_subtilis,IDBA-UD,37,59
38,Bacillus_subtilis,IDBA-UD,38,61
39,Bacillus_subtilis,IDBA-UD,39,64
40,Bacillus_subtilis,IDBA-UD,40,66
41,Bacillus_subtilis,IDBA-UD,41,68
42,Bacillus_subtilis,IDBA-UD,42,71
43,Bacillus_subtilis,IDBA-UD,43,73
44,Bacillus_subtilis,IDBA-UD,44,76
45,Bacillus_subtilis,IDBA-UD,45,79
46,Bacillus_subtilis,IDBA-UD,46,81
47,Bacillus_subtilis,IDBA-UD,47,84
48,Bacillus_subtilis,IDBA-UD,48,87
49,Bacillus_subtilis,IDBA-UD,49,90
50,Bacillus_subtilis,IDBA-UD,50,93
51,Bacillus_subtilis,IDBA-UD,51,96
52,Bacillus_subtilis,IDBA-UD,52,99
53,Bacillus_subtilis,IDBA-UD,53,102
54,Bacillus_subtilis,IDBA-UD,54,105
55,Bacillus_subtilis,IDBA-UD,55,109
56,Bacillus_subtilis,IDBA-UD,56,112
