,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MEGAHIT,Bacillus_subtilis,k141_308,1889,60
1,MEGAHIT,Bacillus_subtilis,k141_610,4071,60
2,MEGAHIT,Bacillus_subtilis,k141_9,3633,60
3,MEGAHIT,Bacillus_subtilis,k141_411,5895,60
4,MEGAHIT,Bacillus_subtilis,k141_10,5313,60
5,MEGAHIT,Bacillus_subtilis,k141_102,11747,60
6,MEGAHIT,Bacillus_subtilis,k141_613,7825,60
7,MEGAHIT,Bacillus_subtilis,k141_413,9597,60
8,MEGAHIT,Bacillus_subtilis,k141_513,11829,35.95826777073257
9,MEGAHIT,Bacillus_subtilis,k141_103,5069,60
10,MEGAHIT,Bacillus_subtilis,k141_309,20870,40.184924534017114
11,MEGAHIT,Bacillus_subtilis,k141_312,2715,60
12,MEGAHIT,Bacillus_subtilis,k141_12,16362,60
13,MEGAHIT,Bacillus_subtilis,k141_635,6131,60
14,MEGAHIT,Bacillus_subtilis,k141_317,1200,60
15,MEGAHIT,Bacillus_subtilis,k141_415,25751,44.107940988548926
16,MEGAHIT,Bacillus_subtilis,k141_514,26753,38.253124982216036
17,MEGAHIT,Bacillus_subtilis,k141_320,4951,60
18,MEGAHIT,Bacillus_subtilis,k141_636,19396,39.86682179779685
19,MEGAHIT,Bacillus_subtilis,k141_18,26511,44.23426109712501
20,MEGAHIT,Bacillus_subtilis,k141_321,9465,60
21,MEGAHIT,Bacillus_subtilis,k141_322,6549,60
22,MEGAHIT,Bacillus_subtilis,k141_417,23324,60
23,MEGAHIT,Bacillus_subtilis,k141_645,21342,38.52113860849731
24,MEGAHIT,Bacillus_subtilis,k141_323,14475,60
25,MEGAHIT,Bacillus_subtilis,k141_418,16003,37.27080150518396
26,MEGAHIT,Bacillus_subtilis,k141_329,22492,60
27,MEGAHIT,Bacillus_subtilis,k141_419,24051,39.040118835975655
28,MEGAHIT,Bacillus_subtilis,k141_330,12274,40.889861189481266
29,MEGAHIT,Bacillus_subtilis,k141_331,2077,60
30,MEGAHIT,Bacillus_subtilis,k141_649,13700,60
31,MEGAHIT,Bacillus_subtilis,k141_422,21146,43.25228227870758
32,MEGAHIT,Bacillus_subtilis,k141_653,6811,60
33,MEGAHIT,Bacillus_subtilis,k141_426,26209,41.174204551656075
34,MEGAHIT,Bacillus_subtilis,k141_433,4267,60
35,MEGAHIT,Bacillus_subtilis,k141_663,38986,38.91938674118477
36,MEGAHIT,Bacillus_subtilis,k141_665,14461,60
37,MEGAHIT,Bacillus_subtilis,k141_434,56672,41.51308548181777
38,MEGAHIT,Bacillus_subtilis,k141_443,6036,37.807492311034736
39,MEGAHIT,Bacillus_subtilis,k141_720,11364,40.55531225050754
40,MEGAHIT,Bacillus_subtilis,k141_721,13885,60
41,MEGAHIT,Bacillus_subtilis,k141_722,16092,60
42,MEGAHIT,Bacillus_subtilis,k141_723,3694,60
43,MEGAHIT,Bacillus_subtilis,k141_726,14382,60
44,MEGAHIT,Bacillus_subtilis,k141_734,2067,60
45,MEGAHIT,Bacillus_subtilis,k141_27,30541,41.838532573368845
46,MEGAHIT,Bacillus_subtilis,k141_28,4027,36.04981629607461
47,MEGAHIT,Bacillus_subtilis,k141_735,20599,43.138461376013396
48,MEGAHIT,Bacillus_subtilis,k141_211,15050,60
49,MEGAHIT,Bacillus_subtilis,k141_30,29069,60
50,MEGAHIT,Bacillus_subtilis,k141_517,11122,37.45152895076883
51,MEGAHIT,Bacillus_subtilis,k141_31,1858,60
52,MEGAHIT,Bacillus_subtilis,k141_739,11411,37.56293709705429
53,MEGAHIT,Bacillus_subtilis,k141_334,26119,60
54,MEGAHIT,Bacillus_subtilis,k141_218,5868,60
55,MEGAHIT,Bacillus_subtilis,k141_107,37055,37.23748777588536
56,MEGAHIT,Bacillus_subtilis,k141_741,21518,43.32801903177994
57,MEGAHIT,Bacillus_subtilis,k141_43,10866,60
58,MEGAHIT,Bacillus_subtilis,k141_109,10281,40.12035359149631
59,MEGAHIT,Bacillus_subtilis,k141_44,4985,60
