,Reference,Assembler,NGx,Basepairs
0,Bacillus_subtilis,Unicycler,0,242687
1,Bacillus_subtilis,Unicycler,1,242687
2,Bacillus_subtilis,Unicycler,2,242687
3,Bacillus_subtilis,Unicycler,3,242687
4,Bacillus_subtilis,Unicycler,4,242687
5,Bacillus_subtilis,Unicycler,5,242687
6,Bacillus_subtilis,Unicycler,6,228676
7,Bacillus_subtilis,Unicycler,7,228676
8,Bacillus_subtilis,Unicycler,8,228676
9,Bacillus_subtilis,Unicycler,9,228676
10,Bacillus_subtilis,Unicycler,10,228676
11,Bacillus_subtilis,Unicycler,11,228676
12,Bacillus_subtilis,Unicycler,12,223740
13,Bacillus_subtilis,Unicycler,13,223740
14,Bacillus_subtilis,Unicycler,14,223740
15,Bacillus_subtilis,Unicycler,15,223740
16,Bacillus_subtilis,Unicycler,16,223740
17,Bacillus_subtilis,Unicycler,17,223740
18,Bacillus_subtilis,Unicycler,18,212812
19,Bacillus_subtilis,Unicycler,19,212812
20,Bacillus_subtilis,Unicycler,20,212812
21,Bacillus_subtilis,Unicycler,21,212812
22,Bacillus_subtilis,Unicycler,22,212812
23,Bacillus_subtilis,Unicycler,23,139230
24,Bacillus_subtilis,Unicycler,24,139230
25,Bacillus_subtilis,Unicycler,25,139230
26,Bacillus_subtilis,Unicycler,26,115691
27,Bacillus_subtilis,Unicycler,27,115691
28,Bacillus_subtilis,Unicycler,28,115691
29,Bacillus_subtilis,Unicycler,29,103969
30,Bacillus_subtilis,Unicycler,30,103969
31,Bacillus_subtilis,Unicycler,31,103969
32,Bacillus_subtilis,Unicycler,32,98262
33,Bacillus_subtilis,Unicycler,33,98262
34,Bacillus_subtilis,Unicycler,34,93781
35,Bacillus_subtilis,Unicycler,35,93781
36,Bacillus_subtilis,Unicycler,36,93781
37,Bacillus_subtilis,Unicycler,37,81444
38,Bacillus_subtilis,Unicycler,38,81444
39,Bacillus_subtilis,Unicycler,39,76927
40,Bacillus_subtilis,Unicycler,40,61772
41,Bacillus_subtilis,Unicycler,41,61772
42,Bacillus_subtilis,Unicycler,42,54704
43,Bacillus_subtilis,Unicycler,43,52980
44,Bacillus_subtilis,Unicycler,44,52980
45,Bacillus_subtilis,Unicycler,45,43219
46,Bacillus_subtilis,Unicycler,46,42692
47,Bacillus_subtilis,Unicycler,47,40011
48,Bacillus_subtilis,Unicycler,48,38191
49,Bacillus_subtilis,Unicycler,49,36396
50,Bacillus_subtilis,Unicycler,50,10764
51,Bacillus_subtilis,Unicycler,51,0
52,Bacillus_subtilis,Unicycler,52,0
53,Bacillus_subtilis,Unicycler,53,0
54,Bacillus_subtilis,Unicycler,54,0
55,Bacillus_subtilis,Unicycler,55,0
56,Bacillus_subtilis,Unicycler,56,0
57,Bacillus_subtilis,Unicycler,57,0
58,Bacillus_subtilis,Unicycler,58,0
59,Bacillus_subtilis,Unicycler,59,0
60,Bacillus_subtilis,Unicycler,60,0
61,Bacillus_subtilis,Unicycler,61,0
62,Bacillus_subtilis,Unicycler,62,0
63,Bacillus_subtilis,Unicycler,63,0
64,Bacillus_subtilis,Unicycler,64,0
65,Bacillus_subtilis,Unicycler,65,0
66,Bacillus_subtilis,Unicycler,66,0
67,Bacillus_subtilis,Unicycler,67,0
68,Bacillus_subtilis,Unicycler,68,0
69,Bacillus_subtilis,Unicycler,69,0
70,Bacillus_subtilis,Unicycler,70,0
71,Bacillus_subtilis,Unicycler,71,0
72,Bacillus_subtilis,Unicycler,72,0
73,Bacillus_subtilis,Unicycler,73,0
74,Bacillus_subtilis,Unicycler,74,0
75,Bacillus_subtilis,Unicycler,75,0
76,Bacillus_subtilis,Unicycler,76,0
77,Bacillus_subtilis,Unicycler,77,0
78,Bacillus_subtilis,Unicycler,78,0
79,Bacillus_subtilis,Unicycler,79,0
80,Bacillus_subtilis,Unicycler,80,0
81,Bacillus_subtilis,Unicycler,81,0
82,Bacillus_subtilis,Unicycler,82,0
83,Bacillus_subtilis,Unicycler,83,0
84,Bacillus_subtilis,Unicycler,84,0
85,Bacillus_subtilis,Unicycler,85,0
86,Bacillus_subtilis,Unicycler,86,0
87,Bacillus_subtilis,Unicycler,87,0
88,Bacillus_subtilis,Unicycler,88,0
89,Bacillus_subtilis,Unicycler,89,0
90,Bacillus_subtilis,Unicycler,90,0
91,Bacillus_subtilis,Unicycler,91,0
92,Bacillus_subtilis,Unicycler,92,0
93,Bacillus_subtilis,Unicycler,93,0
94,Bacillus_subtilis,Unicycler,94,0
95,Bacillus_subtilis,Unicycler,95,0
96,Bacillus_subtilis,Unicycler,96,0
97,Bacillus_subtilis,Unicycler,97,0
98,Bacillus_subtilis,Unicycler,98,0
99,Bacillus_subtilis,Unicycler,99,0
100,Bacillus_subtilis,Unicycler,100,0
101,Enterococcus_faecalis,Unicycler,0,0
102,Enterococcus_faecalis,Unicycler,1,0
103,Enterococcus_faecalis,Unicycler,2,0
104,Enterococcus_faecalis,Unicycler,3,0
105,Enterococcus_faecalis,Unicycler,4,0
106,Enterococcus_faecalis,Unicycler,5,0
107,Enterococcus_faecalis,Unicycler,6,0
108,Enterococcus_faecalis,Unicycler,7,0
109,Enterococcus_faecalis,Unicycler,8,0
110,Enterococcus_faecalis,Unicycler,9,0
111,Enterococcus_faecalis,Unicycler,10,0
112,Enterococcus_faecalis,Unicycler,11,0
113,Enterococcus_faecalis,Unicycler,12,0
114,Enterococcus_faecalis,Unicycler,13,0
115,Enterococcus_faecalis,Unicycler,14,0
116,Enterococcus_faecalis,Unicycler,15,0
117,Enterococcus_faecalis,Unicycler,16,0
118,Enterococcus_faecalis,Unicycler,17,0
119,Enterococcus_faecalis,Unicycler,18,0
120,Enterococcus_faecalis,Unicycler,19,0
121,Enterococcus_faecalis,Unicycler,20,0
122,Enterococcus_faecalis,Unicycler,21,0
123,Enterococcus_faecalis,Unicycler,22,0
124,Enterococcus_faecalis,Unicycler,23,0
125,Enterococcus_faecalis,Unicycler,24,0
126,Enterococcus_faecalis,Unicycler,25,0
127,Enterococcus_faecalis,Unicycler,26,0
128,Enterococcus_faecalis,Unicycler,27,0
129,Enterococcus_faecalis,Unicycler,28,0
130,Enterococcus_faecalis,Unicycler,29,0
131,Enterococcus_faecalis,Unicycler,30,0
132,Enterococcus_faecalis,Unicycler,31,0
133,Enterococcus_faecalis,Unicycler,32,0
134,Enterococcus_faecalis,Unicycler,33,0
135,Enterococcus_faecalis,Unicycler,34,0
136,Enterococcus_faecalis,Unicycler,35,0
137,Enterococcus_faecalis,Unicycler,36,0
138,Enterococcus_faecalis,Unicycler,37,0
139,Enterococcus_faecalis,Unicycler,38,0
140,Enterococcus_faecalis,Unicycler,39,0
141,Enterococcus_faecalis,Unicycler,40,0
142,Enterococcus_faecalis,Unicycler,41,0
143,Enterococcus_faecalis,Unicycler,42,0
144,Enterococcus_faecalis,Unicycler,43,0
