task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
1	46/f515bc	PROCESS_REFERENCE	-	COMPLETED	0	2021-10-23 12:59:46.785	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	8.5s	1.8s	-	83.6%	0.0%	49.6 MB	324.6 MB	37.3 MB	88.5 MB
16	8c/acd5ab	reformat_IDBA	ERR2935805	COMPLETED	0	2021-10-23 12:59:46.748	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	2m 49s	2m 40s	-	268.5%	0.2%	240.4 MB	3.8 GB	6.1 GB	15.1 GB
14	de/02cb89	reformat_IDBA	LHS	COMPLETED	0	2021-10-23 12:59:46.780	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	2m 59s	2m 53s	-	239.6%	0.1%	245.4 MB	3.8 GB	5.7 GB	10.7 GB
20	7a/3d4c42	reformat_METAHIPMER2	LHS	COMPLETED	0	2021-10-23 12:59:46.730	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	3m 39s	3m 32s	-	213.4%	0.2%	240 MB	3.8 GB	5.7 GB	19.8 GB
15	16/0afc32	reformat_IDBA	LNN	COMPLETED	0	2021-10-23 12:59:46.735	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	3m 44s	3m 40s	-	172.7%	0.2%	250.1 MB	3.8 GB	3.9 GB	12.8 GB
3	4a/526850	PROCESS_READS	LNN	COMPLETED	0	2021-10-23 12:59:46.807	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	3m 48s	3m 38s	-	101.0%	0.0%	53.2 MB	334.7 MB	2 GB	444 B
43	16/9f3b96	METAHIPMER2	LHS	FAILED	0	2021-10-23 13:03:26.775	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	8	1d	-	32 GB	15s	4.8s	-	63.7%	0.0%	98.7 MB	51.4 GB	17.3 MB	93.3 KB
22	5e/c4e5b1	reformat_METAHIPMER2	LNN	COMPLETED	0	2021-10-23 12:59:46.771	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	4m 4s	3m 59s	-	191.4%	0.1%	219.4 MB	3.8 GB	3.9 GB	24.1 GB
45	e9/937d21	METAHIPMER2	LHS	FAILED	0	2021-10-23 13:03:41.774	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	16	2d	-	64 GB	9.9s	3.8s	-	77.0%	0.0%	217.3 MB	203.6 GB	17.3 MB	99.6 KB
21	22/c8987b	reformat_METAHIPMER2	ERR2935805	COMPLETED	0	2021-10-23 12:59:46.800	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	4m 8s	3m 59s	-	205.1%	0.1%	236.9 MB	3.8 GB	6.1 GB	24.3 GB
