,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,VelvetOptimizer,0.0,243430
1,Bacillus_subtilis,VelvetOptimizer,0.1111111111111111,136276
2,Bacillus_subtilis,VelvetOptimizer,0.2222222222222222,103892
3,Bacillus_subtilis,VelvetOptimizer,0.3333333333333333,92807
4,Bacillus_subtilis,VelvetOptimizer,0.4444444444444444,72434
5,Bacillus_subtilis,VelvetOptimizer,0.5555555555555556,58393
6,Bacillus_subtilis,VelvetOptimizer,0.6666666666666666,50907
7,Bacillus_subtilis,VelvetOptimizer,0.7777777777777777,34627
8,Bacillus_subtilis,VelvetOptimizer,0.8888888888888888,21554
9,Bacillus_subtilis,VelvetOptimizer,1.0,1012
10,Enterococcus_faecalis,VelvetOptimizer,0.0,82625
11,Enterococcus_faecalis,VelvetOptimizer,0.1111111111111111,60177
12,Enterococcus_faecalis,VelvetOptimizer,0.2222222222222222,51427
13,Enterococcus_faecalis,VelvetOptimizer,0.3333333333333333,46840
14,Enterococcus_faecalis,VelvetOptimizer,0.4444444444444444,34471
15,Enterococcus_faecalis,VelvetOptimizer,0.5555555555555556,28064
16,Enterococcus_faecalis,VelvetOptimizer,0.6666666666666666,21529
17,Enterococcus_faecalis,VelvetOptimizer,0.7777777777777777,15873
18,Enterococcus_faecalis,VelvetOptimizer,0.8888888888888888,9383
19,Enterococcus_faecalis,VelvetOptimizer,1.0,1067
20,Escherichia_coli_plasmid,VelvetOptimizer,0.0,36419
21,Escherichia_coli_plasmid,VelvetOptimizer,0.1111111111111111,36419
22,Escherichia_coli_plasmid,VelvetOptimizer,0.2222222222222222,36419
23,Escherichia_coli_plasmid,VelvetOptimizer,0.3333333333333333,36419
24,Escherichia_coli_plasmid,VelvetOptimizer,0.4444444444444444,26643
25,Escherichia_coli_plasmid,VelvetOptimizer,0.5555555555555556,26643
26,Escherichia_coli_plasmid,VelvetOptimizer,0.6666666666666666,24231
27,Escherichia_coli_plasmid,VelvetOptimizer,0.7777777777777777,24231
28,Escherichia_coli_plasmid,VelvetOptimizer,0.8888888888888888,12216
29,Escherichia_coli_plasmid,VelvetOptimizer,1.0,1392
30,Escherichia_coli,VelvetOptimizer,0.0,55538
31,Escherichia_coli,VelvetOptimizer,0.1111111111111111,16083
32,Escherichia_coli,VelvetOptimizer,0.2222222222222222,11747
33,Escherichia_coli,VelvetOptimizer,0.3333333333333333,9414
34,Escherichia_coli,VelvetOptimizer,0.4444444444444444,7523
35,Escherichia_coli,VelvetOptimizer,0.5555555555555556,5644
36,Escherichia_coli,VelvetOptimizer,0.6666666666666666,4171
37,Escherichia_coli,VelvetOptimizer,0.7777777777777777,3001
38,Escherichia_coli,VelvetOptimizer,0.8888888888888888,2028
39,Escherichia_coli,VelvetOptimizer,1.0,1005
40,Lactobacillus_fermentum,VelvetOptimizer,0.0,67228
41,Lactobacillus_fermentum,VelvetOptimizer,0.1111111111111111,33146
42,Lactobacillus_fermentum,VelvetOptimizer,0.2222222222222222,28264
43,Lactobacillus_fermentum,VelvetOptimizer,0.3333333333333333,20227
44,Lactobacillus_fermentum,VelvetOptimizer,0.4444444444444444,13560
45,Lactobacillus_fermentum,VelvetOptimizer,0.5555555555555556,10836
46,Lactobacillus_fermentum,VelvetOptimizer,0.6666666666666666,8708
47,Lactobacillus_fermentum,VelvetOptimizer,0.7777777777777777,6450
48,Lactobacillus_fermentum,VelvetOptimizer,0.8888888888888888,3249
49,Lactobacillus_fermentum,VelvetOptimizer,1.0,1001
50,Listeria_monocytogenes,VelvetOptimizer,0.0,161810
51,Listeria_monocytogenes,VelvetOptimizer,0.1111111111111111,97169
52,Listeria_monocytogenes,VelvetOptimizer,0.2222222222222222,87316
53,Listeria_monocytogenes,VelvetOptimizer,0.3333333333333333,54651
54,Listeria_monocytogenes,VelvetOptimizer,0.4444444444444444,46367
55,Listeria_monocytogenes,VelvetOptimizer,0.5555555555555556,37618
56,Listeria_monocytogenes,VelvetOptimizer,0.6666666666666666,29781
57,Listeria_monocytogenes,VelvetOptimizer,0.7777777777777777,22848
58,Listeria_monocytogenes,VelvetOptimizer,0.8888888888888888,13596
59,Listeria_monocytogenes,VelvetOptimizer,1.0,1056
60,Pseudomonas_aeruginosa,VelvetOptimizer,0.0,846904
61,Pseudomonas_aeruginosa,VelvetOptimizer,0.1111111111111111,846904
62,Pseudomonas_aeruginosa,VelvetOptimizer,0.2222222222222222,469432
63,Pseudomonas_aeruginosa,VelvetOptimizer,0.3333333333333333,425949
64,Pseudomonas_aeruginosa,VelvetOptimizer,0.4444444444444444,303020
65,Pseudomonas_aeruginosa,VelvetOptimizer,0.5555555555555556,261903
66,Pseudomonas_aeruginosa,VelvetOptimizer,0.6666666666666666,238323
67,Pseudomonas_aeruginosa,VelvetOptimizer,0.7777777777777777,189519
68,Pseudomonas_aeruginosa,VelvetOptimizer,0.8888888888888888,119696
69,Pseudomonas_aeruginosa,VelvetOptimizer,1.0,1040
70,Salmonella_enterica,VelvetOptimizer,0.0,44704
71,Salmonella_enterica,VelvetOptimizer,0.1111111111111111,19268
72,Salmonella_enterica,VelvetOptimizer,0.2222222222222222,13871
73,Salmonella_enterica,VelvetOptimizer,0.3333333333333333,9622
74,Salmonella_enterica,VelvetOptimizer,0.4444444444444444,7805
75,Salmonella_enterica,VelvetOptimizer,0.5555555555555556,5754
76,Salmonella_enterica,VelvetOptimizer,0.6666666666666666,4232
77,Salmonella_enterica,VelvetOptimizer,0.7777777777777777,3108
78,Salmonella_enterica,VelvetOptimizer,0.8888888888888888,2041
79,Salmonella_enterica,VelvetOptimizer,1.0,1001
80,Staphylococcus_aureus,VelvetOptimizer,0.0,90652
81,Staphylococcus_aureus,VelvetOptimizer,0.1111111111111111,54237
82,Staphylococcus_aureus,VelvetOptimizer,0.2222222222222222,46115
83,Staphylococcus_aureus,VelvetOptimizer,0.3333333333333333,37992
