Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9848643379093289,29
Enterococcus_faecalis,0.979125196106547,31
Escherichia_coli_plasmid,0.9861463361422454,3
Escherichia_coli,0.9723007390302751,185
Lactobacillus_fermentum,0.9443630063616176,89
Listeria_monocytogenes,0.9877193181795396,21
Pseudomonas_aeruginosa,0.9892908618986416,96
Salmonella_enterica,0.9792362869783388,161
Staphylococcus_aureus,0.9852062322070929,48
Staphylococcus_aureus_plasmid1,0.997632949345116,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
