,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,GATBMiniaPipeline,0,0
1,Bacillus_subtilis,GATBMiniaPipeline,1,
2,Bacillus_subtilis,GATBMiniaPipeline,2,
3,Bacillus_subtilis,GATBMiniaPipeline,3,
4,Bacillus_subtilis,GATBMiniaPipeline,4,
5,Bacillus_subtilis,GATBMiniaPipeline,5,
6,Bacillus_subtilis,GATBMiniaPipeline,6,
7,Bacillus_subtilis,GATBMiniaPipeline,7,
8,Bacillus_subtilis,GATBMiniaPipeline,8,
9,Bacillus_subtilis,GATBMiniaPipeline,9,
10,Bacillus_subtilis,GATBMiniaPipeline,10,
11,Enterococcus_faecalis,GATBMiniaPipeline,0,0
12,Enterococcus_faecalis,GATBMiniaPipeline,1,20
13,Enterococcus_faecalis,GATBMiniaPipeline,2,
14,Enterococcus_faecalis,GATBMiniaPipeline,3,
15,Enterococcus_faecalis,GATBMiniaPipeline,4,
16,Enterococcus_faecalis,GATBMiniaPipeline,5,
17,Enterococcus_faecalis,GATBMiniaPipeline,6,
18,Enterococcus_faecalis,GATBMiniaPipeline,7,
19,Enterococcus_faecalis,GATBMiniaPipeline,8,
20,Enterococcus_faecalis,GATBMiniaPipeline,9,
21,Enterococcus_faecalis,GATBMiniaPipeline,10,
22,Escherichia_coli_plasmid,GATBMiniaPipeline,0,0
23,Escherichia_coli_plasmid,GATBMiniaPipeline,1,
24,Escherichia_coli_plasmid,GATBMiniaPipeline,2,
25,Escherichia_coli_plasmid,GATBMiniaPipeline,3,
26,Escherichia_coli_plasmid,GATBMiniaPipeline,4,
27,Escherichia_coli_plasmid,GATBMiniaPipeline,5,
28,Escherichia_coli_plasmid,GATBMiniaPipeline,6,
29,Escherichia_coli_plasmid,GATBMiniaPipeline,7,
30,Escherichia_coli_plasmid,GATBMiniaPipeline,8,
31,Escherichia_coli_plasmid,GATBMiniaPipeline,9,
32,Escherichia_coli_plasmid,GATBMiniaPipeline,10,
33,Escherichia_coli,GATBMiniaPipeline,0,0
34,Escherichia_coli,GATBMiniaPipeline,1,
35,Escherichia_coli,GATBMiniaPipeline,2,
36,Escherichia_coli,GATBMiniaPipeline,3,
37,Escherichia_coli,GATBMiniaPipeline,4,
38,Escherichia_coli,GATBMiniaPipeline,5,
39,Escherichia_coli,GATBMiniaPipeline,6,
40,Escherichia_coli,GATBMiniaPipeline,7,
41,Escherichia_coli,GATBMiniaPipeline,8,
42,Escherichia_coli,GATBMiniaPipeline,9,
43,Escherichia_coli,GATBMiniaPipeline,10,
44,Lactobacillus_fermentum,GATBMiniaPipeline,0,0
45,Lactobacillus_fermentum,GATBMiniaPipeline,1,
46,Lactobacillus_fermentum,GATBMiniaPipeline,2,
47,Lactobacillus_fermentum,GATBMiniaPipeline,3,
48,Lactobacillus_fermentum,GATBMiniaPipeline,4,
49,Lactobacillus_fermentum,GATBMiniaPipeline,5,
50,Lactobacillus_fermentum,GATBMiniaPipeline,6,
51,Lactobacillus_fermentum,GATBMiniaPipeline,7,
52,Lactobacillus_fermentum,GATBMiniaPipeline,8,
53,Lactobacillus_fermentum,GATBMiniaPipeline,9,
54,Lactobacillus_fermentum,GATBMiniaPipeline,10,
55,Listeria_monocytogenes,GATBMiniaPipeline,0,0
56,Listeria_monocytogenes,GATBMiniaPipeline,1,
57,Listeria_monocytogenes,GATBMiniaPipeline,2,
58,Listeria_monocytogenes,GATBMiniaPipeline,3,
59,Listeria_monocytogenes,GATBMiniaPipeline,4,
60,Listeria_monocytogenes,GATBMiniaPipeline,5,
61,Listeria_monocytogenes,GATBMiniaPipeline,6,
62,Listeria_monocytogenes,GATBMiniaPipeline,7,
63,Listeria_monocytogenes,GATBMiniaPipeline,8,
64,Listeria_monocytogenes,GATBMiniaPipeline,9,
65,Listeria_monocytogenes,GATBMiniaPipeline,10,
66,Pseudomonas_aeruginosa,GATBMiniaPipeline,0,0
67,Pseudomonas_aeruginosa,GATBMiniaPipeline,1,
68,Pseudomonas_aeruginosa,GATBMiniaPipeline,2,
69,Pseudomonas_aeruginosa,GATBMiniaPipeline,3,
70,Pseudomonas_aeruginosa,GATBMiniaPipeline,4,
71,Pseudomonas_aeruginosa,GATBMiniaPipeline,5,
72,Pseudomonas_aeruginosa,GATBMiniaPipeline,6,
73,Pseudomonas_aeruginosa,GATBMiniaPipeline,7,
74,Pseudomonas_aeruginosa,GATBMiniaPipeline,8,
75,Pseudomonas_aeruginosa,GATBMiniaPipeline,9,
76,Pseudomonas_aeruginosa,GATBMiniaPipeline,10,
77,Salmonella_enterica,GATBMiniaPipeline,0,0
78,Salmonella_enterica,GATBMiniaPipeline,1,140
79,Salmonella_enterica,GATBMiniaPipeline,2,
80,Salmonella_enterica,GATBMiniaPipeline,3,
81,Salmonella_enterica,GATBMiniaPipeline,4,
82,Salmonella_enterica,GATBMiniaPipeline,5,
83,Salmonella_enterica,GATBMiniaPipeline,6,
84,Salmonella_enterica,GATBMiniaPipeline,7,
85,Salmonella_enterica,GATBMiniaPipeline,8,
86,Salmonella_enterica,GATBMiniaPipeline,9,
87,Salmonella_enterica,GATBMiniaPipeline,10,
88,Staphylococcus_aureus,GATBMiniaPipeline,0,0
89,Staphylococcus_aureus,GATBMiniaPipeline,1,37
90,Staphylococcus_aureus,GATBMiniaPipeline,2,
91,Staphylococcus_aureus,GATBMiniaPipeline,3,
92,Staphylococcus_aureus,GATBMiniaPipeline,4,
93,Staphylococcus_aureus,GATBMiniaPipeline,5,
94,Staphylococcus_aureus,GATBMiniaPipeline,6,
95,Staphylococcus_aureus,GATBMiniaPipeline,7,
96,Staphylococcus_aureus,GATBMiniaPipeline,8,
97,Staphylococcus_aureus,GATBMiniaPipeline,9,
98,Staphylococcus_aureus,GATBMiniaPipeline,10,
99,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,0,0
100,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,1,
101,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,2,
102,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,3,
103,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,4,
104,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,5,
105,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,6,
106,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,7,
107,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,8,
108,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,9,
109,Staphylococcus_aureus_plasmid1,GATBMiniaPipeline,10,
110,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,0,0
111,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,1,
112,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,2,
113,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,3,
114,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,4,
115,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,5,
116,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,6,
117,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,7,
118,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,8,
119,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,9,
120,Staphylococcus_aureus_plasmid2,GATBMiniaPipeline,10,
121,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,0,0
122,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,1,
123,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,2,
124,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,3,
125,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,4,
126,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,5,
127,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,6,
128,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,7,
129,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,8,
130,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,9,
131,Staphylococcus_aureus_plasmid3,GATBMiniaPipeline,10,
