,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,GATBMiniaPipeline,Bacillus_subtilis,33,1641,60
1,GATBMiniaPipeline,Bacillus_subtilis,106,23479,60
2,GATBMiniaPipeline,Bacillus_subtilis,122,38492,60
3,GATBMiniaPipeline,Bacillus_subtilis,166,10306,60
4,GATBMiniaPipeline,Bacillus_subtilis,204,2267,60
5,GATBMiniaPipeline,Bacillus_subtilis,206,122534,60
6,GATBMiniaPipeline,Bacillus_subtilis,259,15783,60
7,GATBMiniaPipeline,Bacillus_subtilis,268,60345,60
8,GATBMiniaPipeline,Bacillus_subtilis,270,38372,60
9,GATBMiniaPipeline,Bacillus_subtilis,290,1145,30.58805486675928
10,GATBMiniaPipeline,Bacillus_subtilis,388,2767,60
11,GATBMiniaPipeline,Bacillus_subtilis,409,83935,60
12,GATBMiniaPipeline,Bacillus_subtilis,460,213017,60
13,GATBMiniaPipeline,Bacillus_subtilis,474,395816,60
14,GATBMiniaPipeline,Bacillus_subtilis,502,257327,60
15,GATBMiniaPipeline,Bacillus_subtilis,562,55337,60
16,GATBMiniaPipeline,Bacillus_subtilis,568,29810,60
17,GATBMiniaPipeline,Bacillus_subtilis,699,343267,60
18,GATBMiniaPipeline,Bacillus_subtilis,715,294502,60
19,GATBMiniaPipeline,Bacillus_subtilis,736,17168,60
20,GATBMiniaPipeline,Bacillus_subtilis,772,263418,60
21,GATBMiniaPipeline,Bacillus_subtilis,812,170861,60
22,GATBMiniaPipeline,Bacillus_subtilis,828,38648,60
23,GATBMiniaPipeline,Bacillus_subtilis,899,252699,60
24,GATBMiniaPipeline,Bacillus_subtilis,901,156553,60
25,GATBMiniaPipeline,Bacillus_subtilis,902,137457,60
26,GATBMiniaPipeline,Bacillus_subtilis,903,269772,60
27,GATBMiniaPipeline,Bacillus_subtilis,905,315192,60
28,GATBMiniaPipeline,Bacillus_subtilis,910,372846,60
29,GATBMiniaPipeline,Enterococcus_faecalis,74,35815,60
30,GATBMiniaPipeline,Enterococcus_faecalis,119,68978,60
31,GATBMiniaPipeline,Enterococcus_faecalis,160,56980,60
32,GATBMiniaPipeline,Enterococcus_faecalis,212,107486,60
33,GATBMiniaPipeline,Enterococcus_faecalis,238,33042,60
34,GATBMiniaPipeline,Enterococcus_faecalis,264,19563,60
35,GATBMiniaPipeline,Enterococcus_faecalis,293,63233,60
36,GATBMiniaPipeline,Enterococcus_faecalis,294,46776,60
37,GATBMiniaPipeline,Enterococcus_faecalis,339,1200,60
38,GATBMiniaPipeline,Enterococcus_faecalis,341,1637,60
39,GATBMiniaPipeline,Enterococcus_faecalis,374,2467,60
40,GATBMiniaPipeline,Enterococcus_faecalis,377,157742,60
41,GATBMiniaPipeline,Enterococcus_faecalis,422,197435,60
42,GATBMiniaPipeline,Enterococcus_faecalis,427,70857,60
43,GATBMiniaPipeline,Enterococcus_faecalis,496,25055,60
44,GATBMiniaPipeline,Enterococcus_faecalis,497,267956,60
45,GATBMiniaPipeline,Enterococcus_faecalis,505,16420,60
46,GATBMiniaPipeline,Enterococcus_faecalis,521,14782,19.878896099977457
47,GATBMiniaPipeline,Enterococcus_faecalis,525,23042,60
48,GATBMiniaPipeline,Enterococcus_faecalis,576,1051,60
49,GATBMiniaPipeline,Enterococcus_faecalis,606,29449,60
50,GATBMiniaPipeline,Enterococcus_faecalis,643,190533,60
51,GATBMiniaPipeline,Enterococcus_faecalis,645,1237,60
52,GATBMiniaPipeline,Enterococcus_faecalis,691,30764,35.33800293243567
53,GATBMiniaPipeline,Enterococcus_faecalis,701,470465,60
54,GATBMiniaPipeline,Enterococcus_faecalis,711,181242,60
55,GATBMiniaPipeline,Enterococcus_faecalis,852,43990,60
56,GATBMiniaPipeline,Enterococcus_faecalis,893,238739,60
57,GATBMiniaPipeline,Enterococcus_faecalis,897,264832,60
58,GATBMiniaPipeline,Enterococcus_faecalis,904,123662,60
59,GATBMiniaPipeline,Escherichia_coli_plasmid,165,40588,60
60,GATBMiniaPipeline,Escherichia_coli_plasmid,547,12618,60
61,GATBMiniaPipeline,Escherichia_coli_plasmid,697,55277,60
62,GATBMiniaPipeline,Escherichia_coli,2,1013,60
63,GATBMiniaPipeline,Escherichia_coli,17,15514,60
64,GATBMiniaPipeline,Escherichia_coli,22,13903,60
65,GATBMiniaPipeline,Escherichia_coli,30,2799,31.459729028022004
66,GATBMiniaPipeline,Escherichia_coli,48,11938,60
67,GATBMiniaPipeline,Escherichia_coli,52,26943,60
68,GATBMiniaPipeline,Escherichia_coli,53,1470,26.901960800285085
69,GATBMiniaPipeline,Escherichia_coli,56,1212,60
70,GATBMiniaPipeline,Escherichia_coli,61,53537,40.29684027065595
71,GATBMiniaPipeline,Escherichia_coli,68,8039,60
72,GATBMiniaPipeline,Escherichia_coli,69,35004,60
73,GATBMiniaPipeline,Escherichia_coli,72,5988,60
74,GATBMiniaPipeline,Escherichia_coli,81,3898,60
75,GATBMiniaPipeline,Escherichia_coli,82,16583,60
76,GATBMiniaPipeline,Escherichia_coli,87,2319,60
77,GATBMiniaPipeline,Escherichia_coli,88,29787,60
78,GATBMiniaPipeline,Escherichia_coli,90,9198,60
79,GATBMiniaPipeline,Escherichia_coli,91,3131,60
80,GATBMiniaPipeline,Escherichia_coli,97,56800,60
81,GATBMiniaPipeline,Escherichia_coli,98,17704,60
82,GATBMiniaPipeline,Escherichia_coli,103,37128,60
83,GATBMiniaPipeline,Escherichia_coli,113,63036,60
84,GATBMiniaPipeline,Escherichia_coli,114,56164,60
85,GATBMiniaPipeline,Escherichia_coli,115,12748,60
86,GATBMiniaPipeline,Escherichia_coli,120,11454,60
87,GATBMiniaPipeline,Escherichia_coli,121,1060,23.263358609287465
88,GATBMiniaPipeline,Escherichia_coli,125,14279,60
89,GATBMiniaPipeline,Escherichia_coli,126,40679,60
90,GATBMiniaPipeline,Escherichia_coli,130,1024,60
91,GATBMiniaPipeline,Escherichia_coli,133,131779,60
92,GATBMiniaPipeline,Escherichia_coli,136,1113,60
93,GATBMiniaPipeline,Escherichia_coli,140,77843,60
94,GATBMiniaPipeline,Escherichia_coli,143,7371,60
95,GATBMiniaPipeline,Escherichia_coli,153,82990,60
96,GATBMiniaPipeline,Escherichia_coli,157,1044,60
97,GATBMiniaPipeline,Escherichia_coli,176,6071,60
98,GATBMiniaPipeline,Escherichia_coli,178,74072,60
99,GATBMiniaPipeline,Escherichia_coli,179,13010,60
100,GATBMiniaPipeline,Escherichia_coli,180,2395,60
101,GATBMiniaPipeline,Escherichia_coli,183,1369,60
102,GATBMiniaPipeline,Escherichia_coli,193,73035,60
103,GATBMiniaPipeline,Escherichia_coli,210,2316,60
104,GATBMiniaPipeline,Escherichia_coli,213,9261,60
105,GATBMiniaPipeline,Escherichia_coli,217,15159,60
106,GATBMiniaPipeline,Escherichia_coli,225,4001,60
107,GATBMiniaPipeline,Escherichia_coli,226,2559,60
108,GATBMiniaPipeline,Escherichia_coli,231,102074,60
109,GATBMiniaPipeline,Escherichia_coli,242,18758,60
110,GATBMiniaPipeline,Escherichia_coli,244,17120,60
111,GATBMiniaPipeline,Escherichia_coli,258,97211,45.10594155978916
112,GATBMiniaPipeline,Escherichia_coli,266,20424,60
113,GATBMiniaPipeline,Escherichia_coli,276,32787,60
114,GATBMiniaPipeline,Escherichia_coli,283,2167,60
115,GATBMiniaPipeline,Escherichia_coli,286,4878,60
116,GATBMiniaPipeline,Escherichia_coli,292,12927,60
117,GATBMiniaPipeline,Escherichia_coli,295,72201,60
118,GATBMiniaPipeline,Escherichia_coli,296,12053,60
119,GATBMiniaPipeline,Escherichia_coli,298,8770,60
120,GATBMiniaPipeline,Escherichia_coli,304,4128,60
121,GATBMiniaPipeline,Escherichia_coli,308,13079,60
122,GATBMiniaPipeline,Escherichia_coli,310,17010,60
123,GATBMiniaPipeline,Escherichia_coli,314,1923,32.839792842384895
124,GATBMiniaPipeline,Escherichia_coli,317,60096,60
125,GATBMiniaPipeline,Escherichia_coli,318,14566,60
126,GATBMiniaPipeline,Escherichia_coli,333,59585,60
127,GATBMiniaPipeline,Escherichia_coli,338,16882,60
128,GATBMiniaPipeline,Escherichia_coli,350,71899,60
129,GATBMiniaPipeline,Escherichia_coli,354,126029,60
130,GATBMiniaPipeline,Escherichia_coli,355,104493,60
131,GATBMiniaPipeline,Escherichia_coli,360,34807,31.266932452763587
132,GATBMiniaPipeline,Escherichia_coli,365,3945,60
133,GATBMiniaPipeline,Escherichia_coli,366,106661,60
134,GATBMiniaPipeline,Escherichia_coli,368,76607,60
135,GATBMiniaPipeline,Escherichia_coli,370,20574,21.314751475538152
136,GATBMiniaPipeline,Escherichia_coli,376,8978,60
137,GATBMiniaPipeline,Escherichia_coli,380,12179,60
138,GATBMiniaPipeline,Escherichia_coli,387,39005,60
139,GATBMiniaPipeline,Escherichia_coli,390,14198,60
140,GATBMiniaPipeline,Escherichia_coli,398,6634,60
141,GATBMiniaPipeline,Escherichia_coli,400,3944,60
142,GATBMiniaPipeline,Escherichia_coli,403,8426,60
143,GATBMiniaPipeline,Escherichia_coli,405,9844,60
144,GATBMiniaPipeline,Escherichia_coli,411,38931,60
145,GATBMiniaPipeline,Escherichia_coli,416,1636,60
146,GATBMiniaPipeline,Escherichia_coli,417,3640,60
147,GATBMiniaPipeline,Escherichia_coli,423,2702,60
148,GATBMiniaPipeline,Escherichia_coli,425,3275,60
149,GATBMiniaPipeline,Escherichia_coli,440,3736,60
150,GATBMiniaPipeline,Escherichia_coli,443,5640,60
151,GATBMiniaPipeline,Escherichia_coli,452,9316,60
152,GATBMiniaPipeline,Escherichia_coli,462,5452,60
153,GATBMiniaPipeline,Escherichia_coli,464,12604,60
154,GATBMiniaPipeline,Escherichia_coli,467,2891,60
155,GATBMiniaPipeline,Escherichia_coli,471,2622,60
156,GATBMiniaPipeline,Escherichia_coli,472,3171,35.011962420271516
157,GATBMiniaPipeline,Escherichia_coli,475,30351,60
158,GATBMiniaPipeline,Escherichia_coli,478,17861,60
159,GATBMiniaPipeline,Escherichia_coli,479,90395,60
160,GATBMiniaPipeline,Escherichia_coli,480,3408,60
161,GATBMiniaPipeline,Escherichia_coli,486,2493,60
162,GATBMiniaPipeline,Escherichia_coli,488,32016,60
163,GATBMiniaPipeline,Escherichia_coli,504,1072,60
164,GATBMiniaPipeline,Escherichia_coli,507,41266,60
165,GATBMiniaPipeline,Escherichia_coli,510,10981,60
166,GATBMiniaPipeline,Escherichia_coli,512,54964,60
167,GATBMiniaPipeline,Escherichia_coli,513,16206,60
168,GATBMiniaPipeline,Escherichia_coli,517,3292,60
169,GATBMiniaPipeline,Escherichia_coli,518,10659,60
170,GATBMiniaPipeline,Escherichia_coli,529,6795,60
171,GATBMiniaPipeline,Escherichia_coli,540,2014,33.04059466217594
172,GATBMiniaPipeline,Escherichia_coli,543,14806,60
173,GATBMiniaPipeline,Escherichia_coli,545,2305,60
174,GATBMiniaPipeline,Escherichia_coli,546,10842,60
175,GATBMiniaPipeline,Escherichia_coli,548,26699,60
176,GATBMiniaPipeline,Escherichia_coli,549,19658,36.914793394037765
177,GATBMiniaPipeline,Escherichia_coli,551,32219,60
178,GATBMiniaPipeline,Escherichia_coli,553,8018,60
179,GATBMiniaPipeline,Escherichia_coli,565,106045,60
180,GATBMiniaPipeline,Escherichia_coli,569,9793,60
181,GATBMiniaPipeline,Escherichia_coli,577,34122,60
182,GATBMiniaPipeline,Escherichia_coli,578,13756,60
183,GATBMiniaPipeline,Escherichia_coli,581,33271,60
184,GATBMiniaPipeline,Escherichia_coli,585,1467,60
185,GATBMiniaPipeline,Escherichia_coli,592,27267,60
186,GATBMiniaPipeline,Escherichia_coli,593,46343,60
187,GATBMiniaPipeline,Escherichia_coli,594,42288,60
188,GATBMiniaPipeline,Escherichia_coli,603,4164,60
189,GATBMiniaPipeline,Escherichia_coli,615,1565,60
190,GATBMiniaPipeline,Escherichia_coli,617,98908,60
191,GATBMiniaPipeline,Escherichia_coli,631,9160,60
192,GATBMiniaPipeline,Escherichia_coli,634,1287,60
193,GATBMiniaPipeline,Escherichia_coli,638,1471,60
194,GATBMiniaPipeline,Escherichia_coli,650,5022,60
195,GATBMiniaPipeline,Escherichia_coli,655,18413,37.88003298439385
196,GATBMiniaPipeline,Escherichia_coli,659,2684,60
197,GATBMiniaPipeline,Escherichia_coli,660,14177,60
198,GATBMiniaPipeline,Escherichia_coli,668,23986,60
199,GATBMiniaPipeline,Escherichia_coli,671,33906,60
200,GATBMiniaPipeline,Escherichia_coli,675,48628,60
201,GATBMiniaPipeline,Escherichia_coli,682,62882,60
202,GATBMiniaPipeline,Escherichia_coli,684,1515,60
203,GATBMiniaPipeline,Escherichia_coli,695,2558,60
204,GATBMiniaPipeline,Escherichia_coli,704,45255,60
205,GATBMiniaPipeline,Escherichia_coli,706,2095,60
206,GATBMiniaPipeline,Escherichia_coli,707,1736,60
207,GATBMiniaPipeline,Escherichia_coli,717,62118,60
208,GATBMiniaPipeline,Escherichia_coli,718,85615,60
209,GATBMiniaPipeline,Escherichia_coli,729,9449,60
210,GATBMiniaPipeline,Escherichia_coli,731,1858,29.68015713993639
211,GATBMiniaPipeline,Escherichia_coli,733,3535,60
212,GATBMiniaPipeline,Escherichia_coli,734,2690,60
213,GATBMiniaPipeline,Escherichia_coli,735,13224,60
214,GATBMiniaPipeline,Escherichia_coli,737,25743,60
215,GATBMiniaPipeline,Escherichia_coli,751,5123,60
216,GATBMiniaPipeline,Escherichia_coli,755,18754,60
217,GATBMiniaPipeline,Escherichia_coli,759,1277,60
218,GATBMiniaPipeline,Escherichia_coli,761,1457,60
219,GATBMiniaPipeline,Escherichia_coli,766,106428,60
220,GATBMiniaPipeline,Escherichia_coli,768,19090,60
221,GATBMiniaPipeline,Escherichia_coli,785,80562,60
222,GATBMiniaPipeline,Escherichia_coli,788,20392,60
223,GATBMiniaPipeline,Escherichia_coli,797,1099,60
224,GATBMiniaPipeline,Escherichia_coli,804,17038,60
225,GATBMiniaPipeline,Escherichia_coli,808,4571,60
226,GATBMiniaPipeline,Escherichia_coli,815,8645,60
227,GATBMiniaPipeline,Escherichia_coli,816,14228,60
228,GATBMiniaPipeline,Escherichia_coli,820,8804,60
229,GATBMiniaPipeline,Escherichia_coli,822,6946,60
230,GATBMiniaPipeline,Escherichia_coli,831,32245,39.064023899454014
231,GATBMiniaPipeline,Escherichia_coli,842,38116,60
232,GATBMiniaPipeline,Escherichia_coli,844,2349,60
233,GATBMiniaPipeline,Escherichia_coli,849,1470,60
234,GATBMiniaPipeline,Escherichia_coli,858,4469,60
235,GATBMiniaPipeline,Escherichia_coli,861,1096,60
236,GATBMiniaPipeline,Escherichia_coli,864,8266,60
237,GATBMiniaPipeline,Escherichia_coli,866,21287,60
238,GATBMiniaPipeline,Escherichia_coli,874,31722,60
239,GATBMiniaPipeline,Escherichia_coli,881,43340,60
240,GATBMiniaPipeline,Escherichia_coli,882,2883,60
241,GATBMiniaPipeline,Escherichia_coli,883,63046,60
242,GATBMiniaPipeline,Escherichia_coli,887,119391,60
243,GATBMiniaPipeline,Escherichia_coli,894,39133,60
244,GATBMiniaPipeline,Escherichia_coli,895,124627,2.6215265338671623
245,GATBMiniaPipeline,Escherichia_coli,900,70535,60
246,GATBMiniaPipeline,Escherichia_coli,906,62876,60
247,GATBMiniaPipeline,Lactobacillus_fermentum,10,8968,60
248,GATBMiniaPipeline,Lactobacillus_fermentum,13,1702,60
249,GATBMiniaPipeline,Lactobacillus_fermentum,15,5415,60
250,GATBMiniaPipeline,Lactobacillus_fermentum,35,3629,60
251,GATBMiniaPipeline,Lactobacillus_fermentum,38,1121,60
252,GATBMiniaPipeline,Lactobacillus_fermentum,43,37368,60
253,GATBMiniaPipeline,Lactobacillus_fermentum,50,20983,60
254,GATBMiniaPipeline,Lactobacillus_fermentum,51,29334,60
255,GATBMiniaPipeline,Lactobacillus_fermentum,59,8693,60
256,GATBMiniaPipeline,Lactobacillus_fermentum,65,29144,60
257,GATBMiniaPipeline,Lactobacillus_fermentum,66,28183,60
258,GATBMiniaPipeline,Lactobacillus_fermentum,73,40582,60
259,GATBMiniaPipeline,Lactobacillus_fermentum,79,32512,60
260,GATBMiniaPipeline,Lactobacillus_fermentum,84,1873,60
261,GATBMiniaPipeline,Lactobacillus_fermentum,107,1095,60
262,GATBMiniaPipeline,Lactobacillus_fermentum,138,99326,60
263,GATBMiniaPipeline,Lactobacillus_fermentum,147,26077,60
264,GATBMiniaPipeline,Lactobacillus_fermentum,150,44595,60
265,GATBMiniaPipeline,Lactobacillus_fermentum,168,114915,60
266,GATBMiniaPipeline,Lactobacillus_fermentum,172,2462,60
267,GATBMiniaPipeline,Lactobacillus_fermentum,200,20559,60
268,GATBMiniaPipeline,Lactobacillus_fermentum,233,1990,60
269,GATBMiniaPipeline,Lactobacillus_fermentum,247,28520,60
270,GATBMiniaPipeline,Lactobacillus_fermentum,275,37549,60
271,GATBMiniaPipeline,Lactobacillus_fermentum,300,1923,60
272,GATBMiniaPipeline,Lactobacillus_fermentum,302,16732,60
273,GATBMiniaPipeline,Lactobacillus_fermentum,311,52970,60
274,GATBMiniaPipeline,Lactobacillus_fermentum,335,2652,60
275,GATBMiniaPipeline,Lactobacillus_fermentum,342,1400,60
276,GATBMiniaPipeline,Lactobacillus_fermentum,352,3023,60
277,GATBMiniaPipeline,Lactobacillus_fermentum,356,1690,60
278,GATBMiniaPipeline,Lactobacillus_fermentum,357,14791,60
279,GATBMiniaPipeline,Lactobacillus_fermentum,359,3198,60
280,GATBMiniaPipeline,Lactobacillus_fermentum,363,40446,60
281,GATBMiniaPipeline,Lactobacillus_fermentum,407,16283,60
282,GATBMiniaPipeline,Lactobacillus_fermentum,415,13177,60
283,GATBMiniaPipeline,Lactobacillus_fermentum,420,72663,60
284,GATBMiniaPipeline,Lactobacillus_fermentum,424,1530,60
285,GATBMiniaPipeline,Lactobacillus_fermentum,428,14866,60
286,GATBMiniaPipeline,Lactobacillus_fermentum,430,4052,60
287,GATBMiniaPipeline,Lactobacillus_fermentum,432,14598,60
288,GATBMiniaPipeline,Lactobacillus_fermentum,442,1984,60
289,GATBMiniaPipeline,Lactobacillus_fermentum,453,40151,60
290,GATBMiniaPipeline,Lactobacillus_fermentum,454,23545,60
291,GATBMiniaPipeline,Lactobacillus_fermentum,458,19146,60
