Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9773024391220555,114
Enterococcus_faecalis,0.9612390841051075,162
Escherichia_coli_plasmid,0.9563209613933659,5
Escherichia_coli,0.850080181574228,1137
Lactobacillus_fermentum,0.9187659060122298,236
Listeria_monocytogenes,0.975116814856056,121
Pseudomonas_aeruginosa,0.9885196979534269,65
Salmonella_enterica,0.8656991360463352,1093
Staphylococcus_aureus,0.9569943136259645,169
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
