,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,SKESA,0.0,395598
1,Bacillus_subtilis,SKESA,0.1111111111111111,367769
2,Bacillus_subtilis,SKESA,0.2222222222222222,314934
3,Bacillus_subtilis,SKESA,0.3333333333333333,263083
4,Bacillus_subtilis,SKESA,0.4444444444444444,234017
5,Bacillus_subtilis,SKESA,0.5555555555555556,149633
6,Bacillus_subtilis,SKESA,0.6666666666666666,132022
7,Bacillus_subtilis,SKESA,0.7777777777777777,90182
8,Bacillus_subtilis,SKESA,0.8888888888888888,59626
9,Bacillus_subtilis,SKESA,1.0,1435
10,Enterococcus_faecalis,SKESA,0.0,442877
11,Enterococcus_faecalis,SKESA,0.1111111111111111,442877
12,Enterococcus_faecalis,SKESA,0.2222222222222222,224112
13,Enterococcus_faecalis,SKESA,0.3333333333333333,151135
14,Enterococcus_faecalis,SKESA,0.4444444444444444,92343
15,Enterococcus_faecalis,SKESA,0.5555555555555556,68370
16,Enterococcus_faecalis,SKESA,0.6666666666666666,58816
17,Enterococcus_faecalis,SKESA,0.7777777777777777,43490
18,Enterococcus_faecalis,SKESA,0.8888888888888888,27993
19,Enterococcus_faecalis,SKESA,1.0,1472
20,Escherichia_coli_plasmid,SKESA,0.0,110007
21,Escherichia_coli_plasmid,SKESA,0.1111111111111111,110007
22,Escherichia_coli_plasmid,SKESA,0.2222222222222222,110007
23,Escherichia_coli_plasmid,SKESA,0.3333333333333333,110007
24,Escherichia_coli_plasmid,SKESA,0.4444444444444444,110007
25,Escherichia_coli_plasmid,SKESA,0.5555555555555556,110007
26,Escherichia_coli_plasmid,SKESA,0.6666666666666666,110007
27,Escherichia_coli_plasmid,SKESA,0.7777777777777777,110007
28,Escherichia_coli_plasmid,SKESA,0.8888888888888888,110007
29,Escherichia_coli_plasmid,SKESA,1.0,110007
30,Escherichia_coli,SKESA,0.0,89472
31,Escherichia_coli,SKESA,0.1111111111111111,58169
32,Escherichia_coli,SKESA,0.2222222222222222,43485
33,Escherichia_coli,SKESA,0.3333333333333333,33746
34,Escherichia_coli,SKESA,0.4444444444444444,29250
35,Escherichia_coli,SKESA,0.5555555555555556,22550
36,Escherichia_coli,SKESA,0.6666666666666666,17196
37,Escherichia_coli,SKESA,0.7777777777777777,12541
38,Escherichia_coli,SKESA,0.8888888888888888,7150
39,Escherichia_coli,SKESA,1.0,1039
40,Lactobacillus_fermentum,SKESA,0.0,121675
41,Lactobacillus_fermentum,SKESA,0.1111111111111111,114273
42,Lactobacillus_fermentum,SKESA,0.2222222222222222,72381
43,Lactobacillus_fermentum,SKESA,0.3333333333333333,59428
44,Lactobacillus_fermentum,SKESA,0.4444444444444444,39796
45,Lactobacillus_fermentum,SKESA,0.5555555555555556,32230
46,Lactobacillus_fermentum,SKESA,0.6666666666666666,20967
47,Lactobacillus_fermentum,SKESA,0.7777777777777777,13884
48,Lactobacillus_fermentum,SKESA,0.8888888888888888,8686
49,Lactobacillus_fermentum,SKESA,1.0,1033
50,Listeria_monocytogenes,SKESA,0.0,474592
51,Listeria_monocytogenes,SKESA,0.1111111111111111,474592
52,Listeria_monocytogenes,SKESA,0.2222222222222222,468058
53,Listeria_monocytogenes,SKESA,0.3333333333333333,416532
54,Listeria_monocytogenes,SKESA,0.4444444444444444,416532
55,Listeria_monocytogenes,SKESA,0.5555555555555556,177866
56,Listeria_monocytogenes,SKESA,0.6666666666666666,125040
57,Listeria_monocytogenes,SKESA,0.7777777777777777,99526
58,Listeria_monocytogenes,SKESA,0.8888888888888888,68978
59,Listeria_monocytogenes,SKESA,1.0,1161
60,Pseudomonas_aeruginosa,SKESA,0.0,245776
61,Pseudomonas_aeruginosa,SKESA,0.1111111111111111,135620
62,Pseudomonas_aeruginosa,SKESA,0.2222222222222222,97258
63,Pseudomonas_aeruginosa,SKESA,0.3333333333333333,87871
64,Pseudomonas_aeruginosa,SKESA,0.4444444444444444,67664
65,Pseudomonas_aeruginosa,SKESA,0.5555555555555556,58254
66,Pseudomonas_aeruginosa,SKESA,0.6666666666666666,47270
67,Pseudomonas_aeruginosa,SKESA,0.7777777777777777,35145
68,Pseudomonas_aeruginosa,SKESA,0.8888888888888888,21353
69,Pseudomonas_aeruginosa,SKESA,1.0,1080
70,Salmonella_enterica,SKESA,0.0,144206
71,Salmonella_enterica,SKESA,0.1111111111111111,74353
72,Salmonella_enterica,SKESA,0.2222222222222222,50248
73,Salmonella_enterica,SKESA,0.3333333333333333,39899
74,Salmonella_enterica,SKESA,0.4444444444444444,33676
75,Salmonella_enterica,SKESA,0.5555555555555556,24318
76,Salmonella_enterica,SKESA,0.6666666666666666,17294
77,Salmonella_enterica,SKESA,0.7777777777777777,13205
78,Salmonella_enterica,SKESA,0.8888888888888888,7910
79,Salmonella_enterica,SKESA,1.0,1000
80,Staphylococcus_aureus,SKESA,0.0,130674
81,Staphylococcus_aureus,SKESA,0.1111111111111111,107847
82,Staphylococcus_aureus,SKESA,0.2222222222222222,95745
83,Staphylococcus_aureus,SKESA,0.3333333333333333,64367
84,Staphylococcus_aureus,SKESA,0.4444444444444444,51613
85,Staphylococcus_aureus,SKESA,0.5555555555555556,46228
86,Staphylococcus_aureus,SKESA,0.6666666666666666,34602
87,Staphylococcus_aureus,SKESA,0.7777777777777777,31820
88,Staphylococcus_aureus,SKESA,0.8888888888888888,20895
89,Staphylococcus_aureus,SKESA,1.0,1127
90,Staphylococcus_aureus_plasmid1,SKESA,0.0,6337
91,Staphylococcus_aureus_plasmid1,SKESA,0.1111111111111111,6337
92,Staphylococcus_aureus_plasmid1,SKESA,0.2222222222222222,6337
93,Staphylococcus_aureus_plasmid1,SKESA,0.3333333333333333,6337
94,Staphylococcus_aureus_plasmid1,SKESA,0.4444444444444444,6337
95,Staphylococcus_aureus_plasmid1,SKESA,0.5555555555555556,6337
96,Staphylococcus_aureus_plasmid1,SKESA,0.6666666666666666,6337
97,Staphylococcus_aureus_plasmid1,SKESA,0.7777777777777777,6337
98,Staphylococcus_aureus_plasmid1,SKESA,0.8888888888888888,6337
99,Staphylococcus_aureus_plasmid1,SKESA,1.0,6337
100,Staphylococcus_aureus_plasmid2,SKESA,0.0,0
101,Staphylococcus_aureus_plasmid2,SKESA,0.1111111111111111,0
102,Staphylococcus_aureus_plasmid2,SKESA,0.2222222222222222,0
103,Staphylococcus_aureus_plasmid2,SKESA,0.3333333333333333,0
104,Staphylococcus_aureus_plasmid2,SKESA,0.4444444444444444,0
105,Staphylococcus_aureus_plasmid2,SKESA,0.5555555555555556,0
106,Staphylococcus_aureus_plasmid2,SKESA,0.6666666666666666,0
107,Staphylococcus_aureus_plasmid2,SKESA,0.7777777777777777,0
108,Staphylococcus_aureus_plasmid2,SKESA,0.8888888888888888,0
109,Staphylococcus_aureus_plasmid2,SKESA,1.0,0
110,Staphylococcus_aureus_plasmid3,SKESA,0.0,1363
111,Staphylococcus_aureus_plasmid3,SKESA,0.1111111111111111,1363
112,Staphylococcus_aureus_plasmid3,SKESA,0.2222222222222222,1363
113,Staphylococcus_aureus_plasmid3,SKESA,0.3333333333333333,1363
114,Staphylococcus_aureus_plasmid3,SKESA,0.4444444444444444,1363
115,Staphylococcus_aureus_plasmid3,SKESA,0.5555555555555556,1363
116,Staphylococcus_aureus_plasmid3,SKESA,0.6666666666666666,1363
117,Staphylococcus_aureus_plasmid3,SKESA,0.7777777777777777,1363
118,Staphylococcus_aureus_plasmid3,SKESA,0.8888888888888888,1363
119,Staphylococcus_aureus_plasmid3,SKESA,1.0,1363
