Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9824096189587058,34
Enterococcus_faecalis,0.00403072757637612,7
Escherichia_coli_plasmid,0.013735489559755289,1
Escherichia_coli,0.006194818772015309,26
Lactobacillus_fermentum,0.0007153605170329806,1
Listeria_monocytogenes,0.6350270122866972,1277
Pseudomonas_aeruginosa,0.9879218176973145,74
Salmonella_enterica,0.009786236492451488,41
Staphylococcus_aureus,0.0,0
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
