,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,SPAdes,0.0,708478
1,Bacillus_subtilis,SPAdes,0.1111111111111111,708478
2,Bacillus_subtilis,SPAdes,0.2222222222222222,355779
3,Bacillus_subtilis,SPAdes,0.3333333333333333,315047
4,Bacillus_subtilis,SPAdes,0.4444444444444444,263192
5,Bacillus_subtilis,SPAdes,0.5555555555555556,252099
6,Bacillus_subtilis,SPAdes,0.6666666666666666,155929
7,Bacillus_subtilis,SPAdes,0.7777777777777777,112691
8,Bacillus_subtilis,SPAdes,0.8888888888888888,77848
9,Bacillus_subtilis,SPAdes,1.0,1007
10,Enterococcus_faecalis,SPAdes,0.0,2693
11,Enterococcus_faecalis,SPAdes,0.1111111111111111,2693
12,Enterococcus_faecalis,SPAdes,0.2222222222222222,2693
13,Enterococcus_faecalis,SPAdes,0.3333333333333333,2309
14,Enterococcus_faecalis,SPAdes,0.4444444444444444,2063
15,Enterococcus_faecalis,SPAdes,0.5555555555555556,2063
16,Enterococcus_faecalis,SPAdes,0.6666666666666666,1460
17,Enterococcus_faecalis,SPAdes,0.7777777777777777,1045
18,Enterococcus_faecalis,SPAdes,0.8888888888888888,1040
19,Enterococcus_faecalis,SPAdes,1.0,1031
20,Escherichia_coli_plasmid,SPAdes,0.0,1510
21,Escherichia_coli_plasmid,SPAdes,0.1111111111111111,1510
22,Escherichia_coli_plasmid,SPAdes,0.2222222222222222,1510
23,Escherichia_coli_plasmid,SPAdes,0.3333333333333333,1510
24,Escherichia_coli_plasmid,SPAdes,0.4444444444444444,1510
25,Escherichia_coli_plasmid,SPAdes,0.5555555555555556,1510
26,Escherichia_coli_plasmid,SPAdes,0.6666666666666666,1510
27,Escherichia_coli_plasmid,SPAdes,0.7777777777777777,1510
28,Escherichia_coli_plasmid,SPAdes,0.8888888888888888,1510
29,Escherichia_coli_plasmid,SPAdes,1.0,1510
30,Escherichia_coli,SPAdes,0.0,2510
31,Escherichia_coli,SPAdes,0.1111111111111111,2209
32,Escherichia_coli,SPAdes,0.2222222222222222,1647
33,Escherichia_coli,SPAdes,0.3333333333333333,1311
34,Escherichia_coli,SPAdes,0.4444444444444444,1238
35,Escherichia_coli,SPAdes,0.5555555555555556,1151
36,Escherichia_coli,SPAdes,0.6666666666666666,1124
37,Escherichia_coli,SPAdes,0.7777777777777777,1077
38,Escherichia_coli,SPAdes,0.8888888888888888,1012
39,Escherichia_coli,SPAdes,1.0,1006
40,Lactobacillus_fermentum,SPAdes,0.0,1408
41,Lactobacillus_fermentum,SPAdes,0.1111111111111111,1408
42,Lactobacillus_fermentum,SPAdes,0.2222222222222222,1408
43,Lactobacillus_fermentum,SPAdes,0.3333333333333333,1408
44,Lactobacillus_fermentum,SPAdes,0.4444444444444444,1408
45,Lactobacillus_fermentum,SPAdes,0.5555555555555556,1408
46,Lactobacillus_fermentum,SPAdes,0.6666666666666666,1408
47,Lactobacillus_fermentum,SPAdes,0.7777777777777777,1408
48,Lactobacillus_fermentum,SPAdes,0.8888888888888888,1408
49,Lactobacillus_fermentum,SPAdes,1.0,1408
50,Listeria_monocytogenes,SPAdes,0.0,9470
51,Listeria_monocytogenes,SPAdes,0.1111111111111111,4854
52,Listeria_monocytogenes,SPAdes,0.2222222222222222,3712
53,Listeria_monocytogenes,SPAdes,0.3333333333333333,2988
54,Listeria_monocytogenes,SPAdes,0.4444444444444444,2373
55,Listeria_monocytogenes,SPAdes,0.5555555555555556,1991
56,Listeria_monocytogenes,SPAdes,0.6666666666666666,1689
57,Listeria_monocytogenes,SPAdes,0.7777777777777777,1439
58,Listeria_monocytogenes,SPAdes,0.8888888888888888,1218
59,Listeria_monocytogenes,SPAdes,1.0,1000
60,Pseudomonas_aeruginosa,SPAdes,0.0,847683
61,Pseudomonas_aeruginosa,SPAdes,0.1111111111111111,847683
62,Pseudomonas_aeruginosa,SPAdes,0.2222222222222222,404310
63,Pseudomonas_aeruginosa,SPAdes,0.3333333333333333,294591
64,Pseudomonas_aeruginosa,SPAdes,0.4444444444444444,265325
65,Pseudomonas_aeruginosa,SPAdes,0.5555555555555556,210764
66,Pseudomonas_aeruginosa,SPAdes,0.6666666666666666,171255
67,Pseudomonas_aeruginosa,SPAdes,0.7777777777777777,118435
68,Pseudomonas_aeruginosa,SPAdes,0.8888888888888888,56820
69,Pseudomonas_aeruginosa,SPAdes,1.0,1028
70,Salmonella_enterica,SPAdes,0.0,3770
71,Salmonella_enterica,SPAdes,0.1111111111111111,1878
72,Salmonella_enterica,SPAdes,0.2222222222222222,1574
73,Salmonella_enterica,SPAdes,0.3333333333333333,1446
74,Salmonella_enterica,SPAdes,0.4444444444444444,1254
75,Salmonella_enterica,SPAdes,0.5555555555555556,1155
76,Salmonella_enterica,SPAdes,0.6666666666666666,1099
77,Salmonella_enterica,SPAdes,0.7777777777777777,1046
78,Salmonella_enterica,SPAdes,0.8888888888888888,1027
79,Salmonella_enterica,SPAdes,1.0,1001
80,Staphylococcus_aureus,SPAdes,0.0,0
81,Staphylococcus_aureus,SPAdes,0.1111111111111111,0
82,Staphylococcus_aureus,SPAdes,0.2222222222222222,0
83,Staphylococcus_aureus,SPAdes,0.3333333333333333,0
84,Staphylococcus_aureus,SPAdes,0.4444444444444444,0
85,Staphylococcus_aureus,SPAdes,0.5555555555555556,0
86,Staphylococcus_aureus,SPAdes,0.6666666666666666,0
87,Staphylococcus_aureus,SPAdes,0.7777777777777777,0
88,Staphylococcus_aureus,SPAdes,0.8888888888888888,0
89,Staphylococcus_aureus,SPAdes,1.0,0
90,Staphylococcus_aureus_plasmid1,SPAdes,0.0,0
91,Staphylococcus_aureus_plasmid1,SPAdes,0.1111111111111111,0
92,Staphylococcus_aureus_plasmid1,SPAdes,0.2222222222222222,0
93,Staphylococcus_aureus_plasmid1,SPAdes,0.3333333333333333,0
94,Staphylococcus_aureus_plasmid1,SPAdes,0.4444444444444444,0
95,Staphylococcus_aureus_plasmid1,SPAdes,0.5555555555555556,0
96,Staphylococcus_aureus_plasmid1,SPAdes,0.6666666666666666,0
