Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9842629552482811,30
Enterococcus_faecalis,0.9911994551190135,38
Escherichia_coli_plasmid,0.9949366858472642,3
Escherichia_coli,0.9720812417085202,180
Lactobacillus_fermentum,0.9432015296013873,83
Listeria_monocytogenes,0.9765544847480669,23
Pseudomonas_aeruginosa,0.9870032816426764,102
Salmonella_enterica,0.9769378450026535,165
Staphylococcus_aureus,0.9844205857038819,53
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,1.0,1
Staphylococcus_aureus_plasmid3,1.0,1
