,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,GATBMiniaPipeline,0.0,768288
1,Bacillus_subtilis,GATBMiniaPipeline,0.1111111111111111,768288
2,Bacillus_subtilis,GATBMiniaPipeline,0.2222222222222222,682507
3,Bacillus_subtilis,GATBMiniaPipeline,0.3333333333333333,682507
4,Bacillus_subtilis,GATBMiniaPipeline,0.4444444444444444,552227
5,Bacillus_subtilis,GATBMiniaPipeline,0.5555555555555556,325082
6,Bacillus_subtilis,GATBMiniaPipeline,0.6666666666666666,294467
7,Bacillus_subtilis,GATBMiniaPipeline,0.7777777777777777,263366
8,Bacillus_subtilis,GATBMiniaPipeline,0.8888888888888888,137485
9,Bacillus_subtilis,GATBMiniaPipeline,1.0,1422
10,Enterococcus_faecalis,GATBMiniaPipeline,0.0,443331
11,Enterococcus_faecalis,GATBMiniaPipeline,0.1111111111111111,443331
12,Enterococcus_faecalis,GATBMiniaPipeline,0.2222222222222222,267876
13,Enterococcus_faecalis,GATBMiniaPipeline,0.3333333333333333,184436
14,Enterococcus_faecalis,GATBMiniaPipeline,0.4444444444444444,179788
15,Enterococcus_faecalis,GATBMiniaPipeline,0.5555555555555556,118899
16,Enterococcus_faecalis,GATBMiniaPipeline,0.6666666666666666,68820
17,Enterococcus_faecalis,GATBMiniaPipeline,0.7777777777777777,62433
18,Enterococcus_faecalis,GATBMiniaPipeline,0.8888888888888888,35769
19,Enterococcus_faecalis,GATBMiniaPipeline,1.0,1002
20,Escherichia_coli_plasmid,GATBMiniaPipeline,0.0,53135
21,Escherichia_coli_plasmid,GATBMiniaPipeline,0.1111111111111111,53135
22,Escherichia_coli_plasmid,GATBMiniaPipeline,0.2222222222222222,53135
23,Escherichia_coli_plasmid,GATBMiniaPipeline,0.3333333333333333,53135
24,Escherichia_coli_plasmid,GATBMiniaPipeline,0.4444444444444444,53135
25,Escherichia_coli_plasmid,GATBMiniaPipeline,0.5555555555555556,28767
26,Escherichia_coli_plasmid,GATBMiniaPipeline,0.6666666666666666,28767
27,Escherichia_coli_plasmid,GATBMiniaPipeline,0.7777777777777777,26528
28,Escherichia_coli_plasmid,GATBMiniaPipeline,0.8888888888888888,26528
29,Escherichia_coli_plasmid,GATBMiniaPipeline,1.0,26528
30,Escherichia_coli,GATBMiniaPipeline,0.0,557877
31,Escherichia_coli,GATBMiniaPipeline,0.1111111111111111,557877
32,Escherichia_coli,GATBMiniaPipeline,0.2222222222222222,511279
33,Escherichia_coli,GATBMiniaPipeline,0.3333333333333333,228968
34,Escherichia_coli,GATBMiniaPipeline,0.4444444444444444,184122
35,Escherichia_coli,GATBMiniaPipeline,0.5555555555555556,147478
36,Escherichia_coli,GATBMiniaPipeline,0.6666666666666666,141823
37,Escherichia_coli,GATBMiniaPipeline,0.7777777777777777,124261
38,Escherichia_coli,GATBMiniaPipeline,0.8888888888888888,89349
39,Escherichia_coli,GATBMiniaPipeline,1.0,1013
40,Lactobacillus_fermentum,GATBMiniaPipeline,0.0,121877
41,Lactobacillus_fermentum,GATBMiniaPipeline,0.1111111111111111,114835
42,Lactobacillus_fermentum,GATBMiniaPipeline,0.2222222222222222,87390
43,Lactobacillus_fermentum,GATBMiniaPipeline,0.3333333333333333,63786
44,Lactobacillus_fermentum,GATBMiniaPipeline,0.4444444444444444,46159
45,Lactobacillus_fermentum,GATBMiniaPipeline,0.5555555555555556,37469
46,Lactobacillus_fermentum,GATBMiniaPipeline,0.6666666666666666,29064
47,Lactobacillus_fermentum,GATBMiniaPipeline,0.7777777777777777,20479
