task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
1	98/31c344	PROCESS_REFERENCE	-	COMPLETED	0	2021-07-31 23:44:47.191	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.4s	2.2s	-	106.2%	0.0%	36 MB	442.5 MB	37.3 MB	88.5 MB
6	07/2dec4a	PROCESS_READS	ENN	COMPLETED	0	2021-07-31 23:44:47.326	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	1m 13s	1m 2s	-	96.5%	0.0%	53.5 MB	494.7 MB	350.9 MB	435 B
66	0e/fbaa44	reformat_IDBA	ENN	COMPLETED	0	2021-07-31 23:44:47.396	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	1m 23s	1m 11s	-	112.1%	0.1%	144.3 MB	3 GB	690.3 MB	2.6 GB
3	4d/f4ed93	PROCESS_READS	ERR2984773	COMPLETED	0	2021-07-31 23:44:47.335	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	1m 48s	1m 35s	-	81.2%	0.0%	54 MB	494.7 MB	892.5 MB	460 B
63	7d/9ed523	reformat_IDBA	ERR2984773	COMPLETED	0	2021-07-31 23:44:47.442	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	1m 52s	1m 45s	-	114.2%	0.1%	157 MB	3 GB	1.8 GB	3.6 GB
67	12/0e6d78	reformat_IDBA	EMS	COMPLETED	0	2021-07-31 23:44:47.427	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	1m 57s	1m 47s	-	110.0%	0.1%	143.8 MB	3 GB	1.8 GB	3.1 GB
7	8a/370362	PROCESS_READS	EMS	COMPLETED	0	2021-07-31 23:44:47.323	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	2m 19s	2m 14s	-	60.2%	0.0%	53.4 MB	494.7 MB	888.9 MB	425 B
11	6c/c2d70a	BCALM2	ENN	COMPLETED	0	2021-07-31 23:44:47.293	docker:cimendes/bcalm:2.2.3-1	4	-	-	16 GB	4m 39s	4m 34s	-	321.0%	4.0%	5 GB	7.9 GB	5.9 GB	3.4 GB
24	96/ce82ea	MINIA	ENN	COMPLETED	0	2021-07-31 23:44:47.311	docker:cimendes/minia:3.2.4-1	4	-	-	16 GB	4m 49s	4m 41s	-	328.4%	4.0%	5 GB	7.9 GB	6.4 GB	3.5 GB
71	b6/349c65	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-07-31 23:49:27.297	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	10s	2.1s	-	64.9%	0.0%	65.5 MB	2.9 GB	34.7 MB	27.5 MB
