,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,MINIA,0.0,136276
1,Bacillus_subtilis,MINIA,0.1111111111111111,124837
2,Bacillus_subtilis,MINIA,0.2222222222222222,99700
3,Bacillus_subtilis,MINIA,0.3333333333333333,92807
4,Bacillus_subtilis,MINIA,0.4444444444444444,71660
5,Bacillus_subtilis,MINIA,0.5555555555555556,58393
6,Bacillus_subtilis,MINIA,0.6666666666666666,48017
7,Bacillus_subtilis,MINIA,0.7777777777777777,33728
8,Bacillus_subtilis,MINIA,0.8888888888888888,22483
9,Bacillus_subtilis,MINIA,1.0,1012
10,Enterococcus_faecalis,MINIA,0.0,130628
11,Enterococcus_faecalis,MINIA,0.1111111111111111,60508
12,Enterococcus_faecalis,MINIA,0.2222222222222222,51427
13,Enterococcus_faecalis,MINIA,0.3333333333333333,40626
14,Enterococcus_faecalis,MINIA,0.4444444444444444,34850
15,Enterococcus_faecalis,MINIA,0.5555555555555556,29167
16,Enterococcus_faecalis,MINIA,0.6666666666666666,21529
17,Enterococcus_faecalis,MINIA,0.7777777777777777,15076
18,Enterococcus_faecalis,MINIA,0.8888888888888888,9265
19,Enterococcus_faecalis,MINIA,1.0,1074
20,Escherichia_coli_plasmid,MINIA,0.0,36371
21,Escherichia_coli_plasmid,MINIA,0.1111111111111111,36371
22,Escherichia_coli_plasmid,MINIA,0.2222222222222222,36371
23,Escherichia_coli_plasmid,MINIA,0.3333333333333333,36371
24,Escherichia_coli_plasmid,MINIA,0.4444444444444444,26838
25,Escherichia_coli_plasmid,MINIA,0.5555555555555556,26838
26,Escherichia_coli_plasmid,MINIA,0.6666666666666666,25533
27,Escherichia_coli_plasmid,MINIA,0.7777777777777777,25533
28,Escherichia_coli_plasmid,MINIA,0.8888888888888888,12755
29,Escherichia_coli_plasmid,MINIA,1.0,3923
30,Escherichia_coli,MINIA,0.0,54070
31,Escherichia_coli,MINIA,0.1111111111111111,15524
32,Escherichia_coli,MINIA,0.2222222222222222,9832
33,Escherichia_coli,MINIA,0.3333333333333333,7450
34,Escherichia_coli,MINIA,0.4444444444444444,5144
35,Escherichia_coli,MINIA,0.5555555555555556,3883
36,Escherichia_coli,MINIA,0.6666666666666666,2919
37,Escherichia_coli,MINIA,0.7777777777777777,2205
38,Escherichia_coli,MINIA,0.8888888888888888,1526
39,Escherichia_coli,MINIA,1.0,1002
40,Lactobacillus_fermentum,MINIA,0.0,66009
41,Lactobacillus_fermentum,MINIA,0.1111111111111111,32741
42,Lactobacillus_fermentum,MINIA,0.2222222222222222,26836
43,Lactobacillus_fermentum,MINIA,0.3333333333333333,20116
44,Lactobacillus_fermentum,MINIA,0.4444444444444444,12091
45,Lactobacillus_fermentum,MINIA,0.5555555555555556,10007
46,Lactobacillus_fermentum,MINIA,0.6666666666666666,8267
47,Lactobacillus_fermentum,MINIA,0.7777777777777777,6403
48,Lactobacillus_fermentum,MINIA,0.8888888888888888,3245
49,Lactobacillus_fermentum,MINIA,1.0,1001
50,Listeria_monocytogenes,MINIA,0.0,161812
51,Listeria_monocytogenes,MINIA,0.1111111111111111,97170
52,Listeria_monocytogenes,MINIA,0.2222222222222222,71749
53,Listeria_monocytogenes,MINIA,0.3333333333333333,59845
54,Listeria_monocytogenes,MINIA,0.4444444444444444,51199
55,Listeria_monocytogenes,MINIA,0.5555555555555556,38879
56,Listeria_monocytogenes,MINIA,0.6666666666666666,30498
57,Listeria_monocytogenes,MINIA,0.7777777777777777,24123
58,Listeria_monocytogenes,MINIA,0.8888888888888888,14002
59,Listeria_monocytogenes,MINIA,1.0,1056
60,Pseudomonas_aeruginosa,MINIA,0.0,105985
61,Pseudomonas_aeruginosa,MINIA,0.1111111111111111,53349
62,Pseudomonas_aeruginosa,MINIA,0.2222222222222222,40326
63,Pseudomonas_aeruginosa,MINIA,0.3333333333333333,31436
64,Pseudomonas_aeruginosa,MINIA,0.4444444444444444,24270
65,Pseudomonas_aeruginosa,MINIA,0.5555555555555556,19973
66,Pseudomonas_aeruginosa,MINIA,0.6666666666666666,16452
67,Pseudomonas_aeruginosa,MINIA,0.7777777777777777,11447
68,Pseudomonas_aeruginosa,MINIA,0.8888888888888888,6816
69,Pseudomonas_aeruginosa,MINIA,1.0,1010
70,Salmonella_enterica,MINIA,0.0,56906
71,Salmonella_enterica,MINIA,0.1111111111111111,18175
72,Salmonella_enterica,MINIA,0.2222222222222222,10553
73,Salmonella_enterica,MINIA,0.3333333333333333,8156
74,Salmonella_enterica,MINIA,0.4444444444444444,5838
75,Salmonella_enterica,MINIA,0.5555555555555556,4241
76,Salmonella_enterica,MINIA,0.6666666666666666,3137
77,Salmonella_enterica,MINIA,0.7777777777777777,2240
78,Salmonella_enterica,MINIA,0.8888888888888888,1582
79,Salmonella_enterica,MINIA,1.0,1002
80,Staphylococcus_aureus,MINIA,0.0,90652
81,Staphylococcus_aureus,MINIA,0.1111111111111111,54237
82,Staphylococcus_aureus,MINIA,0.2222222222222222,46114
83,Staphylococcus_aureus,MINIA,0.3333333333333333,33967
84,Staphylococcus_aureus,MINIA,0.4444444444444444,31961
85,Staphylococcus_aureus,MINIA,0.5555555555555556,26629
86,Staphylococcus_aureus,MINIA,0.6666666666666666,20822
87,Staphylococcus_aureus,MINIA,0.7777777777777777,14845
88,Staphylococcus_aureus,MINIA,0.8888888888888888,8131
89,Staphylococcus_aureus,MINIA,1.0,1069
90,Staphylococcus_aureus_plasmid1,MINIA,0.0,1122
91,Staphylococcus_aureus_plasmid1,MINIA,0.1111111111111111,1122
92,Staphylococcus_aureus_plasmid1,MINIA,0.2222222222222222,1122
93,Staphylococcus_aureus_plasmid1,MINIA,0.3333333333333333,1122
94,Staphylococcus_aureus_plasmid1,MINIA,0.4444444444444444,1122
95,Staphylococcus_aureus_plasmid1,MINIA,0.5555555555555556,1122
96,Staphylococcus_aureus_plasmid1,MINIA,0.6666666666666666,1122
97,Staphylococcus_aureus_plasmid1,MINIA,0.7777777777777777,1122
98,Staphylococcus_aureus_plasmid1,MINIA,0.8888888888888888,1122
99,Staphylococcus_aureus_plasmid1,MINIA,1.0,1122
100,Staphylococcus_aureus_plasmid2,MINIA,0.0,0
